Module	Section	Sample Name	Source
Salmon	all_sections	TS047_RoL_RNA_586	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/478/TS047_RoL_RNA_586/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_200	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/472/TS047_RoL_RNA_200/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_412	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/440/TS047_RoL_RNA_412/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_177	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/437/TS047_RoL_RNA_177/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_328	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/444/TS047_RoL_RNA_328/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_439	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/439/TS047_RoL_RNA_439/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_442	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/476/TS047_RoL_RNA_442/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_652	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/498/TS047_RoL_RNA_652/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_528	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/506/TS047_RoL_RNA_528/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_559	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/492/TS047_RoL_RNA_559/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_175	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/457/TS047_RoL_RNA_175/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_676	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/481/TS047_RoL_RNA_676/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_322	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/465/TS047_RoL_RNA_322/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_468	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/468/TS047_RoL_RNA_468/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_526	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/486/TS047_RoL_RNA_526/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_355	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/462/TS047_RoL_RNA_355/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_231	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/450/TS047_RoL_RNA_231/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_110	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/471/TS047_RoL_RNA_110/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_562	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/495/TS047_RoL_RNA_562/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_710	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/501/TS047_RoL_RNA_710/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_381	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/443/TS047_RoL_RNA_381/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_136	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/449/TS047_RoL_RNA_136/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_229	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/473/TS047_RoL_RNA_229/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_618	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/497/TS047_RoL_RNA_618/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_530	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/503/TS047_RoL_RNA_530/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_616	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/479/TS047_RoL_RNA_616/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_377	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/436/TS047_RoL_RNA_377/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_318	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/441/TS047_RoL_RNA_318/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_477	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/484/TS047_RoL_RNA_477/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_326	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/460/TS047_RoL_RNA_326/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_204	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/458/TS047_RoL_RNA_204/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_119	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/452/TS047_RoL_RNA_119/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_16	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/455/TS047_RoL_RNA_16/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_500	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/483/TS047_RoL_RNA_500/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_683	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/489/TS047_RoL_RNA_683/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_288	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/467/TS047_RoL_RNA_288/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_20	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/446/TS047_RoL_RNA_20/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_289	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/474/TS047_RoL_RNA_289/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_708	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/504/TS047_RoL_RNA_708/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_646	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/490/TS047_RoL_RNA_646/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_707	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/494/TS047_RoL_RNA_707/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_651	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/500/TS047_RoL_RNA_651/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_116	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/470/TS047_RoL_RNA_116/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_145	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/448/TS047_RoL_RNA_145/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_317	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/442/TS047_RoL_RNA_317/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_46	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/435/TS047_RoL_RNA_46/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_51	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/463/TS047_RoL_RNA_51/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_114	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/469/TS047_RoL_RNA_114/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_478	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/487/TS047_RoL_RNA_478/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_79	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/451/TS047_RoL_RNA_79/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_170	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/456/TS047_RoL_RNA_170/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_291	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/464/TS047_RoL_RNA_291/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_678	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/480/TS047_RoL_RNA_678/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_407	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/438/TS047_RoL_RNA_407/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_146	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/445/TS047_RoL_RNA_146/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_677	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/493/TS047_RoL_RNA_677/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_262	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/477/TS047_RoL_RNA_262/libParams/flenDist.txt
Salmon	all_sections	TS047_RoL_RNA_532	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/499/TS047_RoL_RNA_532/libParams/flenDist.txt
FastQC (raw)	all_sections	TS047_RoL_RNA_200_2	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/44/TS047_RoL_RNA_200_raw_2_fastqc.zip
FastQC (raw)	all_sections	TS047_RoL_RNA_112_1	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/33/TS047_RoL_RNA_112_raw_1_fastqc.zip
FastQC (raw)	all_sections	TS047_RoL_RNA_506_1	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/107/TS047_RoL_RNA_506_raw_1_fastqc.zip
FastQC (raw)	all_sections	TS047_RoL_RNA_204_1	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/39/TS047_RoL_RNA_204_raw_1_fastqc.zip
FastQC (raw)	all_sections	TS047_RoL_RNA_407_2	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/76/TS047_RoL_RNA_407_raw_2_fastqc.zip
FastQC (raw)	all_sections	TS047_RoL_RNA_526_2	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/98/TS047_RoL_RNA_526_raw_2_fastqc.zip
FastQC (raw)	all_sections	TS047_RoL_RNA_676_1	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/135/TS047_RoL_RNA_676_raw_1_fastqc.zip
FastQC (raw)	all_sections	TS047_RoL_RNA_710_2	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/142/TS047_RoL_RNA_710_raw_2_fastqc.zip
FastQC (raw)	all_sections	TS047_RoL_RNA_377_2	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/92/TS047_RoL_RNA_377_raw_2_fastqc.zip
FastQC (raw)	all_sections	TS047_RoL_RNA_114_2	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/8/TS047_RoL_RNA_114_raw_2_fastqc.zip
FastQC (raw)	all_sections	TS047_RoL_RNA_530_2	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/114/TS047_RoL_RNA_530_raw_2_fastqc.zip
FastQC (raw)	all_sections	TS047_RoL_RNA_319_1	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/57/TS047_RoL_RNA_319_raw_1_fastqc.zip
FastQC (raw)	all_sections	TS047_RoL_RNA_136_2	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/20/TS047_RoL_RNA_136_raw_2_fastqc.zip
FastQC (raw)	all_sections	TS047_RoL_RNA_478_1	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/81/TS047_RoL_RNA_478_raw_1_fastqc.zip
FastQC (raw)	all_sections	TS047_RoL_RNA_119_2	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/18/TS047_RoL_RNA_119_raw_2_fastqc.zip
FastQC (raw)	all_sections	TS047_RoL_RNA_683_2	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/126/TS047_RoL_RNA_683_raw_2_fastqc.zip
FastQC (raw)	all_sections	TS047_RoL_RNA_20_2	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/12/TS047_RoL_RNA_20_raw_2_fastqc.zip
FastQC (raw)	all_sections	TS047_RoL_RNA_322_1	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/65/TS047_RoL_RNA_322_raw_1_fastqc.zip
FastQC (raw)	all_sections	TS047_RoL_RNA_286_2	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/68/TS047_RoL_RNA_286_raw_2_fastqc.zip
FastQC (raw)	all_sections	TS047_RoL_RNA_442_2	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/86/TS047_RoL_RNA_442_raw_2_fastqc.zip
FastQC (raw)	all_sections	TS047_RoL_RNA_288_2	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/62/TS047_RoL_RNA_288_raw_2_fastqc.zip
FastQC (raw)	all_sections	TS047_RoL_RNA_145_1	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/15/TS047_RoL_RNA_145_raw_1_fastqc.zip
FastQC (raw)	all_sections	TS047_RoL_RNA_586_1	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/121/TS047_RoL_RNA_586_raw_1_fastqc.zip
FastQC (raw)	all_sections	TS047_RoL_RNA_618_1	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/119/TS047_RoL_RNA_618_raw_1_fastqc.zip
FastQC (raw)	all_sections	TS047_RoL_RNA_79_1	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/27/TS047_RoL_RNA_79_raw_1_fastqc.zip
FastQC (raw)	all_sections	TS047_RoL_RNA_317_2	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/50/TS047_RoL_RNA_317_raw_2_fastqc.zip
FastQC (raw)	all_sections	TS047_RoL_RNA_530_1	/nfs3/Sharpton_Lab/prod/prod_restructure/projects/sielerjm/ZF__MajorExp/Transcriptomics/Code/Nextflow/work/8d/22dba793d631bd2366b5f178f41a02/113/TS047_RoL_RNA_530_raw_1_fastqc.zip
