Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
TS047_RoL_RNA_200_2	TS047_RoL_RNA_200_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	34364755.0	3.4 Gbp	0.0	101.0	46.0	24.059880621298575	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_204_1	TS047_RoL_RNA_204_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	23367292.0	2.3 Gbp	0.0	101.0	45.0	26.402336117081916	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_204_2	TS047_RoL_RNA_204_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	23367292.0	2.3 Gbp	0.0	101.0	45.0	26.116605550306282	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_20_1	TS047_RoL_RNA_20_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	28433778.0	2.8 Gbp	0.0	101.0	46.0	26.757147843116368	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_20_2	TS047_RoL_RNA_20_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	28433778.0	2.8 Gbp	0.0	101.0	46.0	26.691407862582917	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_229_1	TS047_RoL_RNA_229_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	28873412.0	2.9 Gbp	0.0	101.0	47.0	24.25379138570259	101.0	101	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_229_2	TS047_RoL_RNA_229_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	28873412.0	2.9 Gbp	0.0	101.0	47.0	23.83588437141238	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_231_1	TS047_RoL_RNA_231_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	20299404.0	2 Gbp	0.0	101.0	45.0	30.13943740833011	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_231_2	TS047_RoL_RNA_231_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	20299404.0	2 Gbp	0.0	101.0	45.0	29.966238340485752	101.0	101	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_258_1	TS047_RoL_RNA_258_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	26385738.0	2.6 Gbp	0.0	101.0	45.0	27.22527248817378	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_258_2	TS047_RoL_RNA_258_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	26385738.0	2.6 Gbp	0.0	101.0	45.0	27.095285535677622	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_262_1	TS047_RoL_RNA_262_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	28777383.0	2.9 Gbp	0.0	101.0	46.0	25.36810342091822	101.0	101	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_262_2	TS047_RoL_RNA_262_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	28777383.0	2.9 Gbp	0.0	101.0	46.0	25.185270821795225	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_286_1	TS047_RoL_RNA_286_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	25176499.0	2.5 Gbp	0.0	101.0	46.0	31.451539773394465	101.0	101	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_286_2	TS047_RoL_RNA_286_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	25176499.0	2.5 Gbp	0.0	101.0	46.0	31.22785590954864	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_288_1	TS047_RoL_RNA_288_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	25706774.0	2.5 Gbp	0.0	101.0	46.0	29.92756460407527	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_288_2	TS047_RoL_RNA_288_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	25706774.0	2.5 Gbp	0.0	101.0	46.0	29.618759173416244	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_289_1	TS047_RoL_RNA_289_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	30352787.0	3 Gbp	0.0	101.0	46.0	27.89227399739984	101.0	101	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_289_2	TS047_RoL_RNA_289_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	30352787.0	3 Gbp	0.0	101.0	46.0	27.709152549671412	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_291_1	TS047_RoL_RNA_291_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	25096851.0	2.5 Gbp	0.0	101.0	46.0	34.82801884153932	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_291_2	TS047_RoL_RNA_291_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	25096851.0	2.5 Gbp	0.0	101.0	46.0	34.66416996951696	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_317_1	TS047_RoL_RNA_317_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	25335689.0	2.5 Gbp	0.0	101.0	45.0	26.424820884417432	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_317_2	TS047_RoL_RNA_317_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	25335689.0	2.5 Gbp	0.0	101.0	45.0	25.88330658562443	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_318_1	TS047_RoL_RNA_318_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	26774014.0	2.7 Gbp	0.0	101.0	46.0	27.313109426193314	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_318_2	TS047_RoL_RNA_318_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	26774014.0	2.7 Gbp	0.0	101.0	46.0	26.794687899368498	101.0	101	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_319_1	TS047_RoL_RNA_319_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	27559362.0	2.7 Gbp	0.0	101.0	46.0	28.33038737932184	101.0	101	pass	pass	warn	pass	warn	fail	pass	pass	fail	pass	pass
TS047_RoL_RNA_319_2	TS047_RoL_RNA_319_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	27559362.0	2.7 Gbp	0.0	101.0	46.0	28.196532372968242	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_322_1	TS047_RoL_RNA_322_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	28929489.0	2.9 Gbp	0.0	101.0	46.0	27.59183864929059	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_322_2	TS047_RoL_RNA_322_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	28929489.0	2.9 Gbp	0.0	101.0	46.0	27.485199197478817	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_326_1	TS047_RoL_RNA_326_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	24152003.0	2.4 Gbp	0.0	101.0	45.0	30.179324622002834	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_326_2	TS047_RoL_RNA_326_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	24152003.0	2.4 Gbp	0.0	101.0	46.0	30.047278753254243	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_328_1	TS047_RoL_RNA_328_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	29871061.0	3 Gbp	0.0	101.0	46.0	29.07058141340741	101.0	101	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_328_2	TS047_RoL_RNA_328_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	29871061.0	3 Gbp	0.0	101.0	46.0	29.040898885951925	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_347_1	TS047_RoL_RNA_347_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	23112990.0	2.3 Gbp	0.0	101.0	46.0	30.143711634182413	101.0	101	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_347_2	TS047_RoL_RNA_347_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	23112990.0	2.3 Gbp	0.0	101.0	46.0	29.922247519691552	101.0	101	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_355_1	TS047_RoL_RNA_355_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	19831930.0	2 Gbp	0.0	101.0	45.0	28.133727902813522	101.0	101	pass	pass	warn	pass	fail	fail	pass	pass	fail	pass	pass
TS047_RoL_RNA_355_2	TS047_RoL_RNA_355_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	19831930.0	2 Gbp	0.0	101.0	45.0	27.72624487489169	101.0	101	pass	pass	warn	pass	warn	fail	pass	pass	fail	pass	pass
TS047_RoL_RNA_377_1	TS047_RoL_RNA_377_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	24087841.0	2.4 Gbp	0.0	101.0	47.0	23.665351613999057	101.0	101	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_377_2	TS047_RoL_RNA_377_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	24087841.0	2.4 Gbp	0.0	101.0	47.0	23.29607499033409	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
TS047_RoL_RNA_381_1	TS047_RoL_RNA_381_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	25280672.0	2.5 Gbp	0.0	101.0	45.0	27.084747505906602	101.0	101	pass	pass	warn	pass	fail	fail	pass	pass	fail	pass	pass
TS047_RoL_RNA_381_2	TS047_RoL_RNA_381_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	25280672.0	2.5 Gbp	0.0	101.0	45.0	27.254016598641133	101.0	101	pass	pass	warn	pass	fail	fail	pass	pass	fail	pass	pass
TS047_RoL_RNA_407_1	TS047_RoL_RNA_407_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	30645302.0	3 Gbp	0.0	101.0	46.0	16.4560800591975	101.0	101	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_407_2	TS047_RoL_RNA_407_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	30645302.0	3 Gbp	0.0	101.0	47.0	16.05399750150595	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_412_1	TS047_RoL_RNA_412_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	26174890.0	2.6 Gbp	0.0	101.0	46.0	24.775688358851895	101.0	101	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_412_2	TS047_RoL_RNA_412_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	26174890.0	2.6 Gbp	0.0	101.0	46.0	24.748112341329215	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_439_1	TS047_RoL_RNA_439_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	24261449.0	2.4 Gbp	0.0	101.0	45.0	27.03785183803098	101.0	101	pass	pass	warn	pass	fail	fail	pass	pass	fail	pass	pass
TS047_RoL_RNA_439_2	TS047_RoL_RNA_439_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	24261449.0	2.4 Gbp	0.0	101.0	45.0	26.87949855429374	101.0	101	pass	pass	fail	pass	fail	fail	pass	pass	fail	pass	pass
TS047_RoL_RNA_442_1	TS047_RoL_RNA_442_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	29065384.0	2.9 Gbp	0.0	101.0	46.0	26.96434438888899	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_442_2	TS047_RoL_RNA_442_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	29065384.0	2.9 Gbp	0.0	101.0	46.0	27.193536476804876	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_468_1	TS047_RoL_RNA_468_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	27304092.0	2.7 Gbp	0.0	101.0	45.0	28.52042129938916	101.0	101	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_468_2	TS047_RoL_RNA_468_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	27304092.0	2.7 Gbp	0.0	101.0	45.0	28.546087415344417	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_469_1	TS047_RoL_RNA_469_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	30795561.0	3.1 Gbp	0.0	101.0	46.0	23.333748898055397	101.0	101	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_469_2	TS047_RoL_RNA_469_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	30795561.0	3.1 Gbp	0.0	101.0	47.0	23.352774468422403	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_46_1	TS047_RoL_RNA_46_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	25735455.0	2.5 Gbp	0.0	101.0	47.0	12.311726589507465	101.0	101	pass	pass	warn	pass	warn	warn	pass	pass	fail	warn	pass
TS047_RoL_RNA_46_2	TS047_RoL_RNA_46_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	25735455.0	2.5 Gbp	0.0	101.0	47.0	12.3925411670956	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	pass
TS047_RoL_RNA_477_1	TS047_RoL_RNA_477_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	28397378.0	2.8 Gbp	0.0	101.0	46.0	31.875568943890816	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_477_2	TS047_RoL_RNA_477_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	28397378.0	2.8 Gbp	0.0	101.0	46.0	31.820459846883814	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_478_1	TS047_RoL_RNA_478_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	28773078.0	2.9 Gbp	0.0	101.0	46.0	27.529902470989487	101.0	101	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_478_2	TS047_RoL_RNA_478_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	28773078.0	2.9 Gbp	0.0	101.0	46.0	27.627995313627522	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_498_1	TS047_RoL_RNA_498_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	27997372.0	2.8 Gbp	0.0	101.0	46.0	29.894611593951737	101.0	101	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_498_2	TS047_RoL_RNA_498_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	27997372.0	2.8 Gbp	0.0	101.0	46.0	29.758806974637515	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_500_1	TS047_RoL_RNA_500_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	28102108.0	2.8 Gbp	0.0	101.0	46.0	26.860132146247643	101.0	101	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_500_2	TS047_RoL_RNA_500_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	28102108.0	2.8 Gbp	0.0	101.0	46.0	27.102518449280268	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_502_1	TS047_RoL_RNA_502_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	25354612.0	2.5 Gbp	0.0	101.0	45.0	31.179512054806395	101.0	101	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_502_2	TS047_RoL_RNA_502_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	25354612.0	2.5 Gbp	0.0	101.0	45.0	31.052070315208297	101.0	101	pass	pass	fail	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_506_1	TS047_RoL_RNA_506_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	28734343.0	2.9 Gbp	0.0	101.0	46.0	26.217075869402272	101.0	101	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_506_2	TS047_RoL_RNA_506_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	28734343.0	2.9 Gbp	0.0	101.0	46.0	26.51082888277197	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_51_1	TS047_RoL_RNA_51_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	24529468.0	2.4 Gbp	0.0	101.0	46.0	28.909991692730074	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_51_2	TS047_RoL_RNA_51_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	24529468.0	2.4 Gbp	0.0	101.0	46.0	28.75050396069142	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_526_1	TS047_RoL_RNA_526_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	37183488.0	3.7 Gbp	0.0	101.0	47.0	21.326783285953773	101.0	101	pass	pass	warn	pass	warn	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_526_2	TS047_RoL_RNA_526_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	37183488.0	3.7 Gbp	0.0	101.0	47.0	21.398873226823156	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_528_1	TS047_RoL_RNA_528_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	34310829.0	3.4 Gbp	0.0	101.0	46.0	25.891439524685385	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_528_2	TS047_RoL_RNA_528_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	34310829.0	3.4 Gbp	0.0	101.0	46.0	26.04322887219884	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
TS047_RoL_RNA_530_1	TS047_RoL_RNA_530_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	25672766.0	2.5 Gbp	0.0	101.0	45.0	28.097322977952686	101.0	101	pass	pass	warn	pass	fail	warn	pass	pass	fail	pass	pass
