Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
TS047_RoL_RNA_136_1	(16.0, 14.0)	(17.0, 74.0)	(18.0, 194.0)	(19.0, 242.0)	(20.0, 366.0)	(21.0, 748.0)	(22.0, 1513.0)	(23.0, 2747.0)	(24.0, 4481.0)	(25.0, 6479.0)	(26.0, 8578.0)	(27.0, 10557.0)	(28.0, 13822.0)	(29.0, 16973.0)	(30.0, 21858.0)	(31.0, 28570.0)	(32.0, 38352.0)	(33.0, 50427.0)	(34.0, 69219.0)	(35.0, 97022.0)	(36.0, 152832.0)	(37.0, 266337.0)	(38.0, 850090.0)	(39.0, 13236081.0)	(40.0, 8472441.0)				
TS047_RoL_RNA_136_2	(12.0, 1.0)	(13.0, 9.0)	(14.0, 63.0)	(15.0, 438.0)	(16.0, 1844.0)	(17.0, 3355.0)	(18.0, 4051.0)	(19.0, 4451.0)	(20.0, 5249.0)	(21.0, 6140.0)	(22.0, 7621.0)	(23.0, 8770.0)	(24.0, 10973.0)	(25.0, 12811.0)	(26.0, 15765.0)	(27.0, 18490.0)	(28.0, 22803.0)	(29.0, 26893.0)	(30.0, 33172.0)	(31.0, 40816.0)	(32.0, 52378.0)	(33.0, 66002.0)	(34.0, 87199.0)	(35.0, 120424.0)	(36.0, 184749.0)	(37.0, 310037.0)	(38.0, 985483.0)	(39.0, 14267791.0)	(40.0, 7052239.0)
TS047_RoL_RNA_142_1	(16.0, 14.0)	(17.0, 105.0)	(18.0, 268.0)	(19.0, 406.0)	(20.0, 739.0)	(21.0, 1347.0)	(22.0, 2571.0)	(23.0, 4477.0)	(24.0, 7068.0)	(25.0, 9941.0)	(26.0, 13446.0)	(27.0, 16478.0)	(28.0, 21196.0)	(29.0, 26181.0)	(30.0, 33293.0)	(31.0, 42224.0)	(32.0, 57019.0)	(33.0, 73308.0)	(34.0, 97642.0)	(35.0, 133327.0)	(36.0, 203922.0)	(37.0, 339317.0)	(38.0, 1025909.0)	(39.0, 14803279.0)	(40.0, 9287189.0)				
TS047_RoL_RNA_142_2	(12.0, 1.0)	(13.0, 13.0)	(14.0, 66.0)	(15.0, 479.0)	(16.0, 2155.0)	(17.0, 4388.0)	(18.0, 6043.0)	(19.0, 6552.0)	(20.0, 7828.0)	(21.0, 9440.0)	(22.0, 11366.0)	(23.0, 13548.0)	(24.0, 16703.0)	(25.0, 20037.0)	(26.0, 23973.0)	(27.0, 27797.0)	(28.0, 33752.0)	(29.0, 39112.0)	(30.0, 47887.0)	(31.0, 57333.0)	(32.0, 73544.0)	(33.0, 90469.0)	(34.0, 118925.0)	(35.0, 161092.0)	(36.0, 241819.0)	(37.0, 394881.0)	(38.0, 1231095.0)	(39.0, 16164018.0)	(40.0, 7396350.0)
TS047_RoL_RNA_145_1	(15.0, 1.0)	(16.0, 14.0)	(17.0, 144.0)	(18.0, 328.0)	(19.0, 540.0)	(20.0, 960.0)	(21.0, 1595.0)	(22.0, 2807.0)	(23.0, 4994.0)	(24.0, 8155.0)	(25.0, 11516.0)	(26.0, 15377.0)	(27.0, 19151.0)	(28.0, 24364.0)	(29.0, 29915.0)	(30.0, 38101.0)	(31.0, 47679.0)	(32.0, 64227.0)	(33.0, 82379.0)	(34.0, 109399.0)	(35.0, 148938.0)	(36.0, 224359.0)	(37.0, 368172.0)	(38.0, 1119429.0)	(39.0, 16610368.0)	(40.0, 10073318.0)			
TS047_RoL_RNA_145_2	(13.0, 8.0)	(14.0, 70.0)	(15.0, 553.0)	(16.0, 2613.0)	(17.0, 5262.0)	(18.0, 7104.0)	(19.0, 7896.0)	(20.0, 9216.0)	(21.0, 11071.0)	(22.0, 13393.0)	(23.0, 15936.0)	(24.0, 19462.0)	(25.0, 23161.0)	(26.0, 27768.0)	(27.0, 31710.0)	(28.0, 38651.0)	(29.0, 44426.0)	(30.0, 53769.0)	(31.0, 65337.0)	(32.0, 82364.0)	(33.0, 101359.0)	(34.0, 133097.0)	(35.0, 179379.0)	(36.0, 270861.0)	(37.0, 444432.0)	(38.0, 1370270.0)	(39.0, 17726191.0)	(40.0, 8320871.0)	
TS047_RoL_RNA_146_1	(16.0, 17.0)	(17.0, 123.0)	(18.0, 306.0)	(19.0, 502.0)	(20.0, 873.0)	(21.0, 1656.0)	(22.0, 3362.0)	(23.0, 6211.0)	(24.0, 8297.0)	(25.0, 11826.0)	(26.0, 15597.0)	(27.0, 19816.0)	(28.0, 24869.0)	(29.0, 29782.0)	(30.0, 37777.0)	(31.0, 48427.0)	(32.0, 64694.0)	(33.0, 83773.0)	(34.0, 111781.0)	(35.0, 152937.0)	(36.0, 233039.0)	(37.0, 389922.0)	(38.0, 1186357.0)	(39.0, 17243721.0)	(40.0, 10695055.0)				
TS047_RoL_RNA_146_2	(13.0, 15.0)	(14.0, 82.0)	(15.0, 635.0)	(16.0, 2566.0)	(17.0, 5348.0)	(18.0, 6952.0)	(19.0, 7583.0)	(20.0, 9337.0)	(21.0, 11048.0)	(22.0, 13602.0)	(23.0, 15914.0)	(24.0, 20006.0)	(25.0, 23829.0)	(26.0, 28126.0)	(27.0, 32676.0)	(28.0, 40075.0)	(29.0, 46698.0)	(30.0, 56084.0)	(31.0, 67554.0)	(32.0, 85983.0)	(33.0, 106048.0)	(34.0, 137286.0)	(35.0, 185108.0)	(36.0, 276735.0)	(37.0, 447849.0)	(38.0, 1370542.0)	(39.0, 18605782.0)	(40.0, 8767257.0)	
TS047_RoL_RNA_16_1	(16.0, 18.0)	(17.0, 97.0)	(18.0, 274.0)	(19.0, 414.0)	(20.0, 751.0)	(21.0, 1341.0)	(22.0, 2487.0)	(23.0, 4557.0)	(24.0, 6718.0)	(25.0, 9849.0)	(26.0, 12805.0)	(27.0, 16023.0)	(28.0, 20525.0)	(29.0, 24671.0)	(30.0, 31150.0)	(31.0, 39098.0)	(32.0, 52793.0)	(33.0, 67973.0)	(34.0, 89633.0)	(35.0, 121152.0)	(36.0, 182421.0)	(37.0, 296250.0)	(38.0, 866620.0)	(39.0, 13161868.0)	(40.0, 8681239.0)				
TS047_RoL_RNA_16_2	(13.0, 7.0)	(14.0, 92.0)	(15.0, 497.0)	(16.0, 2096.0)	(17.0, 4304.0)	(18.0, 5832.0)	(19.0, 6102.0)	(20.0, 7419.0)	(21.0, 8546.0)	(22.0, 10420.0)	(23.0, 12520.0)	(24.0, 15585.0)	(25.0, 18552.0)	(26.0, 21842.0)	(27.0, 25398.0)	(28.0, 30761.0)	(29.0, 35580.0)	(30.0, 43378.0)	(31.0, 51963.0)	(32.0, 66198.0)	(33.0, 82038.0)	(34.0, 107003.0)	(35.0, 145188.0)	(36.0, 217906.0)	(37.0, 354352.0)	(38.0, 1080006.0)	(39.0, 14293547.0)	(40.0, 7043595.0)	
TS047_RoL_RNA_170_1	(15.0, 1.0)	(16.0, 13.0)	(17.0, 104.0)	(18.0, 263.0)	(19.0, 411.0)	(20.0, 750.0)	(21.0, 1308.0)	(22.0, 2279.0)	(23.0, 3995.0)	(24.0, 6488.0)	(25.0, 9499.0)	(26.0, 12545.0)	(27.0, 15347.0)	(28.0, 19781.0)	(29.0, 24325.0)	(30.0, 31216.0)	(31.0, 39298.0)	(32.0, 52902.0)	(33.0, 67917.0)	(34.0, 90396.0)	(35.0, 124832.0)	(36.0, 188486.0)	(37.0, 313099.0)	(38.0, 973896.0)	(39.0, 14769660.0)	(40.0, 9076592.0)			
TS047_RoL_RNA_170_2	(13.0, 12.0)	(14.0, 91.0)	(15.0, 480.0)	(16.0, 1992.0)	(17.0, 4195.0)	(18.0, 5685.0)	(19.0, 6268.0)	(20.0, 7502.0)	(21.0, 8875.0)	(22.0, 10681.0)	(23.0, 12555.0)	(24.0, 15654.0)	(25.0, 18592.0)	(26.0, 21993.0)	(27.0, 25979.0)	(28.0, 30999.0)	(29.0, 36435.0)	(30.0, 43983.0)	(31.0, 53278.0)	(32.0, 67844.0)	(33.0, 84453.0)	(34.0, 111080.0)	(35.0, 150461.0)	(36.0, 227444.0)	(37.0, 378158.0)	(38.0, 1196546.0)	(39.0, 15873456.0)	(40.0, 7430712.0)	
TS047_RoL_RNA_175_1	(15.0, 2.0)	(16.0, 15.0)	(17.0, 125.0)	(18.0, 315.0)	(19.0, 477.0)	(20.0, 838.0)	(21.0, 1374.0)	(22.0, 2512.0)	(23.0, 4344.0)	(24.0, 7080.0)	(25.0, 9902.0)	(26.0, 13260.0)	(27.0, 16022.0)	(28.0, 20569.0)	(29.0, 25426.0)	(30.0, 32322.0)	(31.0, 41135.0)	(32.0, 55241.0)	(33.0, 70172.0)	(34.0, 93507.0)	(35.0, 126464.0)	(36.0, 189882.0)	(37.0, 311032.0)	(38.0, 938096.0)	(39.0, 14270477.0)	(40.0, 9171526.0)			
TS047_RoL_RNA_175_2	(13.0, 7.0)	(14.0, 96.0)	(15.0, 505.0)	(16.0, 2237.0)	(17.0, 4657.0)	(18.0, 6215.0)	(19.0, 6570.0)	(20.0, 7876.0)	(21.0, 9274.0)	(22.0, 11223.0)	(23.0, 13390.0)	(24.0, 16443.0)	(25.0, 19603.0)	(26.0, 23269.0)	(27.0, 27149.0)	(28.0, 32642.0)	(29.0, 38300.0)	(30.0, 46419.0)	(31.0, 55727.0)	(32.0, 70583.0)	(33.0, 87576.0)	(34.0, 114133.0)	(35.0, 153886.0)	(36.0, 230779.0)	(37.0, 376689.0)	(38.0, 1164300.0)	(39.0, 15529382.0)	(40.0, 7353185.0)	
TS047_RoL_RNA_177_1	(16.0, 14.0)	(17.0, 88.0)	(18.0, 265.0)	(19.0, 419.0)	(20.0, 668.0)	(21.0, 1182.0)	(22.0, 2142.0)	(23.0, 3907.0)	(24.0, 6351.0)	(25.0, 8925.0)	(26.0, 11778.0)	(27.0, 14901.0)	(28.0, 18967.0)	(29.0, 23329.0)	(30.0, 29957.0)	(31.0, 38554.0)	(32.0, 50978.0)	(33.0, 65158.0)	(34.0, 87718.0)	(35.0, 119418.0)	(36.0, 179046.0)	(37.0, 294988.0)	(38.0, 887591.0)	(39.0, 13628737.0)	(40.0, 8629398.0)				
TS047_RoL_RNA_177_2	(13.0, 4.0)	(14.0, 56.0)	(15.0, 467.0)	(16.0, 2127.0)	(17.0, 4354.0)	(18.0, 5737.0)	(19.0, 6179.0)	(20.0, 7315.0)	(21.0, 8886.0)	(22.0, 10507.0)	(23.0, 12558.0)	(24.0, 15458.0)	(25.0, 18510.0)	(26.0, 22236.0)	(27.0, 25525.0)	(28.0, 31471.0)	(29.0, 36422.0)	(30.0, 44282.0)	(31.0, 53363.0)	(32.0, 67570.0)	(33.0, 83421.0)	(34.0, 109675.0)	(35.0, 147105.0)	(36.0, 220161.0)	(37.0, 357743.0)	(38.0, 1073279.0)	(39.0, 14556675.0)	(40.0, 7183393.0)	
TS047_RoL_RNA_200_1	(16.0, 38.0)	(17.0, 202.0)	(18.0, 548.0)	(19.0, 674.0)	(20.0, 855.0)	(21.0, 1332.0)	(22.0, 2388.0)	(23.0, 4444.0)	(24.0, 7190.0)	(25.0, 10246.0)	(26.0, 13490.0)	(27.0, 16435.0)	(28.0, 21568.0)	(29.0, 26009.0)	(30.0, 33307.0)	(31.0, 43505.0)	(32.0, 58783.0)	(33.0, 76105.0)	(34.0, 103117.0)	(35.0, 142770.0)	(36.0, 216780.0)	(37.0, 359636.0)	(38.0, 1087184.0)	(39.0, 18757704.0)	(40.0, 13354799.0)				
TS047_RoL_RNA_200_2	(13.0, 13.0)	(14.0, 134.0)	(15.0, 744.0)	(16.0, 3181.0)	(17.0, 6217.0)	(18.0, 7625.0)	(19.0, 8142.0)	(20.0, 9863.0)	(21.0, 11510.0)	(22.0, 13691.0)	(23.0, 15979.0)	(24.0, 19673.0)	(25.0, 23226.0)	(26.0, 27859.0)	(27.0, 32854.0)	(28.0, 40285.0)	(29.0, 46803.0)	(30.0, 56644.0)	(31.0, 67962.0)	(32.0, 86765.0)	(33.0, 106570.0)	(34.0, 139095.0)	(35.0, 189234.0)	(36.0, 285227.0)	(37.0, 466105.0)	(38.0, 1411852.0)	(39.0, 20510906.0)	(40.0, 10750950.0)	
TS047_RoL_RNA_204_1	(16.0, 10.0)	(17.0, 76.0)	(18.0, 224.0)	(19.0, 307.0)	(20.0, 573.0)	(21.0, 1044.0)	(22.0, 1816.0)	(23.0, 3284.0)	(24.0, 5299.0)	(25.0, 8003.0)	(26.0, 10484.0)	(27.0, 13075.0)	(28.0, 16807.0)	(29.0, 20384.0)	(30.0, 26288.0)	(31.0, 33900.0)	(32.0, 45121.0)	(33.0, 58419.0)	(34.0, 78539.0)	(35.0, 107775.0)	(36.0, 164990.0)	(37.0, 274485.0)	(38.0, 839376.0)	(39.0, 13141733.0)	(40.0, 8500101.0)				
TS047_RoL_RNA_204_2	(13.0, 3.0)	(14.0, 62.0)	(15.0, 383.0)	(16.0, 1806.0)	(17.0, 3411.0)	(18.0, 4349.0)	(19.0, 4683.0)	(20.0, 5709.0)	(21.0, 6758.0)	(22.0, 8293.0)	(23.0, 9937.0)	(24.0, 12527.0)	(25.0, 14882.0)	(26.0, 17651.0)	(27.0, 20799.0)	(28.0, 25305.0)	(29.0, 29752.0)	(30.0, 36986.0)	(31.0, 44722.0)	(32.0, 57224.0)	(33.0, 71840.0)	(34.0, 95085.0)	(35.0, 129352.0)	(36.0, 195753.0)	(37.0, 321990.0)	(38.0, 986473.0)	(39.0, 14080120.0)	(40.0, 7166258.0)	
TS047_RoL_RNA_20_1	(15.0, 1.0)	(16.0, 9.0)	(17.0, 117.0)	(18.0, 299.0)	(19.0, 501.0)	(20.0, 859.0)	(21.0, 1610.0)	(22.0, 2856.0)	(23.0, 5070.0)	(24.0, 7943.0)	(25.0, 11342.0)	(26.0, 14949.0)	(27.0, 18746.0)	(28.0, 23952.0)	(29.0, 29592.0)	(30.0, 37563.0)	(31.0, 47451.0)	(32.0, 63030.0)	(33.0, 80330.0)	(34.0, 107688.0)	(35.0, 146759.0)	(36.0, 220871.0)	(37.0, 366223.0)	(38.0, 1137988.0)	(39.0, 16438693.0)	(40.0, 9649194.0)			
TS047_RoL_RNA_20_2	(12.0, 1.0)	(13.0, 13.0)	(14.0, 78.0)	(15.0, 541.0)	(16.0, 2351.0)	(17.0, 4793.0)	(18.0, 6447.0)	(19.0, 7012.0)	(20.0, 8450.0)	(21.0, 10107.0)	(22.0, 11962.0)	(23.0, 14411.0)	(24.0, 18001.0)	(25.0, 21509.0)	(26.0, 25937.0)	(27.0, 30032.0)	(28.0, 36721.0)	(29.0, 43082.0)	(30.0, 51810.0)	(31.0, 62902.0)	(32.0, 79659.0)	(33.0, 98606.0)	(34.0, 127699.0)	(35.0, 173783.0)	(36.0, 261701.0)	(37.0, 427732.0)	(38.0, 1319897.0)	(39.0, 17282354.0)	(40.0, 8286045.0)
TS047_RoL_RNA_229_1	(16.0, 16.0)	(17.0, 111.0)	(18.0, 287.0)	(19.0, 408.0)	(20.0, 763.0)	(21.0, 1411.0)	(22.0, 2398.0)	(23.0, 4234.0)	(24.0, 6721.0)	(25.0, 9918.0)	(26.0, 13225.0)	(27.0, 16593.0)	(28.0, 21714.0)	(29.0, 26511.0)	(30.0, 33996.0)	(31.0, 43851.0)	(32.0, 57912.0)	(33.0, 74486.0)	(34.0, 101101.0)	(35.0, 136707.0)	(36.0, 208713.0)	(37.0, 345856.0)	(38.0, 1080321.0)	(39.0, 16640422.0)	(40.0, 10022274.0)				
TS047_RoL_RNA_229_2	(13.0, 4.0)	(14.0, 60.0)	(15.0, 623.0)	(16.0, 2748.0)	(17.0, 5496.0)	(18.0, 6961.0)	(19.0, 7183.0)	(20.0, 8762.0)	(21.0, 10396.0)	(22.0, 12480.0)	(23.0, 14696.0)	(24.0, 18389.0)	(25.0, 21356.0)	(26.0, 25662.0)	(27.0, 29761.0)	(28.0, 36262.0)	(29.0, 41840.0)	(30.0, 50128.0)	(31.0, 59998.0)	(32.0, 76121.0)	(33.0, 93336.0)	(34.0, 120840.0)	(35.0, 162469.0)	(36.0, 244080.0)	(37.0, 396752.0)	(38.0, 1216360.0)	(39.0, 17539024.0)	(40.0, 8648162.0)	
TS047_RoL_RNA_231_1	(16.0, 10.0)	(17.0, 73.0)	(18.0, 197.0)	(19.0, 330.0)	(20.0, 627.0)	(21.0, 1036.0)	(22.0, 2165.0)	(23.0, 3661.0)	(24.0, 5767.0)	(25.0, 8337.0)	(26.0, 11014.0)	(27.0, 13824.0)	(28.0, 17486.0)	(29.0, 21612.0)	(30.0, 27423.0)	(31.0, 35042.0)	(32.0, 46546.0)	(33.0, 59480.0)	(34.0, 78801.0)	(35.0, 107284.0)	(36.0, 160282.0)	(37.0, 261150.0)	(38.0, 768832.0)	(39.0, 11311279.0)	(40.0, 7341739.0)				
TS047_RoL_RNA_231_2	(13.0, 2.0)	(14.0, 51.0)	(15.0, 413.0)	(16.0, 1749.0)	(17.0, 3733.0)	(18.0, 4947.0)	(19.0, 5292.0)	(20.0, 6435.0)	(21.0, 7696.0)	(22.0, 9349.0)	(23.0, 10861.0)	(24.0, 13550.0)	(25.0, 15921.0)	(26.0, 19142.0)	(27.0, 22455.0)	(28.0, 27374.0)	(29.0, 31484.0)	(30.0, 38229.0)	(31.0, 46051.0)	(32.0, 59356.0)	(33.0, 72895.0)	(34.0, 95237.0)	(35.0, 128289.0)	(36.0, 193454.0)	(37.0, 314989.0)	(38.0, 973703.0)	(39.0, 12399914.0)	(40.0, 5781426.0)	
TS047_RoL_RNA_258_1	(15.0, 1.0)	(16.0, 14.0)	(17.0, 107.0)	(18.0, 294.0)	(19.0, 462.0)	(20.0, 827.0)	(21.0, 1455.0)	(22.0, 2636.0)	(23.0, 4548.0)	(24.0, 7315.0)	(25.0, 10531.0)	(26.0, 14125.0)	(27.0, 17449.0)	(28.0, 22462.0)	(29.0, 27655.0)	(30.0, 34701.0)	(31.0, 44531.0)	(32.0, 59093.0)	(33.0, 75192.0)	(34.0, 100126.0)	(35.0, 135975.0)	(36.0, 204000.0)	(37.0, 332517.0)	(38.0, 991578.0)	(39.0, 14864869.0)	(40.0, 9413842.0)			
TS047_RoL_RNA_258_2	(12.0, 1.0)	(13.0, 14.0)	(14.0, 70.0)	(15.0, 501.0)	(16.0, 2210.0)	(17.0, 4684.0)	(18.0, 6429.0)	(19.0, 6940.0)	(20.0, 8258.0)	(21.0, 9754.0)	(22.0, 11937.0)	(23.0, 13912.0)	(24.0, 17490.0)	(25.0, 20795.0)	(26.0, 24948.0)	(27.0, 28706.0)	(28.0, 35019.0)	(29.0, 40320.0)	(30.0, 48606.0)	(31.0, 58758.0)	(32.0, 75272.0)	(33.0, 93328.0)	(34.0, 121151.0)	(35.0, 163697.0)	(36.0, 245884.0)	(37.0, 402904.0)	(38.0, 1242001.0)	(39.0, 16080825.0)	(40.0, 7601891.0)
TS047_RoL_RNA_262_1	(15.0, 1.0)	(16.0, 19.0)	(17.0, 88.0)	(18.0, 273.0)	(19.0, 453.0)	(20.0, 804.0)	(21.0, 1314.0)	(22.0, 2402.0)	(23.0, 4441.0)	(24.0, 7173.0)	(25.0, 10060.0)	(26.0, 13542.0)	(27.0, 16923.0)	(28.0, 21934.0)	(29.0, 26491.0)	(30.0, 33941.0)	(31.0, 43571.0)	(32.0, 58340.0)	(33.0, 75500.0)	(34.0, 102299.0)	(35.0, 139956.0)	(36.0, 214526.0)	(37.0, 354942.0)	(38.0, 1092122.0)	(39.0, 16415421.0)	(40.0, 10120732.0)			
TS047_RoL_RNA_262_2	(12.0, 1.0)	(13.0, 13.0)	(14.0, 89.0)	(15.0, 533.0)	(16.0, 2436.0)	(17.0, 4894.0)	(18.0, 6475.0)	(19.0, 6953.0)	(20.0, 8499.0)	(21.0, 9974.0)	(22.0, 12212.0)	(23.0, 14353.0)	(24.0, 18027.0)	(25.0, 21585.0)	(26.0, 25674.0)	(27.0, 29519.0)	(28.0, 36033.0)	(29.0, 41895.0)	(30.0, 51426.0)	(31.0, 61734.0)	(32.0, 79216.0)	(33.0, 97901.0)	(34.0, 128805.0)	(35.0, 175186.0)	(36.0, 264188.0)	(37.0, 438896.0)	(38.0, 1367405.0)	(39.0, 17645094.0)	(40.0, 8208252.0)
TS047_RoL_RNA_286_1	(15.0, 1.0)	(16.0, 10.0)	(17.0, 73.0)	(18.0, 235.0)	(19.0, 331.0)	(20.0, 560.0)	(21.0, 1009.0)	(22.0, 2003.0)	(23.0, 3739.0)	(24.0, 5875.0)	(25.0, 8356.0)	(26.0, 10963.0)	(27.0, 13682.0)	(28.0, 17364.0)	(29.0, 21761.0)	(30.0, 27844.0)	(31.0, 35532.0)	(32.0, 48145.0)	(33.0, 62851.0)	(34.0, 84380.0)	(35.0, 117567.0)	(36.0, 183686.0)	(37.0, 315358.0)	(38.0, 997632.0)	(39.0, 14553309.0)	(40.0, 8646185.0)			
