Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
TS047_RoL_RNA_136_1	(1.0, 17.765356947158807)	(2.0, 10.683205657289912)	(3.0, 7.479171929938799)	(4.0, 5.362991288555591)	(5.0, 3.909394571223268)	(6.0, 2.8608339336476463)	(7.0, 2.265545850619552)	(8.0, 1.868223997075919)	(9.0, 1.560642812194716)	('>10', 17.738036383869655)	('>50', 6.23395522778712)	('>100', 12.414622912384113)	('>500', 4.349310425499234)	('>1k', 5.31629761943303)	('>5k', 0.19241044332259932)	('>10k+', 0.0)
TS047_RoL_RNA_136_2	(1.0, 17.5058401793356)	(2.0, 9.966314872102114)	(3.0, 6.983117631455757)	(4.0, 5.145928474638876)	(5.0, 3.683832964768797)	(6.0, 2.865531123931371)	(7.0, 2.21561405018566)	(8.0, 1.7848456151045824)	(9.0, 1.5325854628567095)	('>10', 17.913051285645988)	('>50', 6.435626993772749)	('>100', 13.374041682626814)	('>500', 4.710324760450011)	('>1k', 5.409141553446193)	('>5k', 0.3357581974562641)	('>10k+', 0.13844515222253043)
TS047_RoL_RNA_142_1	(1.0, 17.247695619930965)	(2.0, 10.550314303054)	(3.0, 7.613801698885723)	(4.0, 5.628684314698415)	(5.0, 4.1312149858763085)	(6.0, 3.239130619791065)	(7.0, 2.514957006635803)	(8.0, 2.135001298869656)	(9.0, 1.6718802773654733)	('>10', 19.418111140294993)	('>50', 6.514967124180384)	('>100', 12.651400451960699)	('>500', 3.3612373364668)	('>1k', 3.29270934494316)	('>5k', 0.028894477046488707)	('>10k+', 0.0)
TS047_RoL_RNA_142_2	(1.0, 17.602776555780853)	(2.0, 9.717011885068313)	(3.0, 7.181889935291102)	(4.0, 5.2202792972288785)	(5.0, 4.035324454050084)	(6.0, 3.191736573225997)	(7.0, 2.4831835754733143)	(8.0, 2.0678568276647797)	(9.0, 1.7592397144696732)	('>10', 19.747877847248617)	('>50', 6.774110693403348)	('>100', 13.054980857414126)	('>500', 3.7700942442636403)	('>1k', 3.021156134057173)	('>5k', 0.3018853224716609)	('>10k+', 0.07059608288832234)
TS047_RoL_RNA_145_1	(1.0, 15.879128998524065)	(2.0, 9.540537661235494)	(3.0, 6.899303202651708)	(4.0, 5.216070979246594)	(5.0, 4.016523382270992)	(6.0, 3.0387304118079426)	(7.0, 2.417786098960616)	(8.0, 1.9974968713821566)	(9.0, 1.676723675441418)	('>10', 19.66038409252778)	('>50', 6.99774528794712)	('>100', 13.782163743528322)	('>500', 4.158679498299547)	('>1k', 4.5135680376275795)	('>5k', 0.20515805854863822)	('>10k+', 0.0)
TS047_RoL_RNA_145_2	(1.0, 16.26008270870924)	(2.0, 9.035858546309262)	(3.0, 6.5350139887313725)	(4.0, 4.933121907251689)	(5.0, 3.761112678754408)	(6.0, 3.0189650588435093)	(7.0, 2.324164746040205)	(8.0, 2.006897548395017)	(9.0, 1.6435996501898278)	('>10', 19.84324312601272)	('>50', 7.140060817663802)	('>100', 14.032245554452489)	('>500', 4.666898678724669)	('>1k', 4.2433379339332955)	('>5k', 0.32429372140729357)	('>10k+', 0.23110333458113103)
TS047_RoL_RNA_146_1	(1.0, 15.855989651055136)	(2.0, 9.57316929968903)	(3.0, 7.069541703369718)	(4.0, 5.151938329415017)	(5.0, 3.9699028705465476)	(6.0, 3.038457320779211)	(7.0, 2.4528934135783467)	(8.0, 1.9758891954014774)	(9.0, 1.7105763581952274)	('>10', 19.23429149417251)	('>50', 6.742429892759488)	('>100', 15.2118126778153)	('>500', 4.557168224365536)	('>1k', 3.3644234255481074)	('>5k', 0.09151614330932863)	('>10k+', 0.0)
TS047_RoL_RNA_146_2	(1.0, 16.287133203778183)	(2.0, 8.894060033893851)	(3.0, 6.742752136285422)	(4.0, 5.002286129388014)	(5.0, 3.80518687643313)	(6.0, 3.053379423347268)	(7.0, 2.3808776156716114)	(8.0, 1.9472154523789538)	(9.0, 1.5824958015096167)	('>10', 19.255172228476397)	('>50', 7.068091400311165)	('>100', 15.298417392007263)	('>500', 4.893276282103087)	('>1k', 3.2969578199123517)	('>5k', 0.32806070732329007)	('>10k+', 0.1646374971803576)
TS047_RoL_RNA_16_1	(1.0, 15.32727563326464)	(2.0, 8.78058640447957)	(3.0, 6.497575005122629)	(4.0, 4.830208968659253)	(5.0, 3.641864998369848)	(6.0, 2.816022256864621)	(7.0, 2.2382128555422782)	(8.0, 1.808198773278329)	(9.0, 1.5164758320163518)	('>10', 18.743572351025175)	('>50', 7.197502875444972)	('>100', 16.059488141455635)	('>500', 5.1422551714539635)	('>1k', 5.244277513307302)	('>5k', 0.15648321971538998)	('>10k+', 0.0)
TS047_RoL_RNA_16_2	(1.0, 15.759847340235858)	(2.0, 8.446616969674016)	(3.0, 6.155924066855781)	(4.0, 4.609614527685046)	(5.0, 3.4848738783926714)	(6.0, 2.7169058783361666)	(7.0, 2.162329111610135)	(8.0, 1.7676341879415858)	(9.0, 1.4993580342169304)	('>10', 18.58995644831138)	('>50', 7.442297648032971)	('>100', 16.468382645055396)	('>500', 5.69209528792066)	('>1k', 4.7693327294488554)	('>5k', 0.19175042967680103)	('>10k+', 0.24308081660588612)
TS047_RoL_RNA_170_1	(1.0, 14.846544303666326)	(2.0, 8.730420319922123)	(3.0, 6.2904805069186995)	(4.0, 4.647681823086945)	(5.0, 3.4990327180372414)	(6.0, 2.6684458767306096)	(7.0, 2.1178854809323657)	(8.0, 1.7333332423729746)	(9.0, 1.3854056084632562)	('>10', 18.551552966255986)	('>50', 7.191389142691198)	('>100', 16.481369396254625)	('>500', 5.923980268276271)	('>1k', 5.805092952241479)	('>5k', 0.12738539414979425)	('>10k+', 0.0)
TS047_RoL_RNA_170_2	(1.0, 15.152991646008918)	(2.0, 8.280932739242282)	(3.0, 5.8973008417364134)	(4.0, 4.371958824113065)	(5.0, 3.333318993993204)	(6.0, 2.530233673501415)	(7.0, 2.0332037380290204)	(8.0, 1.6973848149307424)	(9.0, 1.3845699520835264)	('>10', 18.188323343485806)	('>50', 7.451903640522755)	('>100', 17.27864646419624)	('>500', 6.195530377382733)	('>1k', 5.629905331050998)	('>5k', 0.2980383093675238)	('>10k+', 0.2757573103553214)
TS047_RoL_RNA_175_1	(1.0, 15.96198912953099)	(2.0, 9.945213085683053)	(3.0, 7.140049944425951)	(4.0, 5.298814846644599)	(5.0, 3.8924331074953495)	(6.0, 3.0662415652648884)	(7.0, 2.3665183548157116)	(8.0, 1.9768673213672916)	(9.0, 1.590297780431774)	('>10', 19.52430868185065)	('>50', 6.9916736056423385)	('>100', 14.209441865793726)	('>500', 4.408486137282421)	('>1k', 3.6276645737712796)	('>5k', 0.0)	('>10k+', 0.0)
TS047_RoL_RNA_175_2	(1.0, 16.424765421793285)	(2.0, 9.209649113027313)	(3.0, 6.766200831673165)	(4.0, 5.013824180788327)	(5.0, 3.7160639058152256)	(6.0, 2.9062698986667854)	(7.0, 2.33808931767312)	(8.0, 1.8958445151569432)	(9.0, 1.6685207342558497)	('>10', 19.474557749030154)	('>50', 7.117737762041817)	('>100', 14.74437019728881)	('>500', 4.862938585578481)	('>1k', 3.4872495048193133)	('>5k', 0.19456728941860083)	('>10k+', 0.1793509929726814)
TS047_RoL_RNA_177_1	(1.0, 18.00519768262907)	(2.0, 10.742168789809403)	(3.0, 7.613434361913478)	(4.0, 5.514972966601006)	(5.0, 4.001609327638612)	(6.0, 3.0402990815980804)	(7.0, 2.2712619720660734)	(8.0, 1.8612002956712972)	(9.0, 1.5732896485162227)	('>10', 18.336637953643773)	('>50', 6.805574818519629)	('>100', 13.794760361567358)	('>500', 3.992539495255218)	('>1k', 2.4470532445706072)	('>5k', 0.0)	('>10k+', 0.0)
TS047_RoL_RNA_177_2	(1.0, 18.414551212368053)	(2.0, 10.23916704405267)	(3.0, 7.304949310392979)	(4.0, 5.3105642869529275)	(5.0, 3.7976082580298254)	(6.0, 3.015582055698782)	(7.0, 2.271552391336807)	(8.0, 1.8893123271894372)	(9.0, 1.558655782074946)	('>10', 18.183791844314417)	('>50', 6.934827500863659)	('>100', 14.27627586088183)	('>500', 4.261465938517002)	('>1k', 2.1412725692548418)	('>5k', 0.268534694837415)	('>10k+', 0.13188892323448803)
TS047_RoL_RNA_200_1	(1.0, 13.658923775166338)	(2.0, 8.434073734326605)	(3.0, 6.1851308211194205)	(4.0, 4.580812485071218)	(5.0, 3.512563076415361)	(6.0, 2.7317593960714923)	(7.0, 2.2605492372667744)	(8.0, 1.7917087068820936)	(9.0, 1.6077195624224754)	('>10', 20.056511669973272)	('>50', 7.522976005103142)	('>100', 16.131584937537543)	('>500', 5.714530493677404)	('>1k', 5.620738335196956)	('>5k', 0.1904177637698618)	('>10k+', 0.0)
TS047_RoL_RNA_200_2	(1.0, 14.1339363007355)	(2.0, 7.725402536353389)	(3.0, 5.703773460673801)	(4.0, 4.329267300459163)	(5.0, 3.357997446141503)	(6.0, 2.641886354007725)	(7.0, 2.2115900127122163)	(8.0, 1.7658565477455885)	(9.0, 1.5851803853681283)	('>10', 19.991526503437807)	('>50', 7.637218474508541)	('>100', 16.716841199623627)	('>500', 5.948057178304255)	('>1k', 5.665119622754528)	('>5k', 0.3548766846695817)	('>10k+', 0.2314699925048196)
TS047_RoL_RNA_204_1	(1.0, 15.532967098161876)	(2.0, 9.154352533694258)	(3.0, 6.6115962278205975)	(4.0, 4.789765112445806)	(5.0, 3.4973203101026265)	(6.0, 2.7432522095061507)	(7.0, 2.08209513635977)	(8.0, 1.6577654274216653)	(9.0, 1.4511711148043291)	('>10', 16.68805513555438)	('>50', 6.578616855845709)	('>100', 15.95957665051455)	('>500', 6.0706218313236056)	('>1k', 6.875530850187012)	('>5k', 0.30731350625777104)	('>10k+', 0.0)
TS047_RoL_RNA_204_2	(1.0, 15.794332249208063)	(2.0, 8.606718850317673)	(3.0, 6.237069709676192)	(4.0, 4.601324913073271)	(5.0, 3.2723735186588034)	(6.0, 2.6929744372442017)	(7.0, 2.0403089712956657)	(8.0, 1.666414330653509)	(9.0, 1.3080279794804786)	('>10', 16.17975899806057)	('>50', 6.665931387058423)	('>100', 16.966867664745326)	('>500', 6.40956123427521)	('>1k', 7.025481376803475)	('>5k', 0.24744026859384677)	('>10k+', 0.2854141108554401)
TS047_RoL_RNA_20_1	(1.0, 15.610968452607175)	(2.0, 9.152384970669717)	(3.0, 6.583831290165102)	(4.0, 4.736545492742951)	(5.0, 3.7209697676797013)	(6.0, 2.8287990436094126)	(7.0, 2.1847564200524725)	(8.0, 1.9395612512894584)	(9.0, 1.6336152189590405)	('>10', 19.801912726251288)	('>50', 7.552641389627067)	('>100', 15.433689408888327)	('>500', 4.612856544525868)	('>1k', 4.152776417634508)	('>5k', 0.054691605298181255)	('>10k+', 0.0)
TS047_RoL_RNA_20_2	(1.0, 16.03050503910662)	(2.0, 8.556447859921184)	(3.0, 6.294905451147235)	(4.0, 4.68428817107238)	(5.0, 3.599817855239487)	(6.0, 2.8078499045334175)	(7.0, 2.1893885721470623)	(8.0, 1.7795505164816792)	(9.0, 1.5316289706886939)	('>10', 19.5225582697876)	('>50', 7.631488770474459)	('>100', 16.22392117356844)	('>500', 4.969226070967545)	('>1k', 3.7909392974041256)	('>5k', 0.2564368898919842)	('>10k+', 0.1310471875682137)
TS047_RoL_RNA_229_1	(1.0, 14.089366153609278)	(2.0, 8.36758234942301)	(3.0, 6.013672060431395)	(4.0, 4.46034910663905)	(5.0, 3.25214784559192)	(6.0, 2.544921419158374)	(7.0, 1.9299326404004553)	(8.0, 1.6816796808671826)	(9.0, 1.4746060750031698)	('>10', 17.779548400274752)	('>50', 7.38494675117493)	('>100', 18.05809637482193)	('>500', 5.932268801246201)	('>1k', 6.642758620326636)	('>5k', 0.3881237210315892)	('>10k+', 0.0)
TS047_RoL_RNA_229_2	(1.0, 14.376656713660962)	(2.0, 7.733197174610271)	(3.0, 5.4825453469563215)	(4.0, 4.036227843703503)	(5.0, 3.090575020693296)	(6.0, 2.398094143808492)	(7.0, 1.8714547626840508)	(8.0, 1.6125625401487247)	(9.0, 1.3277845518056444)	('>10', 17.411402088967563)	('>50', 7.8496486750639045)	('>100', 18.766285596490782)	('>500', 6.518528094734253)	('>1k', 6.753990770135926)	('>5k', 0.36667725626873604)	('>10k+', 0.4043694202673631)
TS047_RoL_RNA_231_1	(1.0, 18.783988461522426)	(2.0, 10.324734014213412)	(3.0, 7.030460731082784)	(4.0, 4.693158020591655)	(5.0, 3.3375834463484964)	(6.0, 2.5020484086792654)	(7.0, 1.9067292184610192)	(8.0, 1.5043007252811567)	(9.0, 1.2643004831921207)	('>10', 15.511290915121759)	('>50', 6.579254888463407)	('>100', 14.843263449887417)	('>500', 5.4568672596700125)	('>1k', 6.009093382039021)	('>5k', 0.25292659544597035)	('>10k+', 0.0)
TS047_RoL_RNA_231_2	(1.0, 19.15180937970961)	(2.0, 9.785817576396344)	(3.0, 6.593384185364892)	(4.0, 4.457745006472935)	(5.0, 3.2440392692338857)	(6.0, 2.3928533641541296)	(7.0, 1.8188639083324256)	(8.0, 1.4677717851227736)	(9.0, 1.2316442341441798)	('>10', 15.387998569196654)	('>50', 6.691998800231212)	('>100', 15.676389349660477)	('>500', 5.911589193848951)	('>1k', 5.725558501633856)	('>5k', 0.3772702035929078)	('>10k+', 0.08526667290463996)
TS047_RoL_RNA_258_1	(1.0, 15.82293281614552)	(2.0, 9.550260559883442)	(3.0, 6.934794078860812)	(4.0, 5.013529928924649)	(5.0, 3.6907144161095187)	(6.0, 2.8381716458173067)	(7.0, 2.25299629995476)	(8.0, 1.8033190685645024)	(9.0, 1.5046140108466846)	('>10', 17.85141289917925)	('>50', 6.808263520972075)	('>100', 15.196242450699573)	('>500', 5.280024715614029)	('>1k', 5.3037748408644)	('>5k', 0.14894874756360807)	('>10k+', 0.0)
TS047_RoL_RNA_258_2	(1.0, 16.242220628150957)	(2.0, 8.926633326266685)	(3.0, 6.553958647430874)	(4.0, 4.766205518804449)	(5.0, 3.6325142609653973)	(6.0, 2.6987218150133216)	(7.0, 2.2186350001426702)	(8.0, 1.7107158807237264)	(9.0, 1.5065880038092339)	('>10', 17.845664946052672)	('>50', 6.938043423166469)	('>100', 15.565284509258332)	('>500', 5.908774426591047)	('>1k', 5.119205277437701)	('>5k', 0.20155127223090474)	('>10k+', 0.16528306395561337)
TS047_RoL_RNA_262_1	(1.0, 14.838686579313165)	(2.0, 8.696721436211439)	(3.0, 6.233459410409172)	(4.0, 4.653821163091113)	(5.0, 3.300426997855551)	(6.0, 2.5724145579144033)	(7.0, 2.015170708585649)	(8.0, 1.800752590180078)	(9.0, 1.5113217953646043)	('>10', 18.410446531482677)	('>50', 7.642311811549805)	('>100', 17.68746564480663)	('>500', 5.842024691488832)	('>1k', 4.7338994304065976)	('>5k', 0.06107665134029094)	('>10k+', 0.0)
TS047_RoL_RNA_262_2	(1.0, 15.226994233269501)	(2.0, 8.153380098102815)	(3.0, 5.893592514268389)	(4.0, 4.161847191904292)	(5.0, 3.234300693233368)	(6.0, 2.420252446825868)	(7.0, 1.9629836485829337)	(8.0, 1.7190574411965247)	(9.0, 1.402300563854842)	('>10', 18.467488262507377)	('>50', 7.813197242076478)	('>100', 18.19305870509836)	('>500', 6.420422824532341)	('>1k', 4.550636239200986)	('>5k', 0.18108049716482577)	('>10k+', 0.19940739818136802)
TS047_RoL_RNA_286_1	(1.0, 18.31046748904179)	(2.0, 11.231202814685155)	(3.0, 8.032486182656362)	(4.0, 5.701679244038633)	(5.0, 4.258544794955055)	(6.0, 3.2584284044890564)	(7.0, 2.604962806656274)	(8.0, 2.123024539918037)	(9.0, 1.7332081257645693)	('>10', 19.107070459844483)	('>50', 6.23877297888683)	('>100', 12.566015341962219)	('>500', 2.972572915361042)	('>1k', 1.8615639017404417)	('>5k', 0.0)	('>10k+', 0.0)
TS047_RoL_RNA_286_2	(1.0, 18.504187214143496)	(2.0, 10.688724789087201)	(3.0, 7.669093564595222)	(4.0, 5.529217656706883)	(5.0, 4.407944748790335)	(6.0, 3.292936251213204)	(7.0, 2.5687912095925887)	(8.0, 2.1174735083094696)	(9.0, 1.66568686000952)	('>10', 19.11301078475514)	('>50', 6.54522482944864)	('>100', 12.54345025270257)	('>500', 3.185248258143266)	('>1k', 1.8431534243594967)	('>5k', 0.17171099321937233)	('>10k+', 0.15414565492349583)
TS047_RoL_RNA_288_1	(1.0, 17.706307990460502)	(2.0, 10.379588514450502)	(3.0, 7.24935385761759)	(4.0, 5.172117778292822)	(5.0, 3.971469585884853)	(6.0, 3.038774005147623)	(7.0, 2.358228814279433)	(8.0, 1.951693985421999)	(9.0, 1.6627295288924482)	('>10', 20.188104740847606)	('>50', 7.052882566404453)	('>100', 14.035606576064785)	('>500', 3.4848405989400275)	('>1k', 1.7483014572955287)	('>5k', 0.0)	('>10k+', 0.0)
TS047_RoL_RNA_288_2	(1.0, 17.968305148280155)	(2.0, 9.644986237313603)	(3.0, 6.956735236858035)	(4.0, 5.016589764351822)	(5.0, 3.6760126128112693)	(6.0, 2.933021911091472)	(7.0, 2.3594927978293745)	(8.0, 1.9771829259769387)	(9.0, 1.6152012318604698)	('>10', 20.335877424522337)	('>50', 7.389057013526158)	('>100', 14.249462211974379)	('>500', 3.6115451098749483)	('>1k', 2.0131076633379545)	('>5k', 0.11540766748669987)	('>10k+', 0.13801504290431937)
TS047_RoL_RNA_289_1	(1.0, 16.221110885813186)	(2.0, 9.710356904449686)	(3.0, 7.061473404718792)	(4.0, 5.05664151580848)	(5.0, 3.890800953396277)	(6.0, 2.935040180213046)	(7.0, 2.399145148614185)	(8.0, 1.9150149480503569)	(9.0, 1.6004356814185174)	('>10', 18.48740932241949)	('>50', 6.862232397727331)	('>100', 14.662823973005523)	('>500', 4.777106668620452)	('>1k', 4.314675694316315)	('>5k', 0.10573232142837)	('>10k+', 0.0)
TS047_RoL_RNA_289_2	(1.0, 16.671573623129017)	(2.0, 9.027410292279917)	(3.0, 6.536269970783415)	(4.0, 4.917744396972533)	(5.0, 3.6536657133742794)	(6.0, 2.990420783475973)	(7.0, 2.2613120174580166)	(8.0, 1.8577526193988003)	(9.0, 1.5920207286068442)	('>10', 18.267765911904498)	('>50', 7.01449996778607)	('>100', 15.100685804325522)	('>500', 5.2465508515855515)	('>1k', 4.151989728191388)	('>5k', 0.4578936800167364)	('>10k+', 0.25244391071144)
TS047_RoL_RNA_291_1	(1.0, 20.742162484307133)	(2.0, 12.489379026307882)	(3.0, 8.813948676412547)	(4.0, 6.2638134747572485)	(5.0, 4.573022944538634)	(6.0, 3.4021215085512444)	(7.0, 2.5853172212808078)	(8.0, 2.0768517452194155)	(9.0, 1.6740875146305245)	('>10', 16.31393631854375)	('>50', 5.310063835597139)	('>100', 10.445835515200786)	('>500', 2.9127017384554743)	('>1k', 2.364343486682755)	('>5k', 0.03241450951461281)	('>10k+', 0.0)
TS047_RoL_RNA_291_2	(1.0, 21.07733763408695)	(2.0, 11.899094997831014)	(3.0, 8.454210110224679)	(4.0, 6.177507063497281)	(5.0, 4.303177153931598)	(6.0, 3.3899850306644783)	(7.0, 2.5576876118346643)	(8.0, 2.051928710639745)	(9.0, 1.6080938037930739)	('>10', 16.61320772133842)	('>50', 5.412241791425849)	('>100', 10.610483930653423)	('>500', 3.279302920665228)	('>1k', 2.253376208882827)	('>5k', 0.15950466704710523)	('>10k+', 0.15286064348381168)
TS047_RoL_RNA_317_1	(1.0, 15.376754167252887)	(2.0, 9.087541674995904)	(3.0, 6.5742609686555635)	(4.0, 4.801274155702974)	(5.0, 3.5852477652943118)	(6.0, 2.821700923342681)	(7.0, 2.28448815653355)	(8.0, 1.858896957173868)	(9.0, 1.5772403334944805)	('>10', 18.91640742685404)	('>50', 6.894681693424539)	('>100', 15.005228399651887)	('>500', 5.449733548438431)	('>1k', 5.573064055112377)	('>5k', 0.1934797740723331)	('>10k+', 0.0)
TS047_RoL_RNA_317_2	(1.0, 15.465132202730574)	(2.0, 8.36038630260144)	(3.0, 6.193265841870907)	(4.0, 4.582121614979269)	(5.0, 3.452990731444703)	(6.0, 2.678953967893687)	(7.0, 2.173578201646267)	(8.0, 1.8314616995373167)	(9.0, 1.5327383493511988)	('>10', 18.70762552627557)	('>50', 7.049147412642608)	('>100', 16.13949152992551)	('>500', 5.953792787167757)	('>1k', 5.459295885043488)	('>5k', 0.24287921806654464)	('>10k+', 0.17713872882334825)
TS047_RoL_RNA_318_1	(1.0, 15.69171054604561)	(2.0, 9.55107521718893)	(3.0, 7.015788815420873)	(4.0, 5.198450167468539)	(5.0, 3.8373697859275233)	(6.0, 3.0281428279587344)	(7.0, 2.3241860350880734)	(8.0, 1.8724233656019724)	(9.0, 1.5645734250346903)	('>10', 18.88043261121717)	('>50', 6.8203215573659755)	('>100', 15.404307662321544)	('>500', 4.749330005166795)	('>1k', 4.061887978193571)	('>5k', 0.0)	('>10k+', 0.0)
TS047_RoL_RNA_318_2	(1.0, 15.910738806021444)	(2.0, 8.731139701129699)	(3.0, 6.544024732833813)	(4.0, 4.8159852368436935)	(5.0, 3.6777718237903234)	(6.0, 2.7987449234955126)	(7.0, 2.2985021687987732)	(8.0, 1.8153512228909419)	(9.0, 1.5474884774575481)	('>10', 18.944594811260853)	('>50', 7.173042508848801)	('>100', 16.10507891879111)	('>500', 5.1202784882296575)	('>1k', 4.0023051390704385)	('>5k', 0.3584690024131035)	('>10k+', 0.15648403812434084)
TS047_RoL_RNA_319_1	(1.0, 16.552566790023647)	(2.0, 9.912978194627879)	(3.0, 7.020171412094791)	(4.0, 5.165549389593392)	(5.0, 3.7816134320362926)	(6.0, 2.9792030515059276)	(7.0, 2.3853711920353198)	(8.0, 1.8503899866417624)	(9.0, 1.5832988970478135)	('>10', 18.807674294055097)	('>50', 6.7694255018160705)	('>100', 14.363631021984864)	('>500', 4.609943884162581)	('>1k', 4.129625962784958)	('>5k', 0.08855698958952316)	('>10k+', 0.0)
TS047_RoL_RNA_319_2	(1.0, 16.943177568799147)	(2.0, 9.350925859834094)	(3.0, 6.564476264312029)	(4.0, 4.989394456723601)	(5.0, 3.761212089122992)	(6.0, 2.897525477077416)	(7.0, 2.2940681864076695)	(8.0, 1.818358918410029)	(9.0, 1.5170945666164808)	('>10', 18.71798082580816)	('>50', 6.789022740483586)	('>100', 14.686189574742151)	('>500', 5.060005688015741)	('>1k', 4.0479030520321535)	('>5k', 0.3774831279763133)	('>10k+', 0.18518160363858382)
