Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
TS047_RoL_RNA_288_2	TS047_RoL_RNA_288_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25688193.0	2.5 Gbp	0.0	20-101	46.0	29.571294251515972	99.6518152327803	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_289_1	TS047_RoL_RNA_289_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30331475.0	3 Gbp	0.0	20-101	46.0	27.879142543735867	99.63675711451553	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_289_2	TS047_RoL_RNA_289_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30331475.0	3 Gbp	0.0	20-101	46.0	27.65020347941074	99.58386928100265	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_291_1	TS047_RoL_RNA_291_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25078064.0	2.5 Gbp	0.0	20-101	46.0	34.818227110882326	99.66606513166248	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_291_2	TS047_RoL_RNA_291_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25078064.0	2.5 Gbp	0.0	20-101	46.0	34.60435767914999	99.60186663531921	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_317_1	TS047_RoL_RNA_317_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25315686.0	2.5 Gbp	0.0	20-101	45.0	26.410208884249855	99.55993256512978	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_317_2	TS047_RoL_RNA_317_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25315686.0	2.5 Gbp	0.0	20-101	45.0	25.82147220823089	99.51596456837078	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_318_1	TS047_RoL_RNA_318_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26755303.0	2.6 Gbp	0.0	20-101	46.0	27.29454065787359	99.55758877034583	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_318_2	TS047_RoL_RNA_318_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26755303.0	2.6 Gbp	0.0	20-101	46.0	26.73615970027685	99.50808030467829	100	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_319_1	TS047_RoL_RNA_319_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27541419.0	2.7 Gbp	0.0	20-101	46.0	28.315825655823495	99.67521700679256	100	pass	pass	warn	pass	fail	fail	pass	warn	fail	pass	pass
TS047_RoL_RNA_319_2	TS047_RoL_RNA_319_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27541419.0	2.7 Gbp	0.0	20-101	46.0	28.160069459703784	99.63295614870098	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_322_1	TS047_RoL_RNA_322_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28908732.0	2.8 Gbp	0.0	20-101	46.0	27.586690102386065	99.71766572120839	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_322_2	TS047_RoL_RNA_322_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28908732.0	2.8 Gbp	0.0	20-101	46.0	27.43959008408239	99.66110889955326	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_326_1	TS047_RoL_RNA_326_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24134791.0	2.4 Gbp	0.0	20-101	46.0	30.170079416490825	99.52213663254842	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_326_2	TS047_RoL_RNA_326_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24134791.0	2.4 Gbp	0.0	20-101	46.0	29.99816925540007	99.46665796691589	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_328_1	TS047_RoL_RNA_328_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29848600.0	2.9 Gbp	0.0	20-101	46.0	29.059171687563683	99.62002773999451	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_328_2	TS047_RoL_RNA_328_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29848600.0	2.9 Gbp	0.0	20-101	46.0	28.969115701926878	99.55702109981708	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_347_1	TS047_RoL_RNA_347_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23097007.0	2.3 Gbp	0.0	20-101	46.0	30.13419541183299	99.47438001382604	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_347_2	TS047_RoL_RNA_347_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23097007.0	2.3 Gbp	0.0	20-101	46.0	29.854396223535478	99.42512341534122	100	pass	pass	warn	pass	warn	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_355_1	TS047_RoL_RNA_355_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19813209.0	1.9 Gbp	0.0	20-101	45.0	28.12186475090548	98.97695575209447	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_355_2	TS047_RoL_RNA_355_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19813209.0	1.9 Gbp	0.0	20-101	45.0	27.653021871246192	98.93291281084251	100	pass	pass	warn	pass	warn	fail	pass	warn	fail	pass	pass
TS047_RoL_RNA_377_1	TS047_RoL_RNA_377_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24069821.0	2.4 Gbp	0.0	20-101	47.0	23.63669641181116	99.54886222460898	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_377_2	TS047_RoL_RNA_377_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24069821.0	2.4 Gbp	0.0	20-101	47.0	23.217203799479336	99.51517090633952	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
TS047_RoL_RNA_381_1	TS047_RoL_RNA_381_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25262677.0	2.5 Gbp	0.0	20-101	45.0	27.06696211392582	99.56433122665504	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_381_2	TS047_RoL_RNA_381_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25262677.0	2.5 Gbp	0.0	20-101	45.0	27.18702213523223	99.51879899743008	100	pass	pass	warn	pass	fail	fail	pass	warn	fail	pass	pass
TS047_RoL_RNA_407_1	TS047_RoL_RNA_407_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30623500.0	3 Gbp	0.0	20-101	47.0	16.435065554249526	99.68149702026221	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_407_2	TS047_RoL_RNA_407_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30623500.0	3 Gbp	0.0	20-101	47.0	15.990742964987106	99.63241745718157	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_412_1	TS047_RoL_RNA_412_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26157776.0	2.6 Gbp	0.0	20-101	46.0	24.76647756572343	99.71744616208962	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_412_2	TS047_RoL_RNA_412_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26157776.0	2.6 Gbp	0.0	20-101	46.0	24.687719140405164	99.66884837610047	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_439_1	TS047_RoL_RNA_439_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24242583.0	2.4 Gbp	0.0	20-101	45.0	27.032724248713013	99.50581551066567	100	pass	pass	warn	pass	fail	fail	pass	warn	fail	pass	pass
TS047_RoL_RNA_439_2	TS047_RoL_RNA_439_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24242583.0	2.4 Gbp	0.0	20-101	45.0	26.820797136390368	99.44865081002301	100	pass	pass	fail	pass	fail	fail	pass	warn	fail	pass	pass
TS047_RoL_RNA_442_1	TS047_RoL_RNA_442_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29043258.0	2.9 Gbp	0.0	20-101	46.0	26.950721267185962	99.70341244084943	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_442_2	TS047_RoL_RNA_442_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29043258.0	2.8 Gbp	0.0	20-101	46.0	27.11979356553982	99.64703240249423	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_468_1	TS047_RoL_RNA_468_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27285758.0	2.7 Gbp	0.0	20-101	45.0	28.499936919567777	99.63338621562208	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_468_2	TS047_RoL_RNA_468_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27285758.0	2.7 Gbp	0.0	20-101	45.0	28.488262321100226	99.58744173425565	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_469_1	TS047_RoL_RNA_469_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30770546.0	3 Gbp	0.0	20-101	47.0	23.316726622916743	99.64294188994891	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_469_2	TS047_RoL_RNA_469_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30770546.0	3 Gbp	0.0	20-101	47.0	23.276253453858278	99.58463860212295	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_46_1	TS047_RoL_RNA_46_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25718199.0	2.5 Gbp	0.0	20-101	47.0	12.299233563753932	99.43348892743228	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
TS047_RoL_RNA_46_2	TS047_RoL_RNA_46_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25718199.0	2.5 Gbp	0.0	20-101	47.0	12.351206543132946	99.39562834473752	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
TS047_RoL_RNA_477_1	TS047_RoL_RNA_477_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28376426.0	2.8 Gbp	0.0	20-101	46.0	31.86865309173288	99.67238273769924	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_477_2	TS047_RoL_RNA_477_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28376426.0	2.8 Gbp	0.0	20-101	46.0	31.76407439591429	99.61172936295783	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_478_1	TS047_RoL_RNA_478_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28752196.0	2.8 Gbp	0.0	20-101	46.0	27.515818246440706	99.64944020275877	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_478_2	TS047_RoL_RNA_478_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28752196.0	2.8 Gbp	0.0	20-101	46.0	27.560071493504562	99.59754093217784	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_498_1	TS047_RoL_RNA_498_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27977215.0	2.7 Gbp	0.0	20-101	46.0	29.89010821018747	99.6321878893235	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_498_2	TS047_RoL_RNA_498_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	27977215.0	2.7 Gbp	0.0	20-101	46.0	29.68902198243082	99.5768380626878	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_500_1	TS047_RoL_RNA_500_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28084569.0	2.8 Gbp	0.0	20-101	46.0	26.846769294009125	99.71662611236798	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_500_2	TS047_RoL_RNA_500_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28084569.0	2.8 Gbp	0.0	20-101	46.0	27.06059645023563	99.66946726154139	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_502_1	TS047_RoL_RNA_502_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25335493.0	2.5 Gbp	0.0	20-101	45.0	31.172506893839202	100.04976546144178	100	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
TS047_RoL_RNA_502_2	TS047_RoL_RNA_502_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25335493.0	2.5 Gbp	0.0	20-101	45.0	30.98512126592955	99.98742872301715	100	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
