Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
TS047_RoL_RNA_136_1	(1.0, 17.75351397606704)	(2.0, 10.684314483926274)	(3.0, 7.487638443386306)	(4.0, 5.3623350484207615)	(5.0, 3.9161769699618834)	(6.0, 2.863442202282477)	(7.0, 2.264798234498952)	(8.0, 1.8691430636088024)	(9.0, 1.5548070089458186)	('>10', 17.74551361047367)	('>50', 6.2329874198562845)	('>100', 12.415770498776231)	('>500', 4.346754061820836)	('>1k', 5.310292475052805)	('>5k', 0.19251250292184097)	('>10k+', 0.0)
TS047_RoL_RNA_136_2	(1.0, 17.457607733518145)	(2.0, 9.97518070673478)	(3.0, 6.990671546277666)	(4.0, 5.1512349303303555)	(5.0, 3.6851978627799133)	(6.0, 2.8702552395003877)	(7.0, 2.2179382565717303)	(8.0, 1.7863869393761285)	(9.0, 1.533324035268105)	('>10', 17.924110585035987)	('>50', 6.437429274062752)	('>100', 13.382698440510035)	('>500', 4.713645912016476)	('>1k', 5.413510561554418)	('>5k', 0.3931971624426282)	('>10k+', 0.06761081402047599)
TS047_RoL_RNA_142_1	(1.0, 17.231188312457636)	(2.0, 10.552901121755923)	(3.0, 7.622174572003806)	(4.0, 5.623145836231867)	(5.0, 4.136768279767904)	(6.0, 3.2376917993472225)	(7.0, 2.5160614315070062)	(8.0, 2.1369504957639616)	(9.0, 1.6746704917423496)	('>10', 19.427201295504215)	('>50', 6.519198926266929)	('>100', 12.648141909464217)	('>500', 3.360843188800797)	('>1k', 3.28415379279946)	('>5k', 0.028908546586885464)	('>10k+', 0.0)
TS047_RoL_RNA_142_2	(1.0, 17.545406232017005)	(2.0, 9.723466979549237)	(3.0, 7.191889108362372)	(4.0, 5.223554234526834)	(5.0, 4.036084935260582)	(6.0, 3.197694638610761)	(7.0, 2.485731509057813)	(8.0, 2.0669626112612542)	(9.0, 1.7609604875803424)	('>10', 19.77396913404338)	('>50', 6.778599280719637)	('>100', 13.059743413336541)	('>500', 3.773680667340592)	('>1k', 3.024174608151801)	('>5k', 0.35808216018184524)	('>10k+', 0.0)
TS047_RoL_RNA_145_1	(1.0, 15.860851288357903)	(2.0, 9.543553436409628)	(3.0, 6.914737287806706)	(4.0, 5.207153703976021)	(5.0, 4.020133332542207)	(6.0, 3.0397667307109226)	(7.0, 2.417944717261126)	(8.0, 1.999331140482478)	(9.0, 1.6793974786267092)	('>10', 19.66834286226341)	('>50', 7.00206286706426)	('>100', 13.789159286701944)	('>500', 4.148227157916683)	('>1k', 4.5041191427005005)	('>5k', 0.20521956717945142)	('>10k+', 0.0)
TS047_RoL_RNA_145_2	(1.0, 16.17076949375673)	(2.0, 9.044668693596861)	(3.0, 6.545254136894762)	(4.0, 4.941260594565082)	(5.0, 3.7678684353406835)	(6.0, 3.0225567159889435)	(7.0, 2.325395879115489)	(8.0, 2.0098901336413353)	(9.0, 1.6432956822697693)	('>10', 19.874153908343107)	('>50', 7.146754722131517)	('>100', 14.040866288947424)	('>500', 4.67169000245307)	('>1k', 4.253762114707025)	('>5k', 0.3246566981175999)	('>10k+', 0.2171565001306883)
TS047_RoL_RNA_146_1	(1.0, 15.846780447883699)	(2.0, 9.570844386022754)	(3.0, 7.066949928842563)	(4.0, 5.161819936386772)	(5.0, 3.9678130086099426)	(6.0, 3.0388115558651574)	(7.0, 2.453184395244857)	(8.0, 1.9761276216898875)	(9.0, 1.7167950347013758)	('>10', 19.241704256078314)	('>50', 6.747757849258718)	('>100', 15.220622841594325)	('>500', 4.555560582045009)	('>1k', 3.343981913275945)	('>5k', 0.09124624250090037)	('>10k+', 0.0)
TS047_RoL_RNA_146_2	(1.0, 16.20791055990703)	(2.0, 8.905192850835698)	(3.0, 6.75072585534066)	(4.0, 5.012918818674264)	(5.0, 3.8117216189014003)	(6.0, 3.051541370583328)	(7.0, 2.3866945798855603)	(8.0, 1.9462825965035784)	(9.0, 1.584987635494633)	('>10', 19.28094399996438)	('>50', 7.076198953152124)	('>100', 15.314977293382077)	('>500', 4.89160907197165)	('>1k', 3.299866168022647)	('>5k', 0.3283767565869415)	('>10k+', 0.15005187079404497)
TS047_RoL_RNA_16_1	(1.0, 15.30954462926461)	(2.0, 8.787094295489831)	(3.0, 6.495374567138736)	(4.0, 4.83273456726625)	(5.0, 3.649161035651499)	(6.0, 2.814521357658488)	(7.0, 2.239907533282952)	(8.0, 1.8090815604520596)	(9.0, 1.5205965118069402)	('>10', 18.74458490767804)	('>50', 7.2031377193146255)	('>100', 16.061646314819043)	('>500', 5.14079670482656)	('>1k', 5.235233884639659)	('>5k', 0.156584410710703)	('>10k+', 0.0)
TS047_RoL_RNA_16_2	(1.0, 15.694156575129004)	(2.0, 8.454261694492633)	(3.0, 6.162537175857893)	(4.0, 4.612648155535927)	(5.0, 3.4889539279718775)	(6.0, 2.717188677386335)	(7.0, 2.164326805786328)	(8.0, 1.7673165905692976)	(9.0, 1.4990953643142515)	('>10', 18.612361660269606)	('>50', 7.451857130846806)	('>100', 16.483778374961773)	('>500', 5.696871847713061)	('>1k', 4.773493850267216)	('>5k', 0.19192560136194672)	('>10k+', 0.22922656753618245)
TS047_RoL_RNA_170_1	(1.0, 14.831118321671502)	(2.0, 8.732599574139094)	(3.0, 6.293299765111052)	(4.0, 4.65277488040523)	(5.0, 3.5000985674411034)	(6.0, 2.668660685478196)	(7.0, 2.1228572048899457)	(8.0, 1.7334819691296195)	(9.0, 1.384723070814624)	('>10', 18.565150440713225)	('>50', 7.196122093826568)	('>100', 16.47592566054665)	('>500', 5.916153639871094)	('>1k', 5.79957482126593)	('>5k', 0.12745930469608566)	('>10k+', 0.0)
TS047_RoL_RNA_170_2	(1.0, 15.066757254666765)	(2.0, 8.291356383012333)	(3.0, 5.906263808044279)	(4.0, 4.377580067705444)	(5.0, 3.341669193503448)	(6.0, 2.533379996155515)	(7.0, 2.036529805245104)	(8.0, 1.6968759039292045)	(9.0, 1.3857524468407556)	('>10', 18.210209790694424)	('>50', 7.457053461548469)	('>100', 17.298002566737335)	('>500', 6.199440530089665)	('>1k', 5.636552900449651)	('>5k', 0.35167199056163106)	('>10k+', 0.21090390081617544)
TS047_RoL_RNA_175_1	(1.0, 15.945305403146213)	(2.0, 9.948143455222207)	(3.0, 7.137060956484015)	(4.0, 5.303258373032619)	(5.0, 3.8993470259868284)	(6.0, 3.0664147085559272)	(7.0, 2.368347651258186)	(8.0, 1.9846172612211357)	(9.0, 1.58529877154721)	('>10', 19.529882058453587)	('>50', 6.99635892359089)	('>100', 14.216169761276356)	('>500', 4.404168976123047)	('>1k', 3.615626674101873)	('>5k', 0.0)	('>10k+', 0.0)
TS047_RoL_RNA_175_2	(1.0, 16.357097189476775)	(2.0, 9.22040247012417)	(3.0, 6.775572074678816)	(4.0, 5.021731498944057)	(5.0, 3.719129415368865)	(6.0, 2.909414646732859)	(7.0, 2.3412921748115623)	(8.0, 1.8990938187620603)	(9.0, 1.6751705177850857)	('>10', 19.489516498660645)	('>50', 7.123197107961682)	('>100', 14.754209549310401)	('>500', 4.8675517436013624)	('>1k', 3.4907214479060285)	('>5k', 0.19476728563608997)	('>10k+', 0.16113256023943698)
TS047_RoL_RNA_177_1	(1.0, 18.00578863762651)	(2.0, 10.74508571601505)	(3.0, 7.61116407795526)	(4.0, 5.5177488295686015)	(5.0, 4.004343718133583)	(6.0, 3.0421497473914525)	(7.0, 2.2713644342205863)	(8.0, 1.8595558023496002)	(9.0, 1.5751055328299117)	('>10', 18.33062302395657)	('>50', 6.814442309386047)	('>100', 13.788834181404596)	('>500', 4.005687680849615)	('>1k', 2.428106308312606)	('>5k', 0.0)	('>10k+', 0.0)
TS047_RoL_RNA_177_2	(1.0, 18.33127174476373)	(2.0, 10.259910638188268)	(3.0, 7.312019723140241)	(4.0, 5.318065267506814)	(5.0, 3.804584556908292)	(6.0, 3.019325281402021)	(7.0, 2.272880936836395)	(8.0, 1.8890009532519947)	(9.0, 1.5609948225478878)	('>10', 18.2053523758519)	('>50', 6.938807004954904)	('>100', 14.283210130770707)	('>500', 4.269683498451335)	('>1k', 2.1435655892146213)	('>5k', 0.2688298677418281)	('>10k+', 0.12249760846915797)
TS047_RoL_RNA_200_1	(1.0, 13.636170580545318)	(2.0, 8.439428392373287)	(3.0, 6.187936657495402)	(4.0, 4.580270232815253)	(5.0, 3.5201543119860714)	(6.0, 2.7327539924086746)	(7.0, 2.262343821245829)	(8.0, 1.7901758232550826)	(9.0, 1.6070009244660792)	('>10', 20.066150781948725)	('>50', 7.52420848371326)	('>100', 16.140201698440976)	('>500', 5.7164340282493935)	('>1k', 5.606482506513952)	('>5k', 0.1902877645427843)	('>10k+', 0.0)
TS047_RoL_RNA_200_2	(1.0, 14.023158744485118)	(2.0, 7.740216188246124)	(3.0, 5.716562185851512)	(4.0, 4.332617961012614)	(5.0, 3.3631479803080477)	(6.0, 2.6439178355524073)	(7.0, 2.220228806988097)	(8.0, 1.7672289855876835)	(9.0, 1.5833072583978216)	('>10', 20.03200118503005)	('>50', 7.650576520145261)	('>100', 16.728680680061274)	('>500', 5.955519767293829)	('>1k', 5.669617711911911)	('>5k', 0.35519245656456233)	('>10k+', 0.21802573256379723)
TS047_RoL_RNA_204_1	(1.0, 15.514113321630168)	(2.0, 9.154367042469838)	(3.0, 6.616455776777892)	(4.0, 4.7894075006403405)	(5.0, 3.4986210382199636)	(6.0, 2.742289638993247)	(7.0, 2.0819623977836756)	(8.0, 1.6608022837156213)	(9.0, 1.4495143762032585)	('>10', 16.6932516127045)	('>50', 6.584209466070225)	('>100', 15.974415525671676)	('>500', 6.072899980386436)	('>1k', 6.86019245992058)	('>5k', 0.307497578812478)	('>10k+', 0.0)
TS047_RoL_RNA_204_2	(1.0, 15.739894617690311)	(2.0, 8.60906907440949)	(3.0, 6.249687573557834)	(4.0, 4.600609563042781)	(5.0, 3.277981021124906)	(6.0, 2.6987066216064513)	(7.0, 2.04155734656054)	(8.0, 1.6646411646826922)	(9.0, 1.3094046251951013)	('>10', 16.19517552940897)	('>50', 6.6736027556204585)	('>100', 16.97958774426516)	('>500', 6.411158486804613)	('>1k', 7.031988320640591)	('>5k', 0.24767270560906032)	('>10k+', 0.2692628497812146)
TS047_RoL_RNA_20_1	(1.0, 15.591468557353377)	(2.0, 9.152230851847474)	(3.0, 6.590137796258978)	(4.0, 4.742740106888467)	(5.0, 3.720430409213229)	(6.0, 2.8298671908505963)	(7.0, 2.183257944907118)	(8.0, 1.9388838547853129)	(9.0, 1.637140412192548)	('>10', 19.81395938956568)	('>50', 7.5625001877807545)	('>100', 15.427007880028972)	('>500', 4.613256499830834)	('>1k', 4.142414829093324)	('>5k', 0.054704089403308884)	('>10k+', 0.0)
TS047_RoL_RNA_20_2	(1.0, 15.965938323355788)	(2.0, 8.568353604784724)	(3.0, 6.298963827595977)	(4.0, 4.68860453082023)	(5.0, 3.6001668852544104)	(6.0, 2.8124737052473194)	(7.0, 2.1924479572031257)	(8.0, 1.7810051695760047)	(9.0, 1.5356420557610402)	('>10', 19.54223071054357)	('>50', 7.636077217219753)	('>100', 16.236017279261848)	('>500', 4.973601187709943)	('>1k', 3.7945574710931287)	('>5k', 0.25668925316856994)	('>10k+', 0.11723082140444724)
TS047_RoL_RNA_229_1	(1.0, 14.067802610227579)	(2.0, 8.379420376485474)	(3.0, 6.021395981378416)	(4.0, 4.456995320449809)	(5.0, 3.2572542859067495)	(6.0, 2.5444622726586976)	(7.0, 1.9309734621505723)	(8.0, 1.682695046179793)	(9.0, 1.4771869412261613)	('>10', 17.794468452993335)	('>50', 7.387340065292469)	('>100', 18.056836381577785)	('>500', 5.932311252137652)	('>1k', 6.622495741135026)	('>5k', 0.3883618102002313)	('>10k+', 0.0)
TS047_RoL_RNA_229_2	(1.0, 14.282537791229306)	(2.0, 7.745335409113699)	(3.0, 5.489096177501432)	(4.0, 4.0484781187449626)	(5.0, 3.093832941934346)	(6.0, 2.4015071305740974)	(7.0, 1.8773100247853032)	(8.0, 1.6146071551187868)	(9.0, 1.3291135633378108)	('>10', 17.44201282573018)	('>50', 7.860722258784912)	('>100', 18.780760701543326)	('>500', 6.514696878985925)	('>1k', 6.761512629597776)	('>5k', 0.3670860490942994)	('>10k+', 0.39139034392376)
TS047_RoL_RNA_231_1	(1.0, 18.768823346377978)	(2.0, 10.334436552017022)	(3.0, 7.025740109040594)	(4.0, 4.696054702709943)	(5.0, 3.3379714881118585)	(6.0, 2.502346928729755)	(7.0, 1.9077613963634665)	(8.0, 1.503686932510881)	(9.0, 1.2676864257735385)	('>10', 15.535663842645716)	('>50', 6.575688180752172)	('>100', 14.846608315031332)	('>500', 5.45169588861392)	('>1k', 5.992754390389699)	('>5k', 0.253081500932003)	('>10k+', 0.0)
TS047_RoL_RNA_231_2	(1.0, 19.08112968603312)	(2.0, 9.799086589999211)	(3.0, 6.598669925724711)	(4.0, 4.464162182359332)	(5.0, 3.2506685885752713)	(6.0, 2.3949133301421113)	(7.0, 1.81943418737897)	(8.0, 1.4707777924111491)	(9.0, 1.2315071431673275)	('>10', 15.406720498334254)	('>50', 6.700231302213139)	('>100', 15.692693057233475)	('>500', 5.917366253998063)	('>1k', 5.731128961107652)	('>5k', 0.44151050132201686)	('>10k+', 0.0)
TS047_RoL_RNA_258_1	(1.0, 15.817683877246747)	(2.0, 9.55050193201046)	(3.0, 6.934985977199107)	(4.0, 5.020161419475812)	(5.0, 3.691647141102145)	(6.0, 2.83745467406159)	(7.0, 2.2498053005465763)	(8.0, 1.8058552073725316)	(9.0, 1.5022036722725873)	('>10', 17.85963498396482)	('>50', 6.808084285817466)	('>100', 15.200451835746954)	('>500', 5.275451351007467)	('>1k', 5.297036534010785)	('>5k', 0.14904180816511894)	('>10k+', 0.0)
TS047_RoL_RNA_258_2	(1.0, 16.17133542333938)	(2.0, 8.932458195418416)	(3.0, 6.564197980647625)	(4.0, 4.767128988844747)	(5.0, 3.6392631861612483)	(6.0, 2.703210675946425)	(7.0, 2.2199680649050006)	(8.0, 1.7153862331614693)	(9.0, 1.511307477266763)	('>10', 17.86804365473558)	('>50', 6.942681540190557)	('>100', 15.573277823198428)	('>500', 5.91449292887451)	('>1k', 5.124380797394901)	('>5k', 0.20176008621765854)	('>10k+', 0.15110694369729913)
TS047_RoL_RNA_262_1	(1.0, 14.820498752854963)	(2.0, 8.697622612511312)	(3.0, 6.228732243187935)	(4.0, 4.657918594632986)	(5.0, 3.3029081300835763)	(6.0, 2.573275855883841)	(7.0, 2.0135898870340934)	(8.0, 1.8073175862440012)	(9.0, 1.5097255795436593)	('>10', 18.427806771849397)	('>50', 7.647615990190839)	('>100', 17.690952303036404)	('>500', 5.840295405813422)	('>1k', 4.7206394180687345)	('>5k', 0.06110086906501174)	('>10k+', 0.0)
TS047_RoL_RNA_262_2	(1.0, 15.146928717348713)	(2.0, 8.158229536661224)	(3.0, 5.903888795029183)	(4.0, 4.167100442837331)	(5.0, 3.2406390556698117)	(6.0, 2.4204269075745333)	(7.0, 1.965701723657255)	(8.0, 1.7210493817759556)	(9.0, 1.4035766359196125)	('>10', 18.492054493689707)	('>50', 7.8223634048476)	('>100', 18.208568497171587)	('>500', 6.4248013104235255)	('>1k', 4.556283812871284)	('>5k', 0.18130905352897211)	('>10k+', 0.18707823099353876)
TS047_RoL_RNA_286_1	(1.0, 18.291751616059184)	(2.0, 11.241582693849724)	(3.0, 8.02870616600059)	(4.0, 5.711763362819852)	(5.0, 4.254478829016244)	(6.0, 3.2586935887276134)	(7.0, 2.6069543911346815)	(8.0, 2.1214293278386713)	(9.0, 1.731577484660179)	('>10', 19.118541638921073)	('>50', 6.247861123178442)	('>100', 12.568828109482311)	('>500', 2.9698547168277996)	('>1k', 1.8479769514836617)	('>5k', 0.0)	('>10k+', 0.0)
TS047_RoL_RNA_286_2	(1.0, 18.445191786337368)	(2.0, 10.696783165815656)	(3.0, 7.678251571965259)	(4.0, 5.535051844199228)	(5.0, 4.410368615882544)	(6.0, 3.295432476276143)	(7.0, 2.5775091563714705)	(8.0, 2.117398600253939)	(9.0, 1.6665217543567472)	('>10', 19.1199675401282)	('>50', 6.555235312217196)	('>100', 12.561149173311387)	('>500', 3.187977589205709)	('>1k', 1.8449393956040248)	('>5k', 0.1718812586361383)	('>10k+', 0.13634075943897855)
TS047_RoL_RNA_288_1	(1.0, 17.68757284077279)	(2.0, 10.387161677533289)	(3.0, 7.251566245171127)	(4.0, 5.174211639134403)	(5.0, 3.973496752827456)	(6.0, 3.0398726414394552)	(7.0, 2.358407781870962)	(8.0, 1.959777673547605)	(9.0, 1.6655160100326316)	('>10', 20.18932568724026)	('>50', 7.054235448865084)	('>100', 14.038737893651579)	('>500', 3.479553437641621)	('>1k', 1.7405642702717428)	('>5k', 0.0)	('>10k+', 0.0)
TS047_RoL_RNA_288_2	(1.0, 17.90869492564656)	(2.0, 9.654108098792905)	(3.0, 6.96599608495338)	(4.0, 5.02163830681614)	(5.0, 3.676795306983623)	(6.0, 2.937307523884435)	(7.0, 2.3603257524963803)	(8.0, 1.981527426366697)	(9.0, 1.6151851908280441)	('>10', 20.36209169992766)	('>50', 7.392480426243036)	('>100', 14.251439148859344)	('>500', 3.614535699978165)	('>1k', 2.0149937410345906)	('>5k', 0.11551862046196285)	('>10k+', 0.12736204672718257)
TS047_RoL_RNA_289_1	(1.0, 16.203253679491507)	(2.0, 9.715264730930837)	(3.0, 7.067871805085516)	(4.0, 5.055374824913087)	(5.0, 3.886923044203086)	(6.0, 2.9378140018304766)	(7.0, 2.3993513445122416)	(8.0, 1.914335508900225)	(9.0, 1.6039789700337057)	('>10', 18.49785125785583)	('>50', 6.8686711692247755)	('>100', 14.668961694355694)	('>500', 4.7719731555110405)	('>1k', 4.3028374183551055)	('>5k', 0.10553739479683324)	('>10k+', 0.0)
TS047_RoL_RNA_289_2	(1.0, 16.5986911521227)	(2.0, 9.034824707940814)	(3.0, 6.54807966053699)	(4.0, 4.923128811764359)	(5.0, 3.663334586329656)	(6.0, 2.9935231078306246)	(7.0, 2.2644875740225108)	(8.0, 1.860136396665847)	(9.0, 1.5986362109192034)	('>10', 18.282252847145354)	('>50', 7.017675546868614)	('>100', 15.115990239459856)	('>500', 5.247293857708712)	('>1k', 4.15612313519078)	('>5k', 0.4583638788207224)	('>10k+', 0.23745828667343788)
TS047_RoL_RNA_291_1	(1.0, 20.72803144533558)	(2.0, 12.494306289560711)	(3.0, 8.815227563650966)	(4.0, 6.26145051041805)	(5.0, 4.57681812661336)	(6.0, 3.4058798812735978)	(7.0, 2.584567831642671)	(8.0, 2.0778763946988836)	(9.0, 1.6723871260431713)	('>10', 16.32577449663486)	('>50', 5.31131252375229)	('>100', 10.444797909823652)	('>500', 2.913390174803522)	('>1k', 2.355735215973512)	('>5k', 0.032444509775245864)	('>10k+', 0.0)
TS047_RoL_RNA_291_2	(1.0, 20.99988220570067)	(2.0, 11.914487058430359)	(3.0, 8.468037508477693)	(4.0, 6.182655892808824)	(5.0, 4.309286964018525)	(6.0, 3.3917102514063373)	(7.0, 2.562111670710702)	(8.0, 2.0554880994980915)	(9.0, 1.6080891940232707)	('>10', 16.63938945495152)	('>50', 5.416808695223185)	('>100', 10.61565598809703)	('>500', 3.2826583299819383)	('>1k', 2.255794380478009)	('>5k', 0.15968052355065687)	('>10k+', 0.13826378264319164)
TS047_RoL_RNA_317_1	(1.0, 15.358523950953531)	(2.0, 9.08486277167)	(3.0, 6.580242217678095)	(4.0, 4.805580738705511)	(5.0, 3.5870883788305616)	(6.0, 2.830781297803388)	(7.0, 2.283024611389744)	(8.0, 1.8574029132515248)	(9.0, 1.5765415256436865)	('>10', 18.924108817687248)	('>50', 6.900302560248455)	('>100', 15.010881745980454)	('>500', 5.4455812991778645)	('>1k', 5.5615411135241954)	('>5k', 0.19353605745592334)	('>10k+', 0.0)
TS047_RoL_RNA_317_2	(1.0, 15.390341375625983)	(2.0, 8.373042533162002)	(3.0, 6.199292073611675)	(4.0, 4.58768148806036)	(5.0, 3.4548089595845246)	(6.0, 2.6825133762382984)	(7.0, 2.1772422956250175)	(8.0, 1.8335958801298995)	(9.0, 1.533321491715007)	('>10', 18.735148206503638)	('>50', 7.055125691842343)	('>100', 16.14969458237219)	('>500', 5.95957289319993)	('>1k', 5.464915145988287)	('>5k', 0.24313664179270014)	('>10k+', 0.1605673645481722)
TS047_RoL_RNA_318_1	(1.0, 15.66788325861438)	(2.0, 9.552338405571652)	(3.0, 7.0243608543220395)	(4.0, 5.194582453660851)	(5.0, 3.844204043368686)	(6.0, 3.0241487964102696)	(7.0, 2.3309971433181698)	(8.0, 1.8775605515567628)	(9.0, 1.562987247964231)	('>10', 18.890002559902623)	('>50', 6.82821367632866)	('>100', 15.407528871098933)	('>500', 4.750311545393781)	('>1k', 4.044880592489173)	('>5k', 0.0)	('>10k+', 0.0)
TS047_RoL_RNA_318_2	(1.0, 15.839173377044698)	(2.0, 8.743210652220876)	(3.0, 6.552534876447348)	(4.0, 4.823245261761426)	(5.0, 3.6771161989957704)	(6.0, 2.8015364933849387)	(7.0, 2.3022245702404067)	(8.0, 1.8150507558837052)	(9.0, 1.5488954649987767)	('>10', 18.964012792259886)	('>50', 7.17997620392884)	('>100', 16.11909732966574)	('>500', 5.1281874940583005)	('>1k', 4.006306506296048)	('>5k', 0.35883651720745585)	('>10k+', 0.14059550560576828)
TS047_RoL_RNA_319_1	(1.0, 16.532219157730555)	(2.0, 9.918215811771374)	(3.0, 7.023700405410489)	(4.0, 5.168213404600936)	(5.0, 3.7867728249627834)	(6.0, 2.9809898432533797)	(7.0, 2.386303316622273)	(8.0, 1.8445251225925225)	(9.0, 1.5842145024328351)	('>10', 18.812514727014197)	('>50', 6.780745567635287)	('>100', 14.362301665099036)	('>500', 4.6133270443803225)	('>1k', 4.117438290466457)	('>5k', 0.08851831602752855)	('>10k+', 0.0)
TS047_RoL_RNA_319_2	(1.0, 16.89882811664689)	(2.0, 9.357406913162535)	(3.0, 6.570448032775075)	(4.0, 4.991412328042207)	(5.0, 3.761701313923353)	(6.0, 2.900603112970532)	(7.0, 2.295543824724115)	(8.0, 1.8207240202058526)	(9.0, 1.519496695297618)	('>10', 18.730216023299405)	('>50', 6.790469345008271)	('>100', 14.695626048147478)	('>500', 5.0664851908905035)	('>1k', 4.050654709002812)	('>5k', 0.3777395097655703)	('>10k+', 0.1726448161375838)
