Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
TS047_RoL_RNA_136_1	(15.0, 2.0)	(16.0, 61.0)	(17.0, 263.0)	(18.0, 557.0)	(19.0, 601.0)	(20.0, 757.0)	(21.0, 1396.0)	(22.0, 2635.0)	(23.0, 4663.0)	(24.0, 7030.0)	(25.0, 9033.0)	(26.0, 10867.0)	(27.0, 13185.0)	(28.0, 17327.0)	(29.0, 19807.0)	(30.0, 23677.0)	(31.0, 29852.0)	(32.0, 39507.0)	(33.0, 50577.0)	(34.0, 68811.0)	(35.0, 96162.0)	(36.0, 153263.0)	(37.0, 264593.0)	(38.0, 852523.0)	(39.0, 13288407.0)	(40.0, 8409406.0)			
TS047_RoL_RNA_136_2	(12.0, 5.0)	(13.0, 34.0)	(14.0, 249.0)	(15.0, 1141.0)	(16.0, 4243.0)	(17.0, 6410.0)	(18.0, 6724.0)	(19.0, 6807.0)	(20.0, 7652.0)	(21.0, 8354.0)	(22.0, 9702.0)	(23.0, 10788.0)	(24.0, 13143.0)	(25.0, 14731.0)	(26.0, 17389.0)	(27.0, 20083.0)	(28.0, 24453.0)	(29.0, 27849.0)	(30.0, 33609.0)	(31.0, 41452.0)	(32.0, 53595.0)	(33.0, 66798.0)	(34.0, 88878.0)	(35.0, 125639.0)	(36.0, 197845.0)	(37.0, 335640.0)	(38.0, 1066342.0)	(39.0, 14335620.0)	(40.0, 6839787.0)
TS047_RoL_RNA_142_1	(15.0, 4.0)	(16.0, 64.0)	(17.0, 371.0)	(18.0, 759.0)	(19.0, 1005.0)	(20.0, 1464.0)	(21.0, 2523.0)	(22.0, 4336.0)	(23.0, 7157.0)	(24.0, 10519.0)	(25.0, 13225.0)	(26.0, 16217.0)	(27.0, 19358.0)	(28.0, 24484.0)	(29.0, 29239.0)	(30.0, 36068.0)	(31.0, 44494.0)	(32.0, 58692.0)	(33.0, 73534.0)	(34.0, 96939.0)	(35.0, 132214.0)	(36.0, 204401.0)	(37.0, 336284.0)	(38.0, 1026991.0)	(39.0, 14857273.0)	(40.0, 9221872.0)			
TS047_RoL_RNA_142_2	(12.0, 6.0)	(13.0, 48.0)	(14.0, 271.0)	(15.0, 1346.0)	(16.0, 4764.0)	(17.0, 8448.0)	(18.0, 9772.0)	(19.0, 9795.0)	(20.0, 11032.0)	(21.0, 12316.0)	(22.0, 13895.0)	(23.0, 15641.0)	(24.0, 18941.0)	(25.0, 21878.0)	(26.0, 25609.0)	(27.0, 29424.0)	(28.0, 35435.0)	(29.0, 40052.0)	(30.0, 48276.0)	(31.0, 58203.0)	(32.0, 75030.0)	(33.0, 91436.0)	(34.0, 120159.0)	(35.0, 165304.0)	(36.0, 255737.0)	(37.0, 422879.0)	(38.0, 1318628.0)	(39.0, 16225683.0)	(40.0, 7179479.0)
TS047_RoL_RNA_145_1	(15.0, 5.0)	(16.0, 80.0)	(17.0, 473.0)	(18.0, 959.0)	(19.0, 1228.0)	(20.0, 1820.0)	(21.0, 2819.0)	(22.0, 4666.0)	(23.0, 7975.0)	(24.0, 11849.0)	(25.0, 14980.0)	(26.0, 18168.0)	(27.0, 22026.0)	(28.0, 27652.0)	(29.0, 32469.0)	(30.0, 39853.0)	(31.0, 49415.0)	(32.0, 66051.0)	(33.0, 82321.0)	(34.0, 108974.0)	(35.0, 148883.0)	(36.0, 226090.0)	(37.0, 365521.0)	(38.0, 1120417.0)	(39.0, 16662334.0)	(40.0, 10010768.0)			
TS047_RoL_RNA_145_2	(12.0, 3.0)	(13.0, 50.0)	(14.0, 296.0)	(15.0, 1493.0)	(16.0, 5943.0)	(17.0, 10192.0)	(18.0, 11542.0)	(19.0, 11790.0)	(20.0, 13163.0)	(21.0, 14385.0)	(22.0, 16392.0)	(23.0, 18458.0)	(24.0, 22060.0)	(25.0, 25014.0)	(26.0, 29211.0)	(27.0, 33227.0)	(28.0, 40448.0)	(29.0, 45203.0)	(30.0, 54352.0)	(31.0, 65868.0)	(32.0, 84119.0)	(33.0, 102427.0)	(34.0, 134539.0)	(35.0, 183664.0)	(36.0, 284182.0)	(37.0, 473158.0)	(38.0, 1470706.0)	(39.0, 17800159.0)	(40.0, 8075752.0)
TS047_RoL_RNA_146_1	(14.0, 1.0)	(15.0, 6.0)	(16.0, 81.0)	(17.0, 483.0)	(18.0, 910.0)	(19.0, 1149.0)	(20.0, 1691.0)	(21.0, 3060.0)	(22.0, 5642.0)	(23.0, 9451.0)	(24.0, 12520.0)	(25.0, 16670.0)	(26.0, 19438.0)	(27.0, 23547.0)	(28.0, 28902.0)	(29.0, 32906.0)	(30.0, 40799.0)	(31.0, 51174.0)	(32.0, 67156.0)	(33.0, 84365.0)	(34.0, 111570.0)	(35.0, 152220.0)	(36.0, 234192.0)	(37.0, 386320.0)	(38.0, 1185450.0)	(39.0, 17292414.0)	(40.0, 10631260.0)		
TS047_RoL_RNA_146_2	(12.0, 1.0)	(13.0, 67.0)	(14.0, 287.0)	(15.0, 1678.0)	(16.0, 5722.0)	(17.0, 10100.0)	(18.0, 11405.0)	(19.0, 11711.0)	(20.0, 13246.0)	(21.0, 14811.0)	(22.0, 17186.0)	(23.0, 19019.0)	(24.0, 23110.0)	(25.0, 26457.0)	(26.0, 30444.0)	(27.0, 35259.0)	(28.0, 42167.0)	(29.0, 47541.0)	(30.0, 56279.0)	(31.0, 67984.0)	(32.0, 87359.0)	(33.0, 106405.0)	(34.0, 138758.0)	(35.0, 190556.0)	(36.0, 291251.0)	(37.0, 474669.0)	(38.0, 1461507.0)	(39.0, 18675433.0)	(40.0, 8532965.0)
TS047_RoL_RNA_16_1	(15.0, 1.0)	(16.0, 70.0)	(17.0, 313.0)	(18.0, 759.0)	(19.0, 959.0)	(20.0, 1405.0)	(21.0, 2390.0)	(22.0, 4248.0)	(23.0, 7055.0)	(24.0, 10055.0)	(25.0, 13290.0)	(26.0, 15723.0)	(27.0, 18768.0)	(28.0, 23717.0)	(29.0, 27492.0)	(30.0, 33589.0)	(31.0, 41240.0)	(32.0, 54573.0)	(33.0, 68275.0)	(34.0, 88989.0)	(35.0, 120486.0)	(36.0, 182944.0)	(37.0, 294011.0)	(38.0, 866369.0)	(39.0, 13217400.0)	(40.0, 8613505.0)			
TS047_RoL_RNA_16_2	(12.0, 4.0)	(13.0, 31.0)	(14.0, 255.0)	(15.0, 1334.0)	(16.0, 4726.0)	(17.0, 8162.0)	(18.0, 9313.0)	(19.0, 9125.0)	(20.0, 10289.0)	(21.0, 11112.0)	(22.0, 12712.0)	(23.0, 14604.0)	(24.0, 17803.0)	(25.0, 20365.0)	(26.0, 23546.0)	(27.0, 26933.0)	(28.0, 32498.0)	(29.0, 36680.0)	(30.0, 44330.0)	(31.0, 52997.0)	(32.0, 68303.0)	(33.0, 83577.0)	(34.0, 109580.0)	(35.0, 151519.0)	(36.0, 234679.0)	(37.0, 383127.0)	(38.0, 1170562.0)	(39.0, 14365434.0)	(40.0, 6804026.0)
TS047_RoL_RNA_170_1	(15.0, 2.0)	(16.0, 65.0)	(17.0, 417.0)	(18.0, 748.0)	(19.0, 941.0)	(20.0, 1402.0)	(21.0, 2276.0)	(22.0, 3838.0)	(23.0, 6418.0)	(24.0, 9619.0)	(25.0, 12245.0)	(26.0, 15146.0)	(27.0, 17937.0)	(28.0, 22920.0)	(29.0, 26771.0)	(30.0, 33540.0)	(31.0, 41230.0)	(32.0, 54538.0)	(33.0, 68242.0)	(34.0, 90239.0)	(35.0, 124240.0)	(36.0, 189080.0)	(37.0, 311191.0)	(38.0, 976776.0)	(39.0, 14828334.0)	(40.0, 9005580.0)			
TS047_RoL_RNA_170_2	(12.0, 2.0)	(13.0, 47.0)	(14.0, 315.0)	(15.0, 1345.0)	(16.0, 4548.0)	(17.0, 7979.0)	(18.0, 9279.0)	(19.0, 9300.0)	(20.0, 10618.0)	(21.0, 11605.0)	(22.0, 13096.0)	(23.0, 14835.0)	(24.0, 17929.0)	(25.0, 20397.0)	(26.0, 23551.0)	(27.0, 27187.0)	(28.0, 32340.0)	(29.0, 36964.0)	(30.0, 44356.0)	(31.0, 53570.0)	(32.0, 69185.0)	(33.0, 84924.0)	(34.0, 111819.0)	(35.0, 153835.0)	(36.0, 237317.0)	(37.0, 394852.0)	(38.0, 1260908.0)	(39.0, 15937962.0)	(40.0, 7253670.0)
TS047_RoL_RNA_175_1	(15.0, 3.0)	(16.0, 76.0)	(17.0, 450.0)	(18.0, 903.0)	(19.0, 1062.0)	(20.0, 1587.0)	(21.0, 2481.0)	(22.0, 4174.0)	(23.0, 7006.0)	(24.0, 10294.0)	(25.0, 12848.0)	(26.0, 15678.0)	(27.0, 18539.0)	(28.0, 23362.0)	(29.0, 27913.0)	(30.0, 34456.0)	(31.0, 43179.0)	(32.0, 56939.0)	(33.0, 70706.0)	(34.0, 92923.0)	(35.0, 125842.0)	(36.0, 190531.0)	(37.0, 309023.0)	(38.0, 938458.0)	(39.0, 14309699.0)	(40.0, 9122022.0)			
TS047_RoL_RNA_175_2	(12.0, 3.0)	(13.0, 46.0)	(14.0, 292.0)	(15.0, 1379.0)	(16.0, 5146.0)	(17.0, 8905.0)	(18.0, 10004.0)	(19.0, 9784.0)	(20.0, 11063.0)	(21.0, 12032.0)	(22.0, 13654.0)	(23.0, 15623.0)	(24.0, 18487.0)	(25.0, 21291.0)	(26.0, 24715.0)	(27.0, 28692.0)	(28.0, 34354.0)	(29.0, 39037.0)	(30.0, 46956.0)	(31.0, 56376.0)	(32.0, 71855.0)	(33.0, 87968.0)	(34.0, 115393.0)	(35.0, 157924.0)	(36.0, 243746.0)	(37.0, 403208.0)	(38.0, 1245357.0)	(39.0, 15587203.0)	(40.0, 7149661.0)
TS047_RoL_RNA_177_1	(15.0, 2.0)	(16.0, 58.0)	(17.0, 299.0)	(18.0, 683.0)	(19.0, 938.0)	(20.0, 1253.0)	(21.0, 2016.0)	(22.0, 3608.0)	(23.0, 6217.0)	(24.0, 9219.0)	(25.0, 11632.0)	(26.0, 14263.0)	(27.0, 17248.0)	(28.0, 21824.0)	(29.0, 25783.0)	(30.0, 32204.0)	(31.0, 40088.0)	(32.0, 52432.0)	(33.0, 65054.0)	(34.0, 87049.0)	(35.0, 118641.0)	(36.0, 179777.0)	(37.0, 292734.0)	(38.0, 889605.0)	(39.0, 13672698.0)	(40.0, 8574918.0)			
TS047_RoL_RNA_177_2	(12.0, 4.0)	(13.0, 35.0)	(14.0, 209.0)	(15.0, 1244.0)	(16.0, 4842.0)	(17.0, 8355.0)	(18.0, 9142.0)	(19.0, 9228.0)	(20.0, 10337.0)	(21.0, 11499.0)	(22.0, 12957.0)	(23.0, 14754.0)	(24.0, 17777.0)	(25.0, 20525.0)	(26.0, 23848.0)	(27.0, 26900.0)	(28.0, 33038.0)	(29.0, 37160.0)	(30.0, 44559.0)	(31.0, 53645.0)	(32.0, 68468.0)	(33.0, 84034.0)	(34.0, 109983.0)	(35.0, 150186.0)	(36.0, 230720.0)	(37.0, 377601.0)	(38.0, 1143726.0)	(39.0, 14617445.0)	(40.0, 6998022.0)
TS047_RoL_RNA_200_1	(13.0, 1.0)	(14.0, 1.0)	(15.0, 4.0)	(16.0, 132.0)	(17.0, 752.0)	(18.0, 1578.0)	(19.0, 1567.0)	(20.0, 1577.0)	(21.0, 2315.0)	(22.0, 3981.0)	(23.0, 7070.0)	(24.0, 10683.0)	(25.0, 13527.0)	(26.0, 16490.0)	(27.0, 19487.0)	(28.0, 24939.0)	(29.0, 29421.0)	(30.0, 36843.0)	(31.0, 46430.0)	(32.0, 61330.0)	(33.0, 77107.0)	(34.0, 102763.0)	(35.0, 142394.0)	(36.0, 217938.0)	(37.0, 357162.0)	(38.0, 1088664.0)	(39.0, 18814801.0)	(40.0, 13285798.0)	
TS047_RoL_RNA_200_2	(12.0, 5.0)	(13.0, 60.0)	(14.0, 435.0)	(15.0, 2068.0)	(16.0, 7347.0)	(17.0, 12219.0)	(18.0, 12775.0)	(19.0, 12585.0)	(20.0, 14244.0)	(21.0, 15397.0)	(22.0, 17229.0)	(23.0, 19191.0)	(24.0, 23239.0)	(25.0, 26118.0)	(26.0, 30554.0)	(27.0, 35424.0)	(28.0, 42625.0)	(29.0, 47768.0)	(30.0, 56553.0)	(31.0, 67928.0)	(32.0, 87338.0)	(33.0, 106966.0)	(34.0, 139566.0)	(35.0, 192860.0)	(36.0, 298242.0)	(37.0, 497569.0)	(38.0, 1518646.0)	(39.0, 20613786.0)	(40.0, 10466018.0)
TS047_RoL_RNA_204_1	(15.0, 1.0)	(16.0, 43.0)	(17.0, 274.0)	(18.0, 630.0)	(19.0, 704.0)	(20.0, 1079.0)	(21.0, 1833.0)	(22.0, 3160.0)	(23.0, 5491.0)	(24.0, 8190.0)	(25.0, 10736.0)	(26.0, 12930.0)	(27.0, 15626.0)	(28.0, 19847.0)	(29.0, 22979.0)	(30.0, 28920.0)	(31.0, 35942.0)	(32.0, 46756.0)	(33.0, 58896.0)	(34.0, 77997.0)	(35.0, 106879.0)	(36.0, 165882.0)	(37.0, 272190.0)	(38.0, 839609.0)	(39.0, 13213313.0)	(40.0, 8417385.0)			
TS047_RoL_RNA_204_2	(12.0, 1.0)	(13.0, 34.0)	(14.0, 248.0)	(15.0, 1055.0)	(16.0, 4175.0)	(17.0, 6707.0)	(18.0, 7306.0)	(19.0, 7117.0)	(20.0, 8230.0)	(21.0, 9129.0)	(22.0, 10473.0)	(23.0, 11989.0)	(24.0, 14732.0)	(25.0, 16829.0)	(26.0, 19504.0)	(27.0, 22767.0)	(28.0, 27171.0)	(29.0, 31049.0)	(30.0, 37578.0)	(31.0, 45639.0)	(32.0, 58883.0)	(33.0, 73154.0)	(34.0, 96805.0)	(35.0, 134982.0)	(36.0, 210522.0)	(37.0, 350509.0)	(38.0, 1076749.0)	(39.0, 14147037.0)	(40.0, 6936918.0)
TS047_RoL_RNA_20_1	(15.0, 1.0)	(16.0, 71.0)	(17.0, 441.0)	(18.0, 842.0)	(19.0, 1127.0)	(20.0, 1608.0)	(21.0, 2754.0)	(22.0, 4808.0)	(23.0, 7857.0)	(24.0, 11440.0)	(25.0, 14661.0)	(26.0, 17872.0)	(27.0, 21648.0)	(28.0, 27196.0)	(29.0, 31976.0)	(30.0, 39637.0)	(31.0, 49127.0)	(32.0, 65304.0)	(33.0, 80846.0)	(34.0, 107633.0)	(35.0, 146776.0)	(36.0, 222275.0)	(37.0, 363322.0)	(38.0, 1137676.0)	(39.0, 16501699.0)	(40.0, 9575181.0)			
TS047_RoL_RNA_20_2	(12.0, 2.0)	(13.0, 55.0)	(14.0, 262.0)	(15.0, 1427.0)	(16.0, 5305.0)	(17.0, 9307.0)	(18.0, 10604.0)	(19.0, 10441.0)	(20.0, 11845.0)	(21.0, 13053.0)	(22.0, 14559.0)	(23.0, 16819.0)	(24.0, 20520.0)	(25.0, 23553.0)	(26.0, 27627.0)	(27.0, 31891.0)	(28.0, 38756.0)	(29.0, 44131.0)	(30.0, 52654.0)	(31.0, 63477.0)	(32.0, 81601.0)	(33.0, 99744.0)	(34.0, 130014.0)	(35.0, 179924.0)	(36.0, 278165.0)	(37.0, 458474.0)	(38.0, 1420447.0)	(39.0, 17359169.0)	(40.0, 8029952.0)
TS047_RoL_RNA_229_1	(15.0, 2.0)	(16.0, 69.0)	(17.0, 366.0)	(18.0, 855.0)	(19.0, 939.0)	(20.0, 1467.0)	(21.0, 2347.0)	(22.0, 3978.0)	(23.0, 6512.0)	(24.0, 9574.0)	(25.0, 12838.0)	(26.0, 15794.0)	(27.0, 19445.0)	(28.0, 24786.0)	(29.0, 28765.0)	(30.0, 35670.0)	(31.0, 45436.0)	(32.0, 59554.0)	(33.0, 74851.0)	(34.0, 100963.0)	(35.0, 136656.0)	(36.0, 209796.0)	(37.0, 342744.0)	(38.0, 1079698.0)	(39.0, 16700771.0)	(40.0, 9959536.0)			
TS047_RoL_RNA_229_2	(12.0, 4.0)	(13.0, 32.0)	(14.0, 220.0)	(15.0, 1619.0)	(16.0, 6448.0)	(17.0, 10708.0)	(18.0, 11458.0)	(19.0, 10977.0)	(20.0, 12488.0)	(21.0, 13702.0)	(22.0, 15717.0)	(23.0, 17796.0)	(24.0, 21313.0)	(25.0, 23628.0)	(26.0, 27201.0)	(27.0, 31376.0)	(28.0, 37660.0)	(29.0, 42096.0)	(30.0, 49929.0)	(31.0, 60021.0)	(32.0, 77144.0)	(33.0, 93890.0)	(34.0, 123079.0)	(35.0, 168586.0)	(36.0, 261862.0)	(37.0, 433284.0)	(38.0, 1337325.0)	(39.0, 17627023.0)	(40.0, 8356826.0)
TS047_RoL_RNA_231_1	(15.0, 8.0)	(16.0, 45.0)	(17.0, 237.0)	(18.0, 519.0)	(19.0, 738.0)	(20.0, 1197.0)	(21.0, 1931.0)	(22.0, 3547.0)	(23.0, 5804.0)	(24.0, 8593.0)	(25.0, 11017.0)	(26.0, 13504.0)	(27.0, 16235.0)	(28.0, 20172.0)	(29.0, 23796.0)	(30.0, 29122.0)	(31.0, 36824.0)	(32.0, 48239.0)	(33.0, 59940.0)	(34.0, 79109.0)	(35.0, 107525.0)	(36.0, 161314.0)	(37.0, 259009.0)	(38.0, 768814.0)	(39.0, 11379163.0)	(40.0, 7263002.0)			
TS047_RoL_RNA_231_2	(12.0, 1.0)	(13.0, 30.0)	(14.0, 187.0)	(15.0, 1115.0)	(16.0, 4005.0)	(17.0, 6964.0)	(18.0, 7882.0)	(19.0, 7942.0)	(20.0, 9007.0)	(21.0, 9991.0)	(22.0, 11589.0)	(23.0, 12806.0)	(24.0, 15614.0)	(25.0, 17614.0)	(26.0, 20790.0)	(27.0, 23877.0)	(28.0, 29459.0)	(29.0, 32620.0)	(30.0, 39089.0)	(31.0, 47237.0)	(32.0, 61329.0)	(33.0, 74559.0)	(34.0, 97668.0)	(35.0, 134161.0)	(36.0, 211037.0)	(37.0, 347001.0)	(38.0, 1067634.0)	(39.0, 12450770.0)	(40.0, 5557426.0)
TS047_RoL_RNA_258_1	(15.0, 4.0)	(16.0, 65.0)	(17.0, 389.0)	(18.0, 844.0)	(19.0, 1062.0)	(20.0, 1565.0)	(21.0, 2551.0)	(22.0, 4323.0)	(23.0, 7215.0)	(24.0, 10569.0)	(25.0, 13490.0)	(26.0, 16772.0)	(27.0, 20252.0)	(28.0, 25602.0)	(29.0, 31035.0)	(30.0, 37675.0)	(31.0, 46456.0)	(32.0, 61007.0)	(33.0, 75342.0)	(34.0, 99597.0)	(35.0, 135292.0)	(36.0, 204897.0)	(37.0, 330009.0)	(38.0, 992585.0)	(39.0, 14917326.0)	(40.0, 9349814.0)			
TS047_RoL_RNA_258_2	(12.0, 5.0)	(13.0, 40.0)	(14.0, 259.0)	(15.0, 1306.0)	(16.0, 5074.0)	(17.0, 8845.0)	(18.0, 10338.0)	(19.0, 10204.0)	(20.0, 11502.0)	(21.0, 12590.0)	(22.0, 14433.0)	(23.0, 16162.0)	(24.0, 19692.0)	(25.0, 22763.0)	(26.0, 26486.0)	(27.0, 30517.0)	(28.0, 36884.0)	(29.0, 41416.0)	(30.0, 49439.0)	(31.0, 59890.0)	(32.0, 77192.0)	(33.0, 94699.0)	(34.0, 123144.0)	(35.0, 169754.0)	(36.0, 261305.0)	(37.0, 427260.0)	(38.0, 1334025.0)	(39.0, 16157014.0)	(40.0, 7363500.0)
TS047_RoL_RNA_262_1	(15.0, 5.0)	(16.0, 65.0)	(17.0, 379.0)	(18.0, 773.0)	(19.0, 1025.0)	(20.0, 1508.0)	(21.0, 2326.0)	(22.0, 4052.0)	(23.0, 7093.0)	(24.0, 10661.0)	(25.0, 13218.0)	(26.0, 16518.0)	(27.0, 19869.0)	(28.0, 25221.0)	(29.0, 28946.0)	(30.0, 36032.0)	(31.0, 45408.0)	(32.0, 60304.0)	(33.0, 75852.0)	(34.0, 102023.0)	(35.0, 139645.0)	(36.0, 215659.0)	(37.0, 352108.0)	(38.0, 1092946.0)	(39.0, 16466102.0)	(40.0, 10059645.0)			
TS047_RoL_RNA_262_2	(12.0, 3.0)	(13.0, 63.0)	(14.0, 328.0)	(15.0, 1460.0)	(16.0, 5545.0)	(17.0, 9329.0)	(18.0, 10524.0)	(19.0, 10451.0)	(20.0, 12052.0)	(21.0, 13180.0)	(22.0, 15032.0)	(23.0, 17007.0)	(24.0, 20580.0)	(25.0, 23671.0)	(26.0, 27437.0)	(27.0, 31344.0)	(28.0, 37920.0)	(29.0, 42937.0)	(30.0, 51557.0)	(31.0, 62206.0)	(32.0, 80730.0)	(33.0, 98568.0)	(34.0, 130573.0)	(35.0, 180980.0)	(36.0, 281511.0)	(37.0, 470527.0)	(38.0, 1467975.0)	(39.0, 17716522.0)	(40.0, 7957371.0)
