gene_id	gene_name	TaxaID	correlation	abs_correlation	p_value	fdr	comparison_name	base_treatment	comparison_treatment
LOC141381605	LOC141381605	Agromyces	0.754981614854098	0.754981614854098	2.7175741775842255e-4	0.07946685925047899	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
reep2	reep2	Roseomonas	0.7530659534637223	0.7530659534637223	2.952220750387369e-4	0.07946685925047899	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
hspa8	hspa8	Bdellovibrio	-0.7526737802859004	0.7526737802859004	3.0022353102476806e-4	0.07946685925047899	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
rergla	rergla	Rubrivivax	0.7526737802859004	0.7526737802859004	3.0022353102476806e-4	0.07946685925047899	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
znf1069	znf1069	Elstera	0.7526737802859004	0.7526737802859004	3.0022353102476806e-4	0.07946685925047899	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141379337	LOC141379337	Flavobacterium	0.7481763432869736	0.7481763432869736	3.626785593564552e-4	0.0900631923948193	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
si:ch211-125e6.14	si:ch211-125e6.14	Bdellovibrio	0.7479268702261027	0.7479268702261027	3.664297278487272e-4	0.0900631923948193	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141381754	LOC141381754	Ensifer	0.7440357196823797	0.7440357196823797	4.291294238478738e-4	0.10183685154900232	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
igf2bp2b	igf2bp2b	Paenirhodobacter	0.7412587412587414	0.7412587412587414	4.789696731726245e-4	0.10987564302580007	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC101887036	LOC101887036	Aquihabitans	0.7403307312058932	0.7403307312058932	4.966290711563293e-4	0.1102516537967051	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
cxcl18b	cxcl18b	Luteolibacter	0.7343158832057565	0.7343158832057565	6.242214776905897e-4	0.13017855180201932	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
znf1069	znf1069	Bdellovibrio	0.7343158832057565	0.7343158832057565	6.242214776905897e-4	0.13017855180201932	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC101887036	LOC101887036	Flavobacterium	0.7320501594135719	0.7320501594135719	6.786007496653035e-4	0.13343229597704626	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
ftr76	ftr76	Ensifer	0.7320501594135719	0.7320501594135719	6.786007496653035e-4	0.13343229597704626	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC101882847	LOC101882847	Roseomonas	0.7285475270718802	0.7285475270718802	7.700642689238979e-4	0.143231954019845	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
znf1069	znf1069	Flavobacterium	0.7285475270718802	0.7285475270718802	7.700642689238979e-4	0.143231954019845	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC101887036	LOC101887036	Pseudomonas	0.7202797202797203	0.7202797202797203	0.0010251934382317085	0.1794900568593643	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
nfia	nfia	Paenirhodobacter	0.7202797202797203	0.7202797202797203	0.0010251934382317085	0.1794900568593643	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC571488	LOC571488	Pseudorhodoplanes	0.719759493476653	0.719759493476653	0.0010432435737248724	0.1794900568593643	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141379342	LOC141379342	Gemmobacter	0.7189750370364923	0.7189750370364923	0.0010709362860117366	0.17976057366665296	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
ftr76	ftr76	Rubrivivax	0.7159579861256126	0.7159579861256126	0.0011829069717446128	0.19382775665586727	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC101882795	LOC101882795	Paenirhodobacter	0.7132867132867134	0.7132867132867134	0.0012895727775124044	0.2053781236603879	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
ankrd66	ankrd66	Tundrisphaera	-0.7126154339551276	0.7126154339551276	0.0013175316872313658	0.2053781236603879	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
vps33a	vps33a	Pseudorhodoplanes	0.7114385744769229	0.7114385744769229	0.0013676967922480188	0.2053781236603879	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141379342	LOC141379342	Flavobacterium	0.7113214891099279	0.7113214891099279	0.0013727686266169492	0.2053781236603879	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
znf1069	znf1069	Rhodococcus	0.707278114977058	0.707278114977058	0.0015571805674190475	0.22197588845013877	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
ccl35.1	ccl35.1	Paenirhodobacter	0.7062937062937064	0.7062937062937064	0.0016048830717323437	0.22197588845013877	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
mcfd2	mcfd2	Gemmobacter	0.7062937062937064	0.7062937062937064	0.0016048830717323437	0.22197588845013877	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC101885452	LOC101885452	Rhizobium	0.7061340128584169	0.7061340128584169	0.0016127280474436123	0.22197588845013877	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141379337	LOC141379337	Rhodococcus	0.703187434157855	0.703187434157855	0.001762936903802581	0.2378927798425365	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
mcfd2	mcfd2	Bosea	0.7005264683383463	0.7005264683383463	0.0019077617437457395	0.2520228313000531	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
cd74b	cd74b	Crenobacter	0.6993006993006995	0.6993006993006995	0.001977511317960312	0.2520228313000531	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
si:ch211-194p6.12	si:ch211-194p6.12	Pseudomonas	0.6993006993006995	0.6993006993006995	0.001977511317960312	0.2520228313000531	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
mcfd2	mcfd2	Pirellula	0.6984398553851817	0.6984398553851817	0.0020276686626050644	0.25371664974632824	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
phldb1a	phldb1a	Flavobacterium	-0.6970238359966545	0.6970238359966545	0.0021123166186853837	0.2595886244605859	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141379345	LOC141379345	Pseudomonas	0.6942135191850292	0.6942135191850292	0.0022884128223692457	0.26797057555340387	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
blnk	blnk	Acinetobacter	0.6940217287138996	0.6940217287138996	0.002300831769616929	0.26797057555340387	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC101885452	LOC101885452	Longivirga	0.693845042976821	0.693845042976821	0.002312318720241624	0.26797057555340387	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC560863	LOC560863	Crenobacter	0.6923076923076924	0.6923076923076924	0.0024141493293099447	0.26797057555340387	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
dio2	dio2	Pseudomonas	0.6923076923076924	0.6923076923076924	0.0024141493293099447	0.26797057555340387	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
si:cabz01069012.2	si:cabz01069012.2	Culicoidibacter	0.6923076923076924	0.6923076923076924	0.0024141493293099447	0.26797057555340387	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
cxcl18b	cxcl18b	Legionella	0.6865159389715793	0.6865159389715793	0.0028292051996714473	0.3049476210040989	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
csf2rb	csf2rb	Acinetobacter	0.686223731762058	0.686223731762058	0.0028515091298191297	0.3049476210040989	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
pla2g3	pla2g3	Pseudomonas	0.6853146853146853	0.6853146853146853	0.002921760299799292	0.3049476210040989	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC137489722	LOC137489722	Elstera	0.6852793257683856	0.6852793257683856	0.002924519469089004	0.3049476210040989	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141379342	LOC141379342	Pseudomonas	0.6833822134208244	0.6833822134208244	0.0030755099180590495	0.3159053620310803	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141379353	LOC141379353	Flavobacterium	0.6828017113492768	0.6828017113492768	0.003122884201878451	0.3159845819148527	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141379342	LOC141379342	Elstera	0.6820940650689135	0.6820940650689135	0.003181388054020795	0.3159845819148527	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC137489722	LOC137489722	Gemmobacter	0.6816069567833152	0.6816069567833152	0.0032221439236985727	0.3159845819148527	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC101885452	LOC101885452	Aquihabitans	0.6811594202898551	0.6811594202898551	0.0032599397436725575	0.3159845819148527	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
ccl35.1	ccl35.1	Roseomonas	0.6795106742881959	0.6795106742881959	0.0034021129482402213	0.31884839180592595	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
nfia	nfia	Ensifer	0.6795106742881959	0.6795106742881959	0.0034021129482402213	0.31884839180592595	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC137495296	LOC137495296	Acinetobacter	0.6792107413176572	0.6792107413176572	0.0034284773312465155	0.31884839180592595	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
si:cabz01069012.2	si:cabz01069012.2	Crenobacter	0.6783216783216784	0.6783216783216784	0.0035075435012494882	0.32185219167465307	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
cxcl18b	cxcl18b	Longivirga	0.6743558189451948	0.6743558189451948	0.0038772953261383414	0.3344090017689245	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
pmaip1	pmaip1	Agromyces	0.6739944389781375	0.6739944389781375	0.003912403646186835	0.3344090017689245	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141379342	LOC141379342	Bdellovibrio	0.6727503107529009	0.6727503107529009	0.0040351207005824286	0.3344090017689245	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
ankrd66	ankrd66	Aquihabitans	-0.6727503107529009	0.6727503107529009	0.0040351207005824286	0.3344090017689245	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
cxcl11.4	cxcl11.4	Roseomonas	0.6725054096048124	0.6725054096048124	0.004059617091224599	0.3344090017689245	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
vim	vim	Bosea	-0.6725054096048124	0.6725054096048124	0.004059617091224599	0.3344090017689245	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
vps33a	vps33a	Flavobacterium	-0.6725054096048124	0.6725054096048124	0.004059617091224599	0.3344090017689245	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
dspb	dspb	Crenobacter	0.6713286713286714	0.6713286713286714	0.0041788977262608995	0.3344090017689245	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
f2r	f2r	Pseudomonas	0.6713286713286714	0.6713286713286714	0.0041788977262608995	0.3344090017689245	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
pals1a	pals1a	Paenirhodobacter	0.6713286713286714	0.6713286713286714	0.0041788977262608995	0.3344090017689245	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
si:ch1073-406l10.2	si:ch1073-406l10.2	Gemmobacter	-0.6713286713286714	0.6713286713286714	0.0041788977262608995	0.3344090017689245	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
si:ch211-125e6.14	si:ch211-125e6.14	Elstera	0.6703118176554693	0.6703118176554693	0.004284094030578611	0.33514678153375815	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
f2r	f2r	Bdellovibrio	0.6700632434252528	0.6700632434252528	0.004310111883240708	0.33514678153375815	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
nefma	nefma	Agromyces	0.6698339794782725	0.6698339794782725	0.004334214408094228	0.33514678153375815	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
dio2	dio2	Flavobacterium	0.6690027772631206	0.6690027772631206	0.004422454689017252	0.33817036855351923	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC137489722	LOC137489722	Bdellovibrio	0.666243788941486	0.666243788941486	0.004725108762213548	0.35079144533449214	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141380546	LOC141380546	Agromyces	-0.6661881226080391	0.6661881226080391	0.004731371748867064	0.35079144533449214	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
znf1069	znf1069	Agitococcus	0.6656735199784074	0.6656735199784074	0.004789566237578535	0.35079144533449214	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141381754	LOC141381754	Longivirga	0.6656574053714301	0.6656574053714301	0.004791397248102625	0.35079144533449214	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
slco1c1	slco1c1	Pseudomonas	0.6643356643356645	0.6643356643356645	0.004943384045285937	0.35810914736481914	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC101885452	LOC101885452	Cloacibacterium	0.6631207734964828	0.6631207734964828	0.005086259381494873	0.36462121941091374	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
ifit14	ifit14	Cloacibacterium	0.6619882462917587	0.6619882462917587	0.005222224465800673	0.3705087502437137	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
f2r	f2r	Elstera	0.6608842948851809	0.6608842948851809	0.005357369187766414	0.3724183308101865	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
si:cabz01069012.2	si:cabz01069012.2	Rubrivivax	0.6608842948851809	0.6608842948851809	0.005357369187766414	0.3724183308101865	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC137489722	LOC137489722	Pseudomonas	0.6598535432689541	0.6598535432689541	0.005485906390447104	0.37380205721838583	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC793010	LOC793010	Caulobacter	-0.6598535432689541	0.6598535432689541	0.005485906390447104	0.37380205721838583	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC137487668	LOC137487668	Aquihabitans	0.6591861551980623	0.6591861551980623	0.005570355547295014	0.3744635409215646	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC101882795	LOC101882795	Ensifer	0.6584948802380455	0.6584948802380455	0.005658850371380808	0.3744635409215646	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC101882795	LOC101882795	Legionella	0.6584948802380455	0.6584948802380455	0.005658850371380808	0.3744635409215646	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC137495296	LOC137495296	Neochlamydia	0.6557330674355458	0.6557330674355458	0.006022946839739252	0.39407885937714643	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC110438351	LOC110438351	Aquihabitans	0.6553868113640677	0.6553868113640677	0.006069799345245208	0.39407885937714643	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC101887036	LOC101887036	Bdellovibrio	0.6517053463451089	0.6517053463451089	0.006584927450683953	0.4196062103296941	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141378311	LOC141378311	Pseudomonas	0.6517053463451089	0.6517053463451089	0.006584927450683953	0.4196062103296941	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
ugt5g1	ugt5g1	Rhodococcus	-0.6490316819789472	0.6490316819789472	0.006978934685026195	0.4406332890123878	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
f2r	f2r	Flavobacterium	0.6479869832129702	0.6479869832129702	0.0071375460500957555	0.44440630935743375	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC101885452	LOC101885452	Paenirhodobacter	0.6477893898051565	0.6477893898051565	0.0071678436993134476	0.44440630935743375	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC110438351	LOC110438351	Fuscovulum	0.6466704654791765	0.6466704654791765	0.007341213895321275	0.4510913752464376	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
ftr76	ftr76	Longivirga	0.6453512675927133	0.6453512675927133	0.0075495817898940665	0.4597895741420439	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC103910189	LOC103910189	Dinghuibacter	-0.6408609618356389	0.6408609618356389	0.008291689609178254	0.4816320570339124	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC103910189	LOC103910189	Pseudoxanthomonas	-0.639692501115462	0.639692501115462	0.0084933055073948	0.4816320570339124	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC103910189	LOC103910189	Runella	-0.639692501115462	0.639692501115462	0.0084933055073948	0.4816320570339124	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC103910189	LOC103910189	Sphaerotilus	-0.639692501115462	0.639692501115462	0.0084933055073948	0.4816320570339124	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
cd74b	cd74b	Pseudoxanthomonas	-0.639692501115462	0.639692501115462	0.0084933055073948	0.4816320570339124	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
cd74b	cd74b	Runella	-0.639692501115462	0.639692501115462	0.0084933055073948	0.4816320570339124	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
cd74b	cd74b	Sphaerotilus	-0.639692501115462	0.639692501115462	0.0084933055073948	0.4816320570339124	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
ftr35	ftr35	Acinetobacter	0.6394357500510085	0.6394357500510085	0.008538086451342242	0.4816320570339124	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
pals1a	pals1a	Acinetobacter	0.6394357500510085	0.6394357500510085	0.008538086451342242	0.4816320570339124	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141379337	LOC141379337	Pseudomonas	0.638100129754593	0.638100129754593	0.008773843471506115	0.49090724203987873	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141379353	LOC141379353	Elstera	0.6376904837011366	0.6376904837011366	0.008847100970864608	0.4910141038829857	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC137496053	LOC137496053	Flavobacterium	-0.631402136090187	0.631402136090187	0.010028839287945734	0.5490858833991025	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
igf2bp2b	igf2bp2b	Longivirga	0.6308489919164726	0.6308489919164726	0.010138031135643155	0.5490858833991025	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141375138	LOC141375138	Chitinimonas	0.6305476678616639	0.6305476678616639	0.010197876776240289	0.5490858833991025	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
dio2	dio2	Roseomonas	0.6304738215045116	0.6304738215045116	0.010212582545057414	0.5490858833991025	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
ca8	ca8	Crenobacter	0.6293706293706295	0.6293706293706295	0.010434117970296475	0.5566480610200026	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141381605	LOC141381605	Ensifer	0.6281306578223106	0.6281306578223106	0.010687276755111164	0.5657679894513463	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
ankrd66	ankrd66	Bosea	-0.6252625743090152	0.6252625743090152	0.011289924727935219	0.5931088700583983	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC101887036	LOC101887036	Elstera	0.624168500724893	0.624168500724893	0.011526184676103224	0.5964150597063337	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
znf1069	znf1069	Pseudoduganella	0.624168500724893	0.624168500724893	0.011526184676103224	0.5964150597063337	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
mcfd2	mcfd2	Tundrisphaera	0.6234685568211282	0.6234685568211282	0.011679201604876788	0.5998228764534481	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141379345	LOC141379345	Bosea	0.6225223483774684	0.6225223483774684	0.011888387486709284	0.6060435754335799	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
hspa8	hspa8	Flavobacterium	-0.6199659244794364	0.6199659244794364	0.012467104469577439	0.6180913750504374	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
hspa8	hspa8	Neochlamydia	0.6199084654798919	0.6199084654798919	0.01248034112641827	0.6180913750504374	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
cxcl18b	cxcl18b	Dinghuibacter	0.6197336773795188	0.6197336773795188	0.012520668911808697	0.6180913750504374	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
nfia	nfia	Aquihabitans	0.6193151309126221	0.6193151309126221	0.012617619762449017	0.6180913750504374	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141379353	LOC141379353	Bdellovibrio	0.6186549468742369	0.6186549468742369	0.01277164213952764	0.6180913750504374	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC100147849	LOC100147849	Flavobacterium	0.6171215878229606	0.6171215878229606	0.013134602641353466	0.6180913750504374	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
znf1069	znf1069	Legionella	0.6164632921377448	0.6164632921377448	0.01329268361504643	0.6180913750504374	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC101883008	LOC101883008	Longivirga	0.6163467162402319	0.6163467162402319	0.013320819798356531	0.6180913750504374	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141379353	LOC141379353	Culicoidibacter	-0.6163467162402319	0.6163467162402319	0.013320819798356531	0.6180913750504374	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
cxcl18b	cxcl18b	Caulobacter	0.6163467162402319	0.6163467162402319	0.013320819798356531	0.6180913750504374	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC101883008	LOC101883008	Pseudorhodoplanes	0.6157480059800269	0.6157480059800269	0.013465997051226974	0.6180913750504374	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
blnk	blnk	Neochlamydia	0.6157480059800269	0.6157480059800269	0.013465997051226974	0.6180913750504374	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
ifit14	ifit14	Pseudomonas	-0.6153846153846154	0.6153846153846154	0.01355466606481559	0.6180913750504374	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC101883092	LOC101883092	Fuscovulum	-0.6149895521848211	0.6149895521848211	0.013651538652668771	0.6180913750504374	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC101883092	LOC101883092	Luteolibacter	-0.6149895521848211	0.6149895521848211	0.013651538652668771	0.6180913750504374	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
ankrd66	ankrd66	Paenirhodobacter	-0.6149895521848211	0.6149895521848211	0.013651538652668771	0.6180913750504374	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
herc56.2	herc56.2	Rubrivivax	0.6149895521848211	0.6149895521848211	0.013651538652668771	0.6180913750504374	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC101883008	LOC101883008	Flavobacterium	-0.612960659796053	0.612960659796053	0.01415689034683787	0.6367824795224719	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC101882795	LOC101882795	Aquihabitans	0.6121965661894886	0.6121965661894886	0.014350640848195262	0.6413059111511674	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC100001589	LOC100001589	Pseudorhodoplanes	0.6115875464801618	0.6115875464801618	0.014506424551694375	0.6440852500952302	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC108183350	LOC108183350	Ensifer	0.6094580274543613	0.6094580274543613	0.015060667561950236	0.6643754034730509	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
tmem106a	tmem106a	Longivirga	0.6090955784021115	0.6090955784021115	0.015156486246043155	0.6643754034730509	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
