OTU_ID,Mean_abundance,Observed_frequency,Predicted_frequency,Partition,Kingdom,Phylum,Class,Order,Family,Genus,Species
X289174,0.001003922,0.533333333,0.557365463,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Plesiomonas,
X654003,0.001003922,0.466666667,0.557365463,Neutral,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacterium,
X838649,0.000972549,0.333333333,0.54486885,Neutral,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces,
X838735,0.000941176,0.333333333,0.532082933,Neutral,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Zoogloea,
New.0.ReferenceOTU9717,0.000894118,0.466666667,0.512353097,Neutral,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
X115022,0.000768627,0.4,0.456419296,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,,
X233724,0.000737255,0.466666667,0.441662074,Neutral,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,
X164430,0.000721569,0.6,0.434165135,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Plesiomonas,
X164761,0.000705882,0.6,0.426588799,Neutral,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,,
X174708,0.000643137,0.6,0.395482204,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,,
New.0.CleanUp.ReferenceOTU137284,0.000643137,0.266666667,0.395482204,Neutral,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,,
New.0.CleanUp.ReferenceOTU135272,0.000627451,0.6,0.387503518,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
X129715,0.000627451,0.6,0.387503518,Neutral,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Cupriavidus,
X627230,0.000611765,0.2,0.379443367,Neutral,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
X258361,0.00054902,0.533333333,0.346382248,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,
New.0.ReferenceOTU34133,0.00054902,0.333333333,0.346382248,Neutral,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Virgisporangium,ochraceum
X184311,0.00054902,0.266666667,0.346382248,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,
X299267,0.000533333,0.533333333,0.337910488,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Enterovibrio,
X830956,0.000533333,0.533333333,0.337910488,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,
New.0.ReferenceOTU43493,0.000533333,0.2,0.337910488,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,
X536247,0.000501961,0.266666667,0.320717502,Neutral,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,
X165338,0.000501961,0.2,0.320717502,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,
X758112,0.000501961,0.2,0.320717502,Neutral,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,,
X3579425,0.000486275,0.533333333,0.311995853,Neutral,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
New.0.ReferenceOTU43216,0.000486275,0.4,0.311995853,Neutral,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,,
X13325,0.000486275,0.4,0.311995853,Neutral,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Gordoniaceae,Gordonia,
New.0.ReferenceOTU16650,0.000486275,0.333333333,0.311995853,Neutral,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,Parachlamydia,acanthamoebae
X128706,0.000470588,0.333333333,0.303190512,Neutral,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
X564600,0.000454902,0.4,0.294301307,Neutral,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,
New.0.ReferenceOTU15243,0.000439216,0.533333333,0.285328086,Neutral,Bacteria,Fusobacteria,Fusobacteria,Fusobacteriales,Fusobacteriaceae,Cetobacterium,
New.0.ReferenceOTU35795,0.000439216,0.2,0.285328086,Neutral,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,
New.0.ReferenceOTU30754,0.000439216,0.133333333,0.285328086,Neutral,Bacteria,Firmicutes,Bacilli,Exiguobacterales,Exiguobacteraceae,Exiguobacterium,indicum
X241962,0.000423529,0.266666667,0.276270712,Neutral,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,
X517156,0.000423529,0.266666667,0.276270712,Neutral,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
X312351,0.000407843,0.466666667,0.267129069,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,,
X1062748,0.000407843,0.266666667,0.267129069,Neutral,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,
New.0.CleanUp.ReferenceOTU54140,0.000392157,0.333333333,0.257903057,Neutral,Bacteria,Fusobacteria,Fusobacteria,Fusobacteriales,Fusobacteriaceae,Cetobacterium,
X240664,0.000376471,0.466666667,0.248592598,Neutral,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
X291593,0.000376471,0.266666667,0.248592598,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,,
X1116384,0.000376471,0.2,0.248592598,Neutral,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,
X831743,0.000360784,0.466666667,0.239197631,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Plesiomonas,
New.0.ReferenceOTU2246,0.000345098,0.4,0.229718119,Neutral,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
New.0.ReferenceOTU15274,0.000329412,0.4,0.220154044,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
X1121651,0.000329412,0.4,0.220154044,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,,
New.0.ReferenceOTU10396,0.000313725,0.333333333,0.210505408,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,HTCC2188,HTCC2188,HTCC,
X1123112,0.000313725,0.333333333,0.210505408,Neutral,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,
New.0.ReferenceOTU33552,0.000313725,0.133333333,0.210505408,Neutral,Bacteria,Firmicutes,Bacilli,Bacillales,Sporolactobacillaceae,Sporolactobacillus,
X79436,0.000298039,0.333333333,0.200772239,Neutral,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,
X889923,0.000298039,0.333333333,0.200772239,Neutral,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,
X547579,0.000298039,0.266666667,0.200772239,Neutral,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,Candidatus Protochlamydia,
New.0.ReferenceOTU12327,0.000298039,0.133333333,0.200772239,Neutral,Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Phormidiaceae,,
New.0.ReferenceOTU22352,0.000298039,0.133333333,0.200772239,Neutral,Bacteria,TM7,TM7-1,,,,
X281197,0.000298039,0.133333333,0.200772239,Neutral,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,
X541380,0.000298039,0.133333333,0.200772239,Neutral,Bacteria,Actinobacteria,Actinobacteria,,,,
New.0.ReferenceOTU27425,0.000282353,0.4,0.190954586,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,,
New.0.CleanUp.ReferenceOTU29810,0.000282353,0.266666667,0.190954586,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
New.0.ReferenceOTU36460,0.000282353,0.2,0.190954586,Neutral,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,
New.0.ReferenceOTU40205,0.000282353,0.2,0.190954586,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,,
X359433,0.000282353,0.2,0.190954586,Neutral,Bacteria,Acidobacteria,Acidobacteria-6,CCU21,,,
X394369,0.000282353,0.2,0.190954586,Neutral,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,
X123528,0.000266667,0.333333333,0.181052521,Neutral,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,,,
New.0.ReferenceOTU39355,0.000266667,0.266666667,0.181052521,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,,
New.0.ReferenceOTU34739,0.000266667,0.2,0.181052521,Neutral,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
New.0.ReferenceOTU3288,0.000266667,0.133333333,0.181052521,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Tatlockia,
X825474,0.000266667,0.066666667,0.181052521,Neutral,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,,
New.0.ReferenceOTU20764,0.00025098,0.266666667,0.171066141,Neutral,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,,
New.0.ReferenceOTU5474,0.00025098,0.2,0.171066141,Neutral,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,
New.0.ReferenceOTU42737,0.00025098,0.133333333,0.171066141,Neutral,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,,
New.0.ReferenceOTU15755,0.000235294,0.266666667,0.160995567,Neutral,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Lawsonia,
New.0.ReferenceOTU42985,0.000235294,0.266666667,0.160995567,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
X303643,0.000235294,0.2,0.160995567,Neutral,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,,
X72643,0.000235294,0.2,0.160995567,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
New.0.ReferenceOTU28295,0.000235294,0.133333333,0.160995567,Neutral,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Solibacillus,
X1093318,0.000235294,0.133333333,0.160995567,Neutral,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,
New.0.CleanUp.ReferenceOTU61917,0.000219608,0.333333333,0.150840946,Neutral,Bacteria,Fusobacteria,Fusobacteria,Fusobacteriales,Fusobacteriaceae,Cetobacterium,
New.0.ReferenceOTU13531,0.000219608,0.2,0.150840946,Neutral,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,,
X242201,0.000219608,0.2,0.150840946,Neutral,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Novispirillum,itersonii
X751360,0.000219608,0.2,0.150840946,Neutral,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
New.0.ReferenceOTU23581,0.000219608,0.133333333,0.150840946,Neutral,Bacteria,Firmicutes,CK-1C4-19,,,,
X257547,0.000219608,0.133333333,0.150840946,Neutral,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus,
X148882,0.000219608,0.066666667,0.150840946,Neutral,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,,
X5026,0.000219608,0.066666667,0.150840946,Neutral,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,
X850264,0.000219608,0.066666667,0.150840946,Neutral,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,
New.0.ReferenceOTU1532,0.000203922,0.333333333,0.140602452,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
New.1.CleanUp.ReferenceOTU90171,0.000203922,0.333333333,0.140602452,Neutral,Bacteria,Fusobacteria,Fusobacteria,Fusobacteriales,Fusobacteriaceae,Cetobacterium,
New.0.ReferenceOTU8888,0.000203922,0.266666667,0.140602452,Neutral,Bacteria,Fusobacteria,Fusobacteria,Fusobacteriales,Fusobacteriaceae,Cetobacterium,
X1124589,0.000203922,0.2,0.140602452,Neutral,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,Pirellula,
X529264,0.000203922,0.2,0.140602452,Neutral,Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,,
X578761,0.000203922,0.2,0.140602452,Neutral,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,
X6997,0.000203922,0.133333333,0.140602452,Neutral,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,
New.0.CleanUp.ReferenceOTU86442,0.000203922,0.066666667,0.140602452,Neutral,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Peptoniphilus,asaccharolyticus
New.0.ReferenceOTU1298,0.000203922,0.066666667,0.140602452,Neutral,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
New.0.ReferenceOTU41675,0.000203922,0.066666667,0.140602452,Neutral,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
New.0.ReferenceOTU30447,0.000188235,0.333333333,0.130280284,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,
New.0.ReferenceOTU7923,0.000188235,0.266666667,0.130280284,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Plesiomonas,
X913541,0.000188235,0.266666667,0.130280284,Neutral,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,,
New.0.ReferenceOTU10100,0.000188235,0.2,0.130280284,Neutral,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,Parachlamydia,acanthamoebae
X100307,0.000188235,0.2,0.130280284,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
X984386,0.000188235,0.2,0.130280284,Neutral,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
X42828,0.000188235,0.133333333,0.130280284,Neutral,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,
X581840,0.000188235,0.133333333,0.130280284,Neutral,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,EB1017,,
New.0.CleanUp.ReferenceOTU25623,0.000188235,0.066666667,0.130280284,Neutral,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Flexibacteraceae,,
New.0.ReferenceOTU36540,0.000188235,0.066666667,0.130280284,Neutral,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Holdemania,
