gene_id	gene_name	TaxaID	correlation	abs_correlation	p_value	fdr
rbm12bb	rbm12bb	Culicoidibacter	-0.8435726472650367	0.8435726472650367	3.312072838212998e-10	7.941522647825217e-7
si:ch211-165i18.2	si:ch211-165i18.2	Paucibacter	-0.8431372549019609	0.8431372549019609	3.5599412306908107e-10	8.305150461945948e-7
tuba8l4	tuba8l4	Plesiomonas	-0.8425401226049815	0.8425401226049815	3.9277980867780116e-10	8.922200080331347e-7
h2ax	h2ax	Culicoidibacter	-0.8415075979449262	0.8415075979449262	4.647719986650145e-10	1.0029663538191346e-6
ppp1r11	ppp1r11	Culicoidibacter	-0.8415075979449262	0.8415075979449262	4.647719986650145e-10	1.0029663538191346e-6
LOC137487483	LOC137487483	Paenirhodobacter	-0.8412976234601475	0.8412976234601475	4.808262676903041e-10	1.0123034780673016e-6
kdm8	kdm8	Plesiomonas	-0.8404750732848713	0.8404750732848713	5.487708065743391e-10	1.101612726806753e-6
moxd1	moxd1	Culicoidibacter	-0.8404750732848713	0.8404750732848713	5.487708065743391e-10	1.101612726806753e-6
arf2b	arf2b	Culicoidibacter	-0.839442548624816	0.839442548624816	6.465770141517169e-10	1.2133017670556967e-6
idh2	idh2	Culicoidibacter	-0.839442548624816	0.839442548624816	6.465770141517169e-10	1.2133017670556967e-6
igbp1	igbp1	Culicoidibacter	-0.839442548624816	0.839442548624816	6.465770141517169e-10	1.2133017670556967e-6
msraa	msraa	Polymorphobacter	-0.8392729857877697	0.8392729857877697	6.64095889391092e-10	1.2196615548159505e-6
znf692	znf692	Gemmobacter	-0.8391129985743372	0.8391129985743372	6.810254582489961e-10	1.2246965943873978e-6
rbm12bb	rbm12bb	Plesiomonas	-0.8384100239647609	0.8384100239647609	7.602305451825941e-10	1.312446808592327e-6
spsb1	spsb1	Chitinilyticum	0.8384100239647609	0.8384100239647609	7.602305451825941e-10	1.312446808592327e-6
mcts1	mcts1	Culicoidibacter	-0.8373774993047058	0.8373774993047058	8.920379990229321e-10	1.5098005497580487e-6
recql4	recql4	Paucibacter	-0.8369453044375644	0.8369453044375644	9.53211953813593e-10	1.5823135123314526e-6
idh2	idh2	Plesiomonas	-0.8363449746446507	0.8363449746446507	1.0446026266208719e-9	1.6394373477688554e-6
pfkpa	pfkpa	Culicoidibacter	-0.8363449746446507	0.8363449746446507	1.0446026266208719e-9	1.6394373477688554e-6
psmd3	psmd3	Plesiomonas	-0.8363449746446507	0.8363449746446507	1.0446026266208719e-9	1.6394373477688554e-6
gng10	gng10	Paenirhodobacter	-0.8361108317002207	0.8361108317002207	1.0823821838812364e-9	1.6683954951865078e-6
cdkn2c	cdkn2c	Plesiomonas	-0.8353124499845955	0.8353124499845955	1.2208571931182632e-9	1.7563862008795895e-6
ing5b	ing5b	Culicoidibacter	-0.8353124499845955	0.8353124499845955	1.2208571931182632e-9	1.7563862008795895e-6
rmi1	rmi1	Culicoidibacter	-0.8353124499845955	0.8353124499845955	1.2208571931182632e-9	1.7563862008795895e-6
tpk2	tpk2	Plesiomonas	-0.8353124499845955	0.8353124499845955	1.2208571931182632e-9	1.7563862008795895e-6
prps1b	prps1b	Culicoidibacter	-0.8342799253245405	0.8342799253245405	1.4241001711212675e-9	1.9826919785647855e-6
thoc6	thoc6	Plesiomonas	-0.8342799253245405	0.8342799253245405	1.4241001711212675e-9	1.9826919785647855e-6
tubb4b	tubb4b	Culicoidibacter	-0.8332474006644853	0.8332474006644853	1.6580348205508244e-9	2.271744566271851e-6
bbc3	bbc3	Culicoidibacter	0.8322148760044302	0.8322148760044302	1.9268118212067975e-9	2.5200071150719627e-6
ctbp1l	ctbp1l	Culicoidibacter	-0.8322148760044302	0.8322148760044302	1.9268118212067975e-9	2.5200071150719627e-6
uqcc6	uqcc6	Culicoidibacter	-0.8322148760044302	0.8322148760044302	1.9268118212067975e-9	2.5200071150719627e-6
fus	fus	Culicoidibacter	-0.831182351344375	0.831182351344375	2.2350761241796135e-9	2.8371990582802954e-6
nsfl1c	nsfl1c	Culicoidibacter	-0.831182351344375	0.831182351344375	2.2350761241796135e-9	2.8371990582802954e-6
ncbp1	ncbp1	Culicoidibacter	-0.83014982668432	0.83014982668432	2.5880164677971607e-9	3.19135704976833e-6
psmc4	psmc4	Culicoidibacter	-0.83014982668432	0.83014982668432	2.5880164677971607e-9	3.19135704976833e-6
agr2	agr2	Culicoidibacter	-0.8291173020242648	0.8291173020242648	2.9914208887760196e-9	3.5863397180313505e-6
psmd3	psmd3	Culicoidibacter	-0.8291173020242648	0.8291173020242648	2.9914208887760196e-9	3.5863397180313505e-6
gng10	gng10	Paucibacter	-0.8286893704850361	0.8286893704850361	3.1749005646730666e-9	3.7541676964659512e-6
aaas	aaas	Culicoidibacter	-0.8280847773642098	0.8280847773642098	3.451735564041769e-9	3.81987643785284e-6
csf3r	csf3r	Culicoidibacter	-0.8280847773642098	0.8280847773642098	3.451735564041769e-9	3.81987643785284e-6
gtdc1	gtdc1	Culicoidibacter	-0.8280847773642098	0.8280847773642098	3.451735564041769e-9	3.81987643785284e-6
mmp25b	mmp25b	Culicoidibacter	-0.8280847773642098	0.8280847773642098	3.451735564041769e-9	3.81987643785284e-6
thyn1	thyn1	Plesiomonas	-0.8280847773642098	0.8280847773642098	3.451735564041769e-9	3.81987643785284e-6
mrpl33	mrpl33	Culicoidibacter	-0.8270522527041546	0.8270522527041546	3.976128315485994e-9	4.290192750805444e-6
prpf31	prpf31	Culicoidibacter	-0.8270522527041546	0.8270522527041546	3.976128315485994e-9	4.290192750805444e-6
pvalb7	pvalb7	Gemmobacter	-0.8266970232563445	0.8266970232563445	4.1727681310277376e-9	4.422061651023554e-6
uqcc6	uqcc6	Paucibacter	-0.826625386996904	0.826625386996904	4.213485560455865e-9	4.422061651023554e-6
irgf3	irgf3	Vogesella	0.8265581531669757	0.8265581531669757	4.252031615692431e-9	4.422061651023554e-6
ciao1	ciao1	Culicoidibacter	-0.8260197280440995	0.8260197280440995	4.572558109927627e-9	4.536766017136124e-6
dmap1	dmap1	Culicoidibacter	-0.8260197280440995	0.8260197280440995	4.572558109927627e-9	4.536766017136124e-6
tars1	tars1	Culicoidibacter	-0.8260197280440995	0.8260197280440995	4.572558109927627e-9	4.536766017136124e-6
tubb2b	tubb2b	Culicoidibacter	-0.8260197280440995	0.8260197280440995	4.572558109927627e-9	4.536766017136124e-6
zgc:172339	zgc:172339	Gemmobacter	-0.8256623586465117	0.8256623586465117	4.79735118297242e-9	4.705710872306777e-6
hephl1b	hephl1b	Paenirhodobacter	-0.8253678387501615	0.8253678387501615	4.990161839302232e-9	4.720434340223234e-6
h3f3a	h3f3a	Culicoidibacter	-0.8249872033840443	0.8249872033840443	5.249848777921784e-9	4.720434340223234e-6
mtrex	mtrex	Culicoidibacter	-0.8249872033840443	0.8249872033840443	5.249848777921784e-9	4.720434340223234e-6
si:ch211-284o19.8	si:ch211-284o19.8	Culicoidibacter	-0.8249872033840443	0.8249872033840443	5.249848777921784e-9	4.720434340223234e-6
slc25a44a	slc25a44a	Culicoidibacter	-0.8249872033840443	0.8249872033840443	5.249848777921784e-9	4.720434340223234e-6
ssbp1	ssbp1	Culicoidibacter	-0.8249872033840443	0.8249872033840443	5.249848777921784e-9	4.720434340223234e-6
tardbpb	tardbpb	Culicoidibacter	-0.8249872033840443	0.8249872033840443	5.249848777921784e-9	4.720434340223234e-6
zgc:85858	zgc:85858	Culicoidibacter	-0.8249872033840443	0.8249872033840443	5.249848777921784e-9	4.720434340223234e-6
sco2	sco2	Tundrisphaera	-0.8242539443906115	0.8242539443906115	5.785255607904105e-9	5.143047884283529e-6
ccdc43	ccdc43	Plesiomonas	-0.8239546787239892	0.8239546787239892	6.017769393906747e-9	5.143047884283529e-6
haus6	haus6	Culicoidibacter	-0.8239546787239892	0.8239546787239892	6.017769393906747e-9	5.143047884283529e-6
psmd1	psmd1	Culicoidibacter	-0.8239546787239892	0.8239546787239892	6.017769393906747e-9	5.143047884283529e-6
uchl5	uchl5	Plesiomonas	-0.8239546787239892	0.8239546787239892	6.017769393906747e-9	5.143047884283529e-6
LOC137496284	LOC137496284	Plesiomonas	-0.8233471074380165	0.8233471074380165	6.516303718839822e-9	5.514517850064065e-6
aqr	aqr	Culicoidibacter	-0.8229221540639341	0.8229221540639341	6.887119985421464e-9	5.661802952586622e-6
rft1	rft1	Plesiomonas	-0.8229221540639341	0.8229221540639341	6.887119985421464e-9	5.661802952586622e-6
thumpd1	thumpd1	Culicoidibacter	-0.8229221540639341	0.8229221540639341	6.887119985421464e-9	5.661802952586622e-6
prdx5	prdx5	Paucibacter	-0.8224974200206399	0.8224974200206399	7.276916180742887e-9	5.925812526467409e-6
LOC103909810	LOC103909810	Vogesella	0.8222362804706778	0.8222362804706778	7.526472778351945e-9	6.0116400844259385e-6
pigu	pigu	Vogesella	0.8222362804706778	0.8222362804706778	7.526472778351945e-9	6.0116400844259385e-6
cirbpa	cirbpa	Culicoidibacter	-0.8218896294038789	0.8218896294038789	7.8698239036612e-9	6.0116400844259385e-6
lig4	lig4	Plesiomonas	-0.8218896294038789	0.8218896294038789	7.8698239036612e-9	6.0116400844259385e-6
nr1d2a	nr1d2a	Chitinilyticum	0.8218896294038789	0.8218896294038789	7.8698239036612e-9	6.0116400844259385e-6
psmd11b	psmd11b	Culicoidibacter	-0.8218896294038789	0.8218896294038789	7.8698239036612e-9	6.0116400844259385e-6
zgc:172014	zgc:172014	Culicoidibacter	-0.8218896294038789	0.8218896294038789	7.8698239036612e-9	6.0116400844259385e-6
LOC137487483	LOC137487483	Gemmobacter	-0.8215237002071809	0.8215237002071809	8.24773827012848e-9	6.245057190694915e-6
actl6a	actl6a	Culicoidibacter	-0.8208571047438239	0.8208571047438239	8.97902685537133e-9	6.4588384927399826e-6
mtap	mtap	Culicoidibacter	-0.8208571047438239	0.8208571047438239	8.97902685537133e-9	6.4588384927399826e-6
nudcd2	nudcd2	Culicoidibacter	-0.8208571047438239	0.8208571047438239	8.97902685537133e-9	6.4588384927399826e-6
sf3a3	sf3a3	Culicoidibacter	-0.8208571047438239	0.8208571047438239	8.97902685537133e-9	6.4588384927399826e-6
tp53inp1	tp53inp1	Culicoidibacter	0.8208571047438239	0.8208571047438239	8.97902685537133e-9	6.4588384927399826e-6
zgc:172014	zgc:172014	Plesiomonas	-0.8208571047438239	0.8208571047438239	8.97902685537133e-9	6.4588384927399826e-6
anxa5b	anxa5b	Paucibacter	-0.8204334365325078	0.8204334365325078	9.474075968185502e-9	6.648721654453694e-6
cxcl8b.1	cxcl8b.1	Paucibacter	-0.8204334365325078	0.8204334365325078	9.474075968185502e-9	6.648721654453694e-6
tuba1b	tuba1b	Paucibacter	-0.8204334365325078	0.8204334365325078	9.474075968185502e-9	6.648721654453694e-6
cybb	cybb	Vogesella	0.8200753441225288	0.8200753441225288	9.911785392446859e-9	6.898238135866902e-6
mknk2a	mknk2a	Culicoidibacter	0.8198245800837687	0.8198245800837687	1.0229201929945475e-8	6.898238135866902e-6
psmd13	psmd13	Culicoidibacter	-0.8198245800837687	0.8198245800837687	1.0229201929945475e-8	6.898238135866902e-6
psmd6	psmd6	Plesiomonas	-0.8198245800837687	0.8198245800837687	1.0229201929945475e-8	6.898238135866902e-6
sass6	sass6	Culicoidibacter	-0.8198245800837687	0.8198245800837687	1.0229201929945475e-8	6.898238135866902e-6
zgc:171579	zgc:171579	Vogesella	0.8185251089875569	0.8185251089875569	1.2027669304970345e-8	8.035208421246328e-6
cdk11b	cdk11b	Paenirhodobacter	-0.8184757397164691	0.8184757397164691	1.2101357693694581e-8	8.035208421246328e-6
psmd2	psmd2	Plesiomonas	-0.8177595307636585	0.8177595307636585	1.321768938744583e-8	8.514460673395049e-6
si:ch211-209f23.6	si:ch211-209f23.6	Culicoidibacter	-0.8177595307636585	0.8177595307636585	1.321768938744583e-8	8.514460673395049e-6
snu13b	snu13b	Culicoidibacter	-0.8177595307636585	0.8177595307636585	1.321768938744583e-8	8.514460673395049e-6
trap1	trap1	Culicoidibacter	-0.8177595307636585	0.8177595307636585	1.321768938744583e-8	8.514460673395049e-6
p2rx4b	p2rx4b	Paenirhodobacter	-0.8174383813644837	0.8174383813644837	1.374807823140145e-8	8.790521221158087e-6
zmp:0000001132	zmp:0000001132	Culicoidibacter	-0.8171487603305786	0.8171487603305786	1.4242948154219448e-8	9.039978247971092e-6
erap1a	erap1a	Vogesella	0.8168339396003054	0.8168339396003054	1.4799238501339573e-8	9.243930354131878e-6
si:ch211-155m12.1	si:ch211-155m12.1	Culicoidibacter	-0.8168226089032419	0.8168226089032419	1.481962397242853e-8	9.243930354131878e-6
anp32b	anp32b	Culicoidibacter	-0.8167270061036034	0.8167270061036034	1.4992646457656633e-8	9.243930354131878e-6
polr2c	polr2c	Culicoidibacter	-0.8167270061036034	0.8167270061036034	1.4992646457656633e-8	9.243930354131878e-6
mms22l	mms22l	Paucibacter	-0.8163054695562436	0.8163054695562436	1.5777700257402216e-8	9.658973819281574e-6
atp6v1ba	atp6v1ba	Culicoidibacter	-0.8156944814435482	0.8156944814435482	1.698213125678194e-8	1.0109521296235588e-5
cnp	cnp	Culicoidibacter	-0.8156944814435482	0.8156944814435482	1.698213125678194e-8	1.0109521296235588e-5
psmc1b	psmc1b	Culicoidibacter	-0.8156944814435482	0.8156944814435482	1.698213125678194e-8	1.0109521296235588e-5
psmd7	psmd7	Culicoidibacter	-0.8156944814435482	0.8156944814435482	1.698213125678194e-8	1.0109521296235588e-5
mms22l	mms22l	Culicoidibacter	-0.8146619567834932	0.8146619567834932	1.9209115187379666e-8	1.1128265864828358e-5
ncoa7a	ncoa7a	Plesiomonas	-0.8146619567834932	0.8146619567834932	1.9209115187379666e-8	1.1128265864828358e-5
plaa	plaa	Culicoidibacter	-0.8146619567834932	0.8146619567834932	1.9209115187379666e-8	1.1128265864828358e-5
tamm41	tamm41	Culicoidibacter	-0.8146619567834932	0.8146619567834932	1.9209115187379666e-8	1.1128265864828358e-5
nedd8l	nedd8l	Paenirhodobacter	-0.8143263063085275	0.8143263063085275	1.998833587535387e-8	1.1502487762831138e-5
arf2b	arf2b	Plesiomonas	-0.813629432123438	0.813629432123438	2.1698699503858165e-8	1.2215181405710202e-5
mrpl9	mrpl9	Culicoidibacter	-0.813629432123438	0.813629432123438	2.1698699503858165e-8	1.2215181405710202e-5
egr2b	egr2b	Vogesella	0.813592535078082	0.813592535078082	2.1792860627201094e-8	1.2215181405710202e-5
rbm17	rbm17	Vogesella	0.813592535078082	0.813592535078082	2.1792860627201094e-8	1.2215181405710202e-5
s1pr4	s1pr4	Culicoidibacter	-0.8130165289256199	0.8130165289256199	2.331181447878805e-8	1.2982274283835521e-5
lonrf1	lonrf1	Chitinilyticum	0.8125969074633829	0.8125969074633829	2.4478281179796113e-8	1.328893555445799e-5
lypla2	lypla2	Plesiomonas	-0.8125969074633829	0.8125969074633829	2.4478281179796113e-8	1.328893555445799e-5
nup107	nup107	Culicoidibacter	-0.8125969074633829	0.8125969074633829	2.4478281179796113e-8	1.328893555445799e-5
psma2b	psma2b	Culicoidibacter	-0.8125969074633829	0.8125969074633829	2.4478281179796113e-8	1.328893555445799e-5
ints5	ints5	Vogesella	0.8125120669040075	0.8125120669040075	2.4720470781502968e-8	1.3336539483678466e-5
mmp25b	mmp25b	Paucibacter	-0.8121775025799794	0.8121775025799794	2.5696904382144226e-8	1.3608166192406795e-5
prim2	prim2	Paucibacter	-0.8121775025799794	0.8121775025799794	2.5696904382144226e-8	1.3608166192406795e-5
si:ch211-266k8.4	si:ch211-266k8.4	Paucibacter	-0.8121775025799794	0.8121775025799794	2.5696904382144226e-8	1.3608166192406795e-5
psmd4a	psmd4a	Plesiomonas	-0.8115643828033278	0.8115643828033278	2.7577728323180395e-8	1.408569190016928e-5
rbbp7	rbbp7	Culicoidibacter	-0.8115643828033278	0.8115643828033278	2.7577728323180395e-8	1.408569190016928e-5
smarcb1a	smarcb1a	Culicoidibacter	-0.8115643828033278	0.8115643828033278	2.7577728323180395e-8	1.408569190016928e-5
thoc3	thoc3	Plesiomonas	-0.8115643828033278	0.8115643828033278	2.7577728323180395e-8	1.408569190016928e-5
timm9	timm9	Culicoidibacter	-0.8115643828033278	0.8115643828033278	2.7577728323180395e-8	1.408569190016928e-5
wdr12	wdr12	Culicoidibacter	-0.8115643828033278	0.8115643828033278	2.7577728323180395e-8	1.408569190016928e-5
mfsd5	mfsd5	Culicoidibacter	-0.8105318581432727	0.8105318581432727	3.102956425138359e-8	1.5305376894943887e-5
pank1a	pank1a	Culicoidibacter	0.8105318581432727	0.8105318581432727	3.102956425138359e-8	1.5305376894943887e-5
psmc6	psmc6	Culicoidibacter	-0.8105318581432727	0.8105318581432727	3.102956425138359e-8	1.5305376894943887e-5
si:ch211-286b5.9	si:ch211-286b5.9	Plesiomonas	-0.8105318581432727	0.8105318581432727	3.102956425138359e-8	1.5305376894943887e-5
sub1a	sub1a	Culicoidibacter	-0.8105318581432727	0.8105318581432727	3.102956425138359e-8	1.5305376894943887e-5
vps25	vps25	Culicoidibacter	-0.8105318581432727	0.8105318581432727	3.102956425138359e-8	1.5305376894943887e-5
calm1b	calm1b	Paenirhodobacter	-0.8101768729005859	0.8101768729005859	3.230401501852498e-8	1.5516625768197492e-5
prim2	prim2	Paenirhodobacter	-0.8101768729005859	0.8101768729005859	3.230401501852498e-8	1.5516625768197492e-5
cdan1	cdan1	Paucibacter	-0.8101135190918474	0.8101135190918474	3.25363971320769e-8	1.5516625768197492e-5
mcm10	mcm10	Paucibacter	-0.8101135190918474	0.8101135190918474	3.25363971320769e-8	1.5516625768197492e-5
mynn	mynn	Paucibacter	-0.8101135190918474	0.8101135190918474	3.25363971320769e-8	1.5516625768197492e-5
pot1	pot1	Paucibacter	-0.8101135190918474	0.8101135190918474	3.25363971320769e-8	1.5516625768197492e-5
anxa5b	anxa5b	Plesiomonas	-0.8094993334832175	0.8094993334832175	3.4869165999040774e-8	1.5841429157216843e-5
commd9	commd9	Plesiomonas	-0.8094993334832175	0.8094993334832175	3.4869165999040774e-8	1.5841429157216843e-5
itgb2	itgb2	Culicoidibacter	-0.8094993334832175	0.8094993334832175	3.4869165999040774e-8	1.5841429157216843e-5
nudcd2	nudcd2	Plesiomonas	-0.8094993334832175	0.8094993334832175	3.4869165999040774e-8	1.5841429157216843e-5
psmc2	psmc2	Plesiomonas	-0.8094993334832175	0.8094993334832175	3.4869165999040774e-8	1.5841429157216843e-5
psmc6	psmc6	Plesiomonas	-0.8094993334832175	0.8094993334832175	3.4869165999040774e-8	1.5841429157216843e-5
ssbp1	ssbp1	Plesiomonas	-0.8094993334832175	0.8094993334832175	3.4869165999040774e-8	1.5841429157216843e-5
thoc3	thoc3	Culicoidibacter	-0.8094993334832175	0.8094993334832175	3.4869165999040774e-8	1.5841429157216843e-5
vps25	vps25	Plesiomonas	-0.8094993334832175	0.8094993334832175	3.4869165999040774e-8	1.5841429157216843e-5
acp1	acp1	Vogesella	0.8092706623817841	0.8092706623817841	3.5775750584221555e-8	1.608399486812198e-5
ftr57	ftr57	Vogesella	0.8092706623817841	0.8092706623817841	3.5775750584221555e-8	1.608399486812198e-5
armc7	armc7	Tundrisphaera	-0.8086035530414226	0.8086035530414226	3.854407948367111e-8	1.7147673017789482e-5
LOC100535415	LOC100535415	Culicoidibacter	-0.8084668088231625	0.8084668088231625	3.913497126362131e-8	1.7147673017789482e-5
cxcl8b.1	cxcl8b.1	Plesiomonas	-0.8084668088231625	0.8084668088231625	3.913497126362131e-8	1.7147673017789482e-5
dtl	dtl	Culicoidibacter	-0.8084668088231625	0.8084668088231625	3.913497126362131e-8	1.7147673017789482e-5
ppil3	ppil3	Culicoidibacter	-0.8084668088231625	0.8084668088231625	3.913497126362131e-8	1.7147673017789482e-5
fbln1	fbln1	Vogesella	0.8081901942077095	0.8081901942077095	4.035544587388529e-8	1.7593140062565173e-5
psmb5	psmb5	Paucibacter	-0.8080495356037152	0.8080495356037152	4.0989200256191793e-8	1.7779632044795072e-5
clic1	clic1	Culicoidibacter	-0.8074342841631073	0.8074342841631073	4.386869689732009e-8	1.8562264938626338e-05
psmd1	psmd1	Plesiomonas	-0.8074342841631073	0.8074342841631073	4.386869689732009e-8	1.8562264938626338e-05
rngtt	rngtt	Culicoidibacter	-0.8074342841631073	0.8074342841631073	4.386869689732009e-8	1.8562264938626338e-05
si:ch73-362m14.2	si:ch73-362m14.2	Culicoidibacter	-0.8074342841631073	0.8074342841631073	4.386869689732009e-8	1.8562264938626338e-05
xab2	xab2	Culicoidibacter	-0.8074342841631073	0.8074342841631073	4.386869689732009e-8	1.8562264938626338e-05
commd3	commd3	Vogesella	0.8071097260336351	0.8071097260336351	4.5460436082223055e-8	1.9049026127094232e-5
rnaseh2a	rnaseh2a	Vogesella	0.8071097260336351	0.8071097260336351	4.5460436082223055e-8	1.9049026127094232e-5
anapc2	anapc2	Culicoidibacter	-0.806401759503052	0.806401759503052	4.911557249798193e-8	1.962781065950603e-5
chmp4bb	chmp4bb	Culicoidibacter	-0.806401759503052	0.806401759503052	4.911557249798193e-8	1.962781065950603e-5
dbnlb	dbnlb	Culicoidibacter	-0.806401759503052	0.806401759503052	4.911557249798193e-8	1.962781065950603e-5
eno1a	eno1a	Culicoidibacter	-0.806401759503052	0.806401759503052	4.911557249798193e-8	1.962781065950603e-5
hsd3b7	hsd3b7	Culicoidibacter	0.806401759503052	0.806401759503052	4.911557249798193e-8	1.962781065950603e-5
nup155	nup155	Culicoidibacter	-0.806401759503052	0.806401759503052	4.911557249798193e-8	1.962781065950603e-5
nup85	nup85	Culicoidibacter	-0.806401759503052	0.806401759503052	4.911557249798193e-8	1.962781065950603e-5
rnaseh2a	rnaseh2a	Culicoidibacter	-0.806401759503052	0.806401759503052	4.911557249798193e-8	1.962781065950603e-5
snrpd1	snrpd1	Culicoidibacter	-0.806401759503052	0.806401759503052	4.911557249798193e-8	1.962781065950603e-5
tpra	tpra	Culicoidibacter	-0.806401759503052	0.806401759503052	4.911557249798193e-8	1.962781065950603e-5
acot19	acot19	Vogesella	0.8060292578595606	0.8060292578595606	5.114377499282341e-8	2.034414522398859e-5
ap1b1	ap1b1	Culicoidibacter	-0.8053692348429969	0.8053692348429969	5.4924583325899334e-8	2.0978031451806655e-5
ccdc43	ccdc43	Culicoidibacter	-0.8053692348429969	0.8053692348429969	5.4924583325899334e-8	2.0978031451806655e-5
cenpt	cenpt	Culicoidibacter	-0.8053692348429969	0.8053692348429969	5.4924583325899334e-8	2.0978031451806655e-5
hnrnpa0a	hnrnpa0a	Culicoidibacter	-0.8053692348429969	0.8053692348429969	5.4924583325899334e-8	2.0978031451806655e-5
mre11a	mre11a	Culicoidibacter	-0.8053692348429969	0.8053692348429969	5.4924583325899334e-8	2.0978031451806655e-5
psmc3	psmc3	Culicoidibacter	-0.8053692348429969	0.8053692348429969	5.4924583325899334e-8	2.0978031451806655e-5
rfc3	rfc3	Culicoidibacter	-0.8053692348429969	0.8053692348429969	5.4924583325899334e-8	2.0978031451806655e-5
snrpb	snrpb	Culicoidibacter	-0.8053692348429969	0.8053692348429969	5.4924583325899334e-8	2.0978031451806655e-5
zgc:110782	zgc:110782	Culicoidibacter	-0.8053692348429969	0.8053692348429969	5.4924583325899334e-8	2.0978031451806655e-5
LOC141379833	LOC141379833	Paenirhodobacter	-0.8049900811406591	0.8049900811406591	5.720918938578734e-8	2.1565907201037682e-5
