#Number of Samples: 14
#Total Number of Reads: 187533685
#S1	TS047_RoL_RNA_477_TS047_RoL_RNA_477_kraken2_custom_k2.kraken2.kraken2.report.txt
#S2	TS047_RoL_RNA_655_TS047_RoL_RNA_655_kraken2_custom_k2.kraken2.kraken2.report.txt
#S3	TS047_RoL_RNA_20_TS047_RoL_RNA_20_kraken2_custom_k2.kraken2.kraken2.report.txt
#S4	TS047_RoL_RNA_328_TS047_RoL_RNA_328_kraken2_custom_k2.kraken2.kraken2.report.txt
#S5	TS047_RoL_RNA_46_TS047_RoL_RNA_46_kraken2_custom_k2.kraken2.kraken2.report.txt
#S6	TS047_RoL_RNA_710_TS047_RoL_RNA_710_kraken2_custom_k2.kraken2.kraken2.report.txt
#S7	TS047_RoL_RNA_177_TS047_RoL_RNA_177_kraken2_custom_k2.kraken2.kraken2.report.txt
#S8	TS047_RoL_RNA_291_TS047_RoL_RNA_291_kraken2_custom_k2.kraken2.kraken2.report.txt
#S9	TS047_RoL_RNA_532_TS047_RoL_RNA_532_kraken2_custom_k2.kraken2.kraken2.report.txt
#S10	TS047_RoL_RNA_498_TS047_RoL_RNA_498_kraken2_custom_k2.kraken2.kraken2.report.txt
#S11	TS047_RoL_RNA_708_TS047_RoL_RNA_708_kraken2_custom_k2.kraken2.kraken2.report.txt
#S12	TS047_RoL_RNA_526_TS047_RoL_RNA_526_kraken2_custom_k2.kraken2.kraken2.report.txt
#S13	TS047_RoL_RNA_355_TS047_RoL_RNA_355_kraken2_custom_k2.kraken2.kraken2.report.txt
#S14	TS047_RoL_RNA_16_TS047_RoL_RNA_16_kraken2_custom_k2.kraken2.kraken2.report.txt
#perc	tot_all	tot_lvl	1_all	1_lvl	2_all	2_lvl	3_all	3_lvl	4_all	4_lvl	5_all	5_lvl	6_all	6_lvl	7_all	7_lvl	8_all	8_lvl	9_all	9_lvl	10_all	10_lvl	11_all	11_lvl	12_all	12_lvl	13_all	13_lvl	14_all	14_lvl	lvl_type	taxid	name
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	P5	117571	                          Euteleostomi
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	P6	7898	                            Actinopterygii
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	C	186623	                              Actinopteri
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	C1	41665	                                Neopterygii
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	C2	32443	                                  Teleostei
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	C3	1489341	                                    Osteoglossocephalai
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	C4	186625	                                      Clupeocephala
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	C5	186634	                                        Otomorpha
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	C6	32519	                                          Ostariophysi
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	C7	186626	                                            Otophysi
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	C8	186627	                                              Cypriniphysae
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	O	7952	                                                Cypriniformes
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	O1	30727	                                                  Cyprinoidei
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	F	2743709	                                                    Danionidae
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	F1	2743711	                                                      Danioninae
95.6021	179286104	0	12753331	0	14664101	0	12604174	0	13366104	0	15182217	0	11597542	0	11186304	0	11263428	0	12227183	0	12280502	0	15798185	0	19421896	0	7060304	0	9880833	0	G	7954	                                                        Danio
95.6021	179286104	179286104	12753331	12753331	14664101	14664101	12604174	12604174	13366104	13366104	15182217	15182217	11597542	11597542	11186304	11186304	11263428	11263428	12227183	12227183	12280502	12280502	15798185	15798185	19421896	19421896	7060304	7060304	9880833	9880833	S	7955	                                                          Danio rerio
