gene_id	taxa_id	correlation	p_value	fdr	abs_correlation	comparison_name	base_treatment	comparison_treatment
selenon	Culicoidibacter	-0.5522650068432221	0.015984015984015984	0.045192902335759476	0.5522650068432221	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
golt1bb	Culicoidibacter	-0.5487566031765525	0.03296703296703297	0.052328623757195186	0.5487566031765525	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
LOC100006250	Gemmobacter	-0.5378338966387811	0.011988011988011988	0.043290043290043295	0.5378338966387811	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
nrros	Culicoidibacter	-0.5361017232882367	0.014985014985014986	0.045192902335759476	0.5361017232882367	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
mad2l1bp	Culicoidibacter	-0.5358065804547099	0.017982017982017984	0.045192902335759476	0.5358065804547099	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
tomm20a	Culicoidibacter	-0.5327591578595954	0.01998001998001998	0.04540913631822723	0.5327591578595954	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
rpap1	Culicoidibacter	-0.5248122711883264	0.026973026973026972	0.048166119594691026	0.5248122711883264	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
uchl5	Culicoidibacter	-0.5233935318676488	0.02097902097902098	0.04560656734569778	0.5233935318676488	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
arpp19b	Culicoidibacter	-0.5224059077050748	0.03396603396603397	0.05307192807192807	0.5224059077050748	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
hephl1b	Paucibacter	-0.5217981200587007	0.002997002997002997	0.023053869207715363	0.5217981200587007	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
cdk10	Culicoidibacter	-0.5190881445540785	0.011988011988011988	0.043290043290043295	0.5190881445540785	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
gtpbp8	Culicoidibacter	-0.5130835179965931	0.061938061938061936	0.08068854222700378	0.5130835179965931	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
plod2	Culicoidibacter	-0.5130568625582689	0.06293706293706294	0.08068854222700378	0.5130568625582689	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
timp2b	Paucibacter	-0.5099902128083458	0.00999000999000999	0.043290043290043295	0.5099902128083458	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
commd9	Culicoidibacter	-0.5082204685701545	0.01898101898101898	0.045192902335759476	0.5082204685701545	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
zgc:77262	Culicoidibacter	-0.5081089081114776	0.03696303696303696	0.05600460145914691	0.5081089081114776	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
srpk1b	Culicoidibacter	-0.5044614904674029	0.01998001998001998	0.04540913631822723	0.5044614904674029	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
noc3l	Culicoidibacter	-0.502506827163688	0.012987012987012988	0.043290043290043295	0.502506827163688	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
si:ch211-165i18.2	Paucibacter	-0.4893369742378368	9.99000999000999e-4	0.023053869207715363	0.4893369742378368	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
ddx54	Culicoidibacter	-0.48825336748435855	0.028971028971028972	0.04995004995004995	0.48825336748435855	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
polr2i	Culicoidibacter	-0.48627738065740883	0.026973026973026972	0.048166119594691026	0.48627738065740883	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
chmp2a	Fluviicola	-0.48359745384699065	0.002997002997002997	0.023053869207715363	0.48359745384699065	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
utp6	Culicoidibacter	-0.48209892516428055	0.01898101898101898	0.045192902335759476	0.48209892516428055	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
rbm12bb	Culicoidibacter	-0.47915145653656166	0.022977022977022976	0.04595404595404595	0.47915145653656166	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
denr	Culicoidibacter	-0.4761097375006351	0.028971028971028972	0.04995004995004995	0.4761097375006351	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
gpn1	Culicoidibacter	-0.4748367888262676	0.015984015984015984	0.045192902335759476	0.4748367888262676	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
slc25a17l	Paenirhodobacter	-0.4707318764374209	0.015984015984015984	0.045192902335759476	0.4707318764374209	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
exosc5	Culicoidibacter	-0.46965372784653214	0.00999000999000999	0.043290043290043295	0.46965372784653214	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
psmd4a	Culicoidibacter	-0.467138718873387	0.01098901098901099	0.043290043290043295	0.467138718873387	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
pigf	Culicoidibacter	-0.46702665937677557	0.02197802197802198	0.04578754578754579	0.46702665937677557	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
psmd6	Culicoidibacter	-0.4669821278524652	0.013986013986013986	0.04511617414843221	0.4669821278524652	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
psmd2	Culicoidibacter	-0.46316128152447084	0.00999000999000999	0.043290043290043295	0.46316128152447084	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
rps19bp1	Culicoidibacter	-0.46283671094640205	0.03196803196803197	0.05156134188392253	0.46283671094640205	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
abcc3	Culicoidibacter	-0.46001011895396715	0.03896103896103896	0.05815080441946114	0.46001011895396715	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
eif2s2	Culicoidibacter	-0.4596955411412538	0.022977022977022976	0.04595404595404595	0.4596955411412538	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
si:dkey-60a16.1	Culicoidibacter	-0.4589875999859919	0.017982017982017984	0.045192902335759476	0.4589875999859919	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
mtif2	Culicoidibacter	-0.4581060729567986	0.012987012987012988	0.043290043290043295	0.4581060729567986	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
lonp1	Culicoidibacter	-0.4498672327959468	0.025974025974025976	0.0481000481000481	0.4498672327959468	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
gfpt1	Culicoidibacter	-0.4486448839465794	0.04195804195804196	0.060808756460930376	0.4486448839465794	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
tuba8l4	Culicoidibacter	-0.44823891950538364	0.02197802197802198	0.04578754578754579	0.44823891950538364	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
aldh18a1	Culicoidibacter	-0.4417196155900891	0.024975024975024976	0.04802889418274034	0.4417196155900891	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
imp4	Culicoidibacter	-0.43749527667742383	0.025974025974025976	0.0481000481000481	0.43749527667742383	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
nom1	Culicoidibacter	-0.4298544193871105	0.024975024975024976	0.04802889418274034	0.4298544193871105	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
h2ax	Culicoidibacter	-0.42793795059495227	0.04995004995004995	0.06937506937506938	0.42793795059495227	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
pdcd5	Culicoidibacter	-0.4229519400629773	0.012987012987012988	0.043290043290043295	0.4229519400629773	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
pfdn4	Culicoidibacter	-0.4199654038772406	0.03596403596403597	0.055329286098516874	0.4199654038772406	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
mdka	Culicoidibacter	-0.41077503932121273	0.03996003996003996	0.05876476464711759	0.41077503932121273	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
LOC100006250	Paenirhodobacter	-0.4073342965292488	0.002997002997002997	0.023053869207715363	0.4073342965292488	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
rbbp9	Culicoidibacter	-0.3969127811234673	0.07592407592407592	0.09610642522034928	0.3969127811234673	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
LOC103908679	Culicoidibacter	-0.39211693394674035	0.03196803196803197	0.05156134188392253	0.39211693394674035	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
anxa5b	Culicoidibacter	-0.37956639307261497	0.012987012987012988	0.043290043290043295	0.37956639307261497	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
LOC101885830	Vogesella	0.3780671748724587	0.04395604395604396	0.06279434850863423	0.3780671748724587	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
armc7	Paenirhodobacter	-0.3574088892838318	0.005994005994005994	0.03525885878827056	0.3574088892838318	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
LOC553528	Flavobacterium	-0.35580576334676367	0.04695304695304695	0.066131052046545	0.35580576334676367	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
LOC572225	Paenirhodobacter	-0.3385972829897581	0.001998001998001998	0.023053869207715363	0.3385972829897581	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
LOC101884777	Vogesella	0.3275980460330888	0.06293706293706294	0.08068854222700378	0.3275980460330888	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
p2rx4b	Gemmobacter	-0.3085373524766261	0.017982017982017984	0.045192902335759476	0.3085373524766261	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
erlec1	Flavobacterium	-0.2805838863582265	0.008991008991008992	0.043290043290043295	0.2805838863582265	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
si:ch211-194m7.4	Flavobacterium	-0.27260765709904433	0.030969030969030968	0.05156134188392253	0.27260765709904433	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
got2b	Flavobacterium	-0.24641420647729614	0.05094905094905095	0.06979322047815198	0.24641420647729614	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
LOC141378680	Vogesella	-0.0751603785112128	0.056943056943056944	0.07695007695007695	0.0751603785112128	A- T- P- vs A- T- P+	A- T- P-	A- T- P+
LOC103909395	Vogesella	1	0.001998001998001998	0.018163654527290893	1	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141376179	Chitinimonas	1	9.99000999000999e-4	0.018163654527290893	1	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141376179	Flavihumibacter	1	0.002997002997002997	0.018731268731268732	1	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141376179	Hyphomicrobium	1	0.001998001998001998	0.018163654527290893	1	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141376179	Mesorhizobium	0.9999999999999998	9.99000999000999e-4	0.018163654527290893	0.9999999999999998	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC137490819	Culicoidibacter	0.9157078855741442	0.04895104895104895	0.07076257076257077	0.9157078855741442	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
ufl1	Crenobacter	0.9137820401696305	0.04995004995004995	0.07076257076257077	0.9137820401696305	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
zgc:113333	Crenobacter	0.9098007618635457	0.027972027972027972	0.0518000518000518	0.9098007618635457	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
gcdhb	Ensifer	0.9067822273485109	0.024975024975024976	0.050969438724540767	0.9067822273485109	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
rpap3	Pseudomonas	-0.9051211702788975	0.01998001998001998	0.04757147614290472	0.9051211702788975	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC101882521	Mycobacterium	0.8894356341496047	0.02197802197802198	0.047778308647873864	0.8894356341496047	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
cyp2ae1	Cetobacterium	0.8787367090829487	0.011988011988011988	0.03996003996003996	0.8787367090829487	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
map2k6	Crenobacter	0.8742011178106799	0.011988011988011988	0.03996003996003996	0.8742011178106799	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
gcdhb	Aquihabitans	0.8653548479083714	0.04895104895104895	0.07076257076257077	0.8653548479083714	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
fn3krp	Ensifer	0.8562392705205629	0.011988011988011988	0.03996003996003996	0.8562392705205629	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
trpv4	Culicoidibacter	0.8548788722224446	0.04895104895104895	0.07076257076257077	0.8548788722224446	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
tbcelb	Ensifer	0.8505964945378366	0.03596403596403597	0.05895743600661634	0.8505964945378366	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC110439496	Cloacibacterium	0.8501504875405849	0.013986013986013986	0.0405000405000405	0.8501504875405849	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
si:ch73-380l3.2	Culicoidibacter	0.8497938167309961	0.05094905094905095	0.07076257076257077	0.8497938167309961	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
bbc3	Cloacibacterium	-0.8350258847195164	0.001998001998001998	0.018163654527290893	0.8350258847195164	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
umad1	Ensifer	0.8345607915980188	0.04495504495504495	0.07024225774225774	0.8345607915980188	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
bend3	Ensifer	0.8326472057823182	0.02197802197802198	0.047778308647873864	0.8326472057823182	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
scg2b	Crenobacter	0.8320707803106532	0.003996003996003996	0.0222000222000222	0.8320707803106532	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
st7l	Ensifer	0.8289715384042564	0.01098901098901099	0.03996003996003996	0.8289715384042564	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
peli2	Ensifer	0.8271177664565795	0.03296703296703297	0.0578368999421631	0.8271177664565795	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC101882702	Paucibacter	0.8254128887828087	0.006993006993006993	0.030404378230465184	0.8254128887828087	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
gcdhb	Paenirhodobacter	0.8224278771482832	0.017982017982017984	0.0438585804439463	0.8224278771482832	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
pdk2b	Cloacibacterium	-0.8203764936016189	0.002997002997002997	0.018731268731268732	0.8203764936016189	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC101882521	Aquihabitans	0.812736835550386	0.026973026973026972	0.0518000518000518	0.812736835550386	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
glt8d1	Pseudomonas	-0.8049598531521699	0.04495504495504495	0.07024225774225774	0.8049598531521699	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
gcdhb	Bradyrhizobium	0.8010973188276631	0.012987012987012988	0.0405000405000405	0.8010973188276631	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141379352	Mycobacterium	0.7945595962561192	0.006993006993006993	0.030404378230465184	0.7945595962561192	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
zgc:161973	Bosea	-0.790482058956207	0.007992007992007992	0.03196803196803197	0.790482058956207	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
ccdc134	Dinghuibacter	0.7858813879974833	0.007992007992007992	0.03196803196803197	0.7858813879974833	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
vdra	Ensifer	0.7805239464656968	0.07892107892107893	0.09990009990009992	0.7805239464656968	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
klhdc4	Dinghuibacter	0.7790202143027447	0.03496503496503497	0.05895743600661634	0.7790202143027447	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
bdh1	Culicoidibacter	0.7652652380394714	0.055944055944055944	0.07459207459207459	0.7652652380394714	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
gcdhb	Mycobacterium	0.7645991113708696	0.04195804195804196	0.06767426122264832	0.7645991113708696	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
cdcp1b	Ensifer	0.7532076896309017	0.030969030969030968	0.056307329034601755	0.7532076896309017	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
rab11fip4b	Bosea	-0.7457284796483444	0.001998001998001998	0.018163654527290893	0.7457284796483444	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
elapor2a	Bosea	-0.7426328583926979	0.013986013986013986	0.0405000405000405	0.7426328583926979	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
ppfibp2b	Ensifer	0.7396177556713139	0.03396603396603397	0.05856212752764477	0.7396177556713139	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
igf2bp2b	Ensifer	0.7394900560930138	0.06593406593406594	0.08562865705722848	0.7394900560930138	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC101882521	Nocardia	0.7366358244747013	0.053946053946053944	0.0729000729000729	0.7366358244747013	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
mrpl9	Cloacibacterium	0.7365553621636792	9.99000999000999e-4	0.018163654527290893	0.7365553621636792	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
ube2h	Ensifer	0.7360352973853234	0.06993006993006994	0.08965393580778197	0.7360352973853234	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
serpinh2	Gemmobacter	0.72659966356217065	0.03596403596403597	0.05895743600661634	0.72659966356217065	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
elac2	Cloacibacterium	0.7191870190472984	9.99000999000999e-4	0.018163654527290893	0.7191870190472984	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
slc12a8	Dechloromonas	-0.719169030696206	0.015984015984015984	0.04098465636927176	0.719169030696206	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
noxa1	Fluviicola	-0.7129408025357709	0.014985014985014986	0.0405000405000405	0.7129408025357709	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
itpkcb	Acinetobacter	0.7111325206661748	0.053946053946053944	0.0729000729000729	0.7111325206661748	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
aatf	Cloacibacterium	0.6993895552299514	0.02197802197802198	0.047778308647873864	0.6993895552299514	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
mdh1ab	Cloacibacterium	0.6909479605048094	0.006993006993006993	0.030404378230465184	0.6909479605048094	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
rnf111	Ensifer	0.683235679936381	0.05094905094905095	0.07076257076257077	0.683235679936381	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC100149761	Crenobacter	0.6718233255722229	0.04595404595404595	0.07069853223699378	0.6718233255722229	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
dynll2a	Phreatobacter	-0.671636994628587	0.03196803196803197	0.05708577137148566	0.671636994628587	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
hcfc2	Paenirhodobacter	0.6548253045806515	0.002997002997002997	0.018731268731268732	0.6548253045806515	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
syngr3b	Acinetobacter	0.6545585412482814	0.014985014985014986	0.0405000405000405	0.6545585412482814	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
cyp3c1	Paenirhodobacter	0.6357800416019967	0.027972027972027972	0.0518000518000518	0.6357800416019967	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
mcm9	Fluviicola	-0.6271062237052332	0.014985014985014986	0.0405000405000405	0.6271062237052332	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC137495655	Flavobacterium	-0.6195444183128322	0.006993006993006993	0.030404378230465184	0.6195444183128322	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
si:dkey-112e17.1	Fluviicola	-0.6002470362576755	0.011988011988011988	0.03996003996003996	0.6002470362576755	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
prkn	Mycobacterium	-0.5996758570031777	0.025974025974025976	0.0518000518000518	0.5996758570031777	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
dynll2a	Legionella	-0.5904413780718729	0.04795204795204795	0.07076257076257077	0.5904413780718729	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
asz1	Aquihabitans	-0.5852657097384508	0.001998001998001998	0.018163654527290893	0.5852657097384508	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
gcdhb	Legionella	0.5514432122724792	0.012987012987012988	0.0405000405000405	0.5514432122724792	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
hax1	Legionella	0.5446629281344086	0.015984015984015984	0.04098465636927176	0.5446629281344086	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141381921	Gemmobacter	0.5331521667330035	0.002997002997002997	0.018731268731268732	0.5331521667330035	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC141374973	Pseudorhodoplanes	0.5171856260620923	0.02097902097902098	0.047778308647873864	0.5171856260620923	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
ovch1	Fluviicola	-0.513931940083414	0.026973026973026972	0.0518000518000518	0.513931940083414	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
ptprsa	Longivirga	0.5097877252275954	0.006993006993006993	0.030404378230465184	0.5097877252275954	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
mtus1b	Chitinilyticum	0.4976673438859318	0.001998001998001998	0.018163654527290893	0.4976673438859318	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
terb1	Pseudorhodoplanes	0.4944405194539058	0.023976023976023976	0.050969438724540767	0.4944405194539058	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
LOC566646	Ensifer	0.48267454091357015	0.017982017982017984	0.0438585804439463	0.48267454091357015	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
cited4a	Chitinilyticum	0.4582417656254947	0.002997002997002997	0.018731268731268732	0.4582417656254947	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
si:dkey-286h2.3	Chitinilyticum	0.4342388341903743	0.003996003996003996	0.0222000222000222	0.4342388341903743	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
ciartb	Chitinilyticum	0.4228861939915981	0.001998001998001998	0.018163654527290893	0.4228861939915981	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
mcm3l	Tundrisphaera	-0.2662692492908455	0.06593406593406594	0.08562865705722848	0.2662692492908455	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
clu	Longivirga	0.23812642772217266	0.024975024975024976	0.050969438724540767	0.23812642772217266	A- T- P- vs A+ T- P-	A- T- P-	A+ T- P-
zgc:171500	WY65	0.98100789295526	9.99000999000999e-4	0.007684623069238454	0.98100789295526	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
zgc:171500	Phaselicystis	0.9524693614621818	9.99000999000999e-4	0.007684623069238454	0.9524693614621818	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
igl1c1	Vibrio	0.9204988328145141	0.027972027972027972	0.0518000518000518	0.9204988328145141	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
zgc:171500	Pseudolysobacter	0.8846020279245251	9.99000999000999e-4	0.007684623069238454	0.8846020279245251	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
prdx6	Bosea	-0.8703316470337291	0.001998001998001998	0.0105157999894842	0.8703316470337291	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
LOC103908679	Vibrio	0.859230630171621	0.06693306693306693	0.08692606095203498	0.859230630171621	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
adpgk	Bosea	-0.8362376928166786	0.012987012987012988	0.031675641431738996	0.8362376928166786	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
wu:fi46h04	Bosea	-0.8184649928137115	0.004995004995004995	0.020812520812520816	0.8184649928137115	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
zgc:110425	Acinetobacter	0.8164965516647161	0.005994005994005994	0.023976023976023976	0.8164965516647161	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
tbca	Bosea	-0.814636163667498	0.008991008991008992	0.029003254809706423	0.814636163667498	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
card19	Bosea	-0.8032335767722474	0.011988011988011988	0.0315473999684526	0.8032335767722474	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
ftr16	Bosea	-0.7989659968173821	9.99000999000999e-4	0.007684623069238454	0.7989659968173821	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
dhrs1	Culicoidibacter	0.7945361432644293	9.99000999000999e-4	0.007684623069238454	0.7945361432644293	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
zgc:171500	SWB02	0.7813189554741355	0.002997002997002997	0.01362274089546817	0.7813189554741355	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
adpgk	Gemmobacter	-0.780407269068334	0.058941058941058944	0.08074117663158759	0.780407269068334	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
