Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list
deoxyribose phosphate metabolic process	0.017423039433936107	6	1.75887608042809	2.2032846809742836	6	0		
diterpenoid metabolic process	0.012261741580066625	12	1.9114478410006386	-0.9483785821110972	2	10		
double-strand break repair	1.8196221636044035e-21	66	20.740018781958334	2.0605033928134717	65	1		
double-strand break repair via break-induced replication	1.9990129228558757e-7	11	6.699184398324676	2.475107142058057	11	0		
double-strand break repair via homologous recombination	7.936512831921981e-22	50	21.100370277235182	2.133353059953172	49	1		
entrainment of circadian clock	0.056179356867744015	6	1.2504232368394717	-1.3484151682053667	0	6		
entrainment of circadian clock by photoperiod	0.04022597987570866	6	1.3954933680013362	-1.3484151682053667	0	6		
establishment of RNA localization	0.006348421311916226	20	2.1973342590802734	1.355815782601158	20	0		
establishment of chromosome localization	0.001690609132468493	12	2.7719567893471417	2.9660518771953144	12	0		
establishment of protein localization to mitochondrial membrane	0.00840428882579184	7	2.075499030838644	1.2200231959994055	7	0		
establishment of protein localization to mitochondrion	0.010150530879698774	14	1.9935112432587039	1.2006916520019588	13	1		
fat-soluble vitamin metabolic process	0.006018100701362816	9	2.22054054945066	-1.7669131158729523	1	8		
fatty acid biosynthetic process	0.053341283862973016	18	1.2729365355547562	-1.1005407792549922	5	13		
fatty acid catabolic process	0.025229334154800213	16	1.5980942111039838	-1.1981961666916816	1	15		
fatty acid metabolic process	3.0931182845043493e-4	44	3.5096034717442213	-1.190661725788414	7	37		
fatty acid transport	5.218032807306204e-4	18	3.282493194690137	-1.5231603640641165	2	16		
glucose metabolic process	0.00524288179552859	17	2.280429933651595	-0.9429283925725942	4	13		
glycerolipid biosynthetic process	0.07782995647907993	26	1.108853212399754	-0.6752141031478894	7	19		
glycolytic process	0.040337088403801756	12	1.3942954530691583	-0.2774923253210829	5	7		
glycosyl compound catabolic process	0.02621951949627286	7	1.581375271533401	-0.9125288100426752	1	6		
glycosyl compound metabolic process	9.845263779990226e-4	16	3.0067726435015336	-0.6666478546770807	4	12		
granulocyte chemotaxis	0.0661647709108578	18	1.1793731868660937	1.6173634070893215	14	4		
heterocycle catabolic process	0.08998626428808984	45	1.0458237772178571	0.5035807344178149	30	15		
hexose metabolic process	0.009468820440634747	21	2.0237041189935554	-1.0415156922537914	4	17		
homologous recombination	7.62049138250479e-7	17	6.118017023695854	2.298426669558725	17	0		
interstrand cross-link repair	6.198500281185911e-8	15	7.207713374758514	2.0359006031919384	14	1		
isoprenoid metabolic process	0.029080300215785396	16	1.5364011142715293	-0.9788579251725142	3	13		
kinetochore assembly	1.5787092829970825e-6	9	5.801697837321947	2.482801554837625	9	0		
kinetochore organization	2.526438257271607e-7	10	6.597491310864853	2.503430135992646	10	0		
lipid biosynthetic process	1.928484703039552e-6	86	5.714783801657602	-1.049478472212989	19	67		
lipid catabolic process	1.8750589087470507e-5	48	4.726985083487253	-1.1477622293336953	5	43		
lipid homeostasis	0.005088186161097399	18	2.2934370075683055	-1.6152686983252107	1	17		
lipid localization	9.156338983377576e-9	69	8.038278137373078	-1.7980339167240276	9	60		
lipid transport	2.0646086627211704e-8	65	7.685162254771213	-1.8687135953048843	8	57		
lymphocyte chemotaxis	0.043434548978136756	10	1.36216468381655	1.1543450792718126	7	3		
lymphocyte migration	0.08729478266133119	12	1.0590117119542757	1.2666041664435468	9	3		
mRNA export from nucleus	0.06447630227022069	10	1.1905998773705728	1.26025392894095	10	0		
mRNA splicing, via spliceosome	0.019124063238250902	44	1.7184198288761643	1.31469570971798	44	0		
mRNA transport	0.009270971153099564	17	2.0328747702415866	1.3948173307265253	17	0		
maturation of 5.8S rRNA	0.0068088699461898725	11	2.166924961047315	1.0407550921401019	10	1		
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.006018100701362816	9	2.22054054945066	1.2955143515631073	9	0		
meiosis I	5.870009854275676e-7	21	6.231361169680161	2.3505176768472547	21	0		
meiosis I cell cycle process	1.9345577485056482e-7	23	6.713418301619651	2.3049328418925836	23	0		
meiotic cell cycle	4.499481280559279e-14	44	13.346837550663702	2.298762855878414	44	0		
meiotic cell cycle process	1.278295183879672e-12	36	11.893368847329922	2.4331824789627743	36	0		
meiotic chromosome segregation	0.0036861187048321986	11	2.4334306832180013	2.8797451368377405	11	0		
meiotic nuclear division	5.252868058066822e-9	27	8.279603507701205	2.4739561127320484	27	0		
membrane lipid catabolic process	0.09992827769487543	8	1.0003115977693635	-1.5715848963158727	0	8		
membrane lipid metabolic process	0.08604452331652325	27	1.0652767670459657	-1.024327310286835	5	22		
metaphase chromosome alignment	7.839655889433469e-4	11	3.105702999636991	2.885702846603873	11	0		
metaphase/anaphase transition of cell cycle	1.423313553348405e-7	16	6.846699415103068	2.468569305354723	16	0		
metaphase/anaphase transition of mitotic cell cycle	6.708844941308718e-8	16	7.173352245672529	2.468569305354723	16	0		
microtubule cytoskeleton organization	1.6474479202013633e-7	85	6.783188305612051	2.0907014806684985	78	7		
microtubule cytoskeleton organization involved in mitosis	1.46322226647449e-6	30	5.8346896986378285	2.626857665012328	30	0		
microtubule organizing center organization	5.435843982311277e-5	23	4.264733016728664	2.2300200739113527	22	1		
microtubule polymerization or depolymerization	0.043298580556163285	15	1.3635263407535652	1.9621439841904742	14	1		
mismatch repair	0.0012085767476305257	8	2.9177257656004674	1.823576639126407	7	1		
mitochondrial gene expression	0.09212179555027682	14	1.0356376057710108	1.1845997104883268	14	0		
mitochondrial transport	0.011899073049858459	18	1.9244868692806918	0.5285801964442096	13	5		
mitotic DNA damage checkpoint signaling	8.632423360504078e-6	14	5.06386726867013	2.464785506642158	14	0		
mitotic DNA integrity checkpoint signaling	1.3286042074392654e-7	17	6.876604376563472	2.434554004117831	17	0		
mitotic DNA replication	3.738942977998025e-6	10	5.427251158148707	2.3298348272738854	10	0		
mitotic G2 DNA damage checkpoint signaling	0.010867861375779303	6	1.963855909830708	2.9173486062990075	6	0		
mitotic G2/M transition checkpoint	4.106628706334615e-4	10	3.386514561348789	2.6618110684822534	10	0		
mitotic cell cycle checkpoint signaling	8.040974524178564e-12	29	11.094691313835439	2.496548736819701	28	1		
mitotic cell cycle phase transition	6.928597821814768e-12	50	11.159354647042369	2.34586882116001	48	2		
mitotic cell cycle process	1.7402168669680873e-31	122	30.75939662628139	2.4019148976859928	117	5		
mitotic cytokinesis	0.07104999319224224	11	1.1484359593490627	2.398366421626681	10	1		
mitotic intra-S DNA damage checkpoint signaling	6.029228443897172e-4	7	3.2197382606620315	2.0119237310453792	7	0		
mitotic metaphase chromosome alignment	0.0027189805188870594	7	2.5655939040602234	2.627616417154744	7	0		
mitotic nuclear division	1.3282917004993577e-20	56	19.876706540927366	2.6001864372876606	55	1		
mitotic recombination	0.08520141877830253	5	1.0695531732795724	2.0720873646232008	5	0		
mitotic sister chromatid segregation	1.018932281074401e-21	45	20.991854678538214	2.7271048892403837	45	0		
mitotic sister chromatid separation	2.6478639682666644e-7	14	6.5771043301646115	2.6254214897968486	14	0		
mitotic spindle assembly	0.0036861187048321986	11	2.4334306832180013	2.5067872513097917	11	0		
mitotic spindle assembly checkpoint signaling	1.983820987788771e-6	11	5.702497519441458	2.9108125561820755	11	0		
mitotic spindle checkpoint signaling	1.983820987788771e-6	11	5.702497519441458	2.9108125561820755	11	0		
mitotic spindle organization	2.976196141765888e-8	27	7.526338450653177	2.628913776159249	27	0		
modified amino acid transport	0.09864517997836816	6	1.0059241304821234	-1.771177940377136	0	6		
monocarboxylic acid biosynthetic process	0.01015720023513714	23	1.9932259859493089	-1.244743513960214	6	17		
monocarboxylic acid catabolic process	0.030672237843467075	17	1.5132545367787142	-1.2152614613203607	1	16		
monocarboxylic acid metabolic process	2.17529820890898e-6	69	5.662481197741067	-1.1187909494967907	13	56		
monocarboxylic acid transport	1.008814866333204e-4	26	3.9961885264360606	-1.7096073621562025	2	24		
monocyte chemotaxis	0.08140070605783047	9	1.0893718280875824	1.026656381796185	6	3		
monosaccharide metabolic process	0.0016265825093247437	25	2.78872390198828	-1.098239406247787	4	21		
ncRNA processing	0.028062487228230022	55	1.5518738393082092	1.1260278862935664	52	3		
negative regulation of DNA metabolic process	0.06601250608492681	12	1.1803737794708788	2.2469815055979896	12	0		
negative regulation of DNA repair	0.05993252111416474	5	1.2223374529402482	2.452261229726021	5	0		
negative regulation of G2/M transition of mitotic cell cycle	0.0012085767476305257	11	2.9177257656004674	2.593095184217472	11	0		
negative regulation of cell cycle	1.0451556195949758e-9	45	8.980819039983958	2.094268716299775	39	6		
negative regulation of cell cycle G2/M phase transition	0.0017888262567819452	11	2.7474318390777595	2.593095184217472	11	0		
negative regulation of cell cycle phase transition	7.974820373795455e-11	37	10.09827909028307	2.355106174203914	35	2		
negative regulation of cell cycle process	1.4613754506496387e-10	40	9.835238192554609	2.438646469639262	38	2		
negative regulation of chromosome organization	2.5934906879031917e-6	13	5.586115307030149	2.7437701292346897	13	0		
negative regulation of chromosome segregation	5.2635228590881165e-6	11	5.278723486616198	2.9108125561820755	11	0		
negative regulation of chromosome separation	5.2635228590881165e-6	11	5.278723486616198	2.9108125561820755	11	0		
negative regulation of double-strand break repair	0.05993252111416474	5	1.2223374529402482	2.452261229726021	5	0		
negative regulation of metaphase/anaphase transition of cell cycle	5.2635228590881165e-6	11	5.278723486616198	2.9108125561820755	11	0		
negative regulation of mitotic cell cycle	2.670796662096829e-9	35	8.573359175209948	2.291866645470687	32	3		
negative regulation of mitotic cell cycle phase transition	1.0524116142109705e-8	25	7.977814367770007	2.5483784225432813	24	1		
negative regulation of mitotic metaphase/anaphase transition	1.983820987788771e-6	11	5.702497519441458	2.9108125561820755	11	0		
negative regulation of mitotic nuclear division	1.1856991953250732e-5	12	4.926025474867253	2.900258599636626	12	0		
negative regulation of mitotic sister chromatid segregation	1.983820987788771e-6	11	5.702497519441458	2.9108125561820755	11	0		
negative regulation of mitotic sister chromatid separation	1.983820987788771e-6	11	5.702497519441458	2.9108125561820755	11	0		
negative regulation of nuclear division	1.0449472706356037e-5	13	4.98090562405031	3.0176897415274544	13	0		
negative regulation of sister chromatid segregation	1.983820987788771e-6	11	5.702497519441458	2.9108125561820755	11	0		
neutral lipid biosynthetic process	0.017237214372445873	8	1.7635329171901841	-1.5673562920955086	0	8		
neutrophil chemotaxis	0.027679888877836758	18	1.5578356577065797	1.6173634070893215	14	4		
non-membrane-bounded organelle assembly	4.2605240999420705e-4	52	3.3705369737347204	1.9301137778150927	49	3		
nuclear DNA replication	7.988031415495928e-8	13	7.097560235795614	2.357324023402407	13	0		
nuclear RNA surveillance	0.010867861375779303	6	1.963855909830708	1.3142329548614018	6	0		
nuclear chromosome segregation	3.400484570267471e-26	62	25.46845919142886	2.738743640660332	62	0		
nuclear division	4.6002677757035315e-28	80	27.337216887856314	2.5608404668916784	79	1		
nuclear export	0.015682200598231087	18	1.8045929951840503	1.391392872692426	18	0		
nuclear transport	0.014884002143598479	26	1.8272802761032767	1.260403012169353	24	2		
nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'	0.08520141877830253	5	1.0695531732795724	1.317982395483626	5	0		
nucleic acid transport	0.006348421311916226	20	2.1973342590802734	1.355815782601158	20	0		
nucleobase metabolic process	0.022675755547304235	11	1.6444382335045418	-0.8341491854516193	3	8		
nucleobase-containing compound transport	0.013347392423190973	25	1.8746035707662	0.9326770042518951	21	4		
nucleobase-containing small molecule metabolic process	0.0825006998597174	61	1.083542367281297	-0.3166818554124243	24	37		
nucleocytoplasmic transport	0.014884002143598479	26	1.8272802761032767	1.260403012169353	24	2		
nucleoside bisphosphate biosynthetic process	0.0346981609416085	11	1.4596935429058686	-0.9571445614951231	2	9		
nucleoside bisphosphate metabolic process	0.0045646883035215325	20	2.340588872605537	-1.1038710321245935	4	16		
nucleoside metabolic process	0.022675755547304235	11	1.6444382335045418	-0.3493456401073716	4	7		
nucleotide-excision repair	0.014652890167765302	11	1.8340767056773455	1.7409931514643322	10	1		
nucleus organization	0.05120111749155085	11	1.2907205602132732	1.2536918971270747	10	1		
olefinic compound metabolic process	0.08331708287118787	11	1.0792659441386498	-1.1873073346785454	1	10		
one-carbon metabolic process	0.07104999319224224	11	1.1484359593490627	-1.1879699467026898	1	10		
organelle fission	2.0378868091680483e-26	84	25.690819941781456	2.4254800993702297	80	4		
organic acid biosynthetic process	0.0198126862593598	35	1.703056637610063	-1.2566966234484496	8	27		
organic acid catabolic process	0.001690609132468493	38	2.7719567893471417	-1.296619218979501	3	35		
organic acid transport	2.2747290541461343e-5	46	4.643070325291211	-1.4691850449797095	6	40		
organic anion transport	7.703090684400113e-4	50	3.1133349893901614	-1.499759786037281	6	44		
organic cyclic compound catabolic process	0.014007962153291396	54	1.8536250402997465	0.13856398448155424	31	23		
organic hydroxy compound biosynthetic process	1.3293248822591066e-5	32	4.87636886606292	-1.5532343237192618	4	28		
organic hydroxy compound catabolic process	0.06648803636131967	8	1.1772564931884248	-1.4064671476506179	1	7		
organic hydroxy compound metabolic process	3.3169337022386882e-9	63	8.479263208926598	-1.3165746813779735	7	56		
organic hydroxy compound transport	0.0036505277946859826	25	2.437644340543891	-1.2896832099576188	3	22		
organophosphate catabolic process	0.01972771562785676	20	1.7049232009948327	-0.1982335126634202	7	13		
polyol metabolic process	0.01471984235178531	17	1.8320968412292504	-1.5254838537290627	1	16		
positive regulation of cell cycle	0.03357080034798988	12	1.474038304787965	2.2517134818155	11	1		
positive regulation of cell cycle process	0.014884002143598479	12	1.8272802761032767	2.2517134818155	11	1		
postreplication repair	0.0366380434801957	7	1.4360677262826274	2.5027625553126307	7	0		
process utilizing autophagic mechanism	0.09704592897194865	37	1.0130226783292169	-0.8120057568587614	7	30		
protein localization to chromosome	0.008644573132318423	9	2.0632564472548025	2.4572834838227773	9	0		
protein localization to mitochondrion	0.010150530879698774	14	1.9935112432587039	1.2006916520019588	13	1		
protein localization to nucleus	0.09250909259168343	15	1.0338155789547638	1.3050256465055978	14	1		
protein localization to organelle	0.010150530879698774	60	1.9935112432587039	0.9890115133426605	46	14		
protein monoubiquitination	0.01242664778032428	7	1.9056460110892623	1.0794340542132883	5	2		
protein targeting to mitochondrion	0.02760439962987743	12	1.5590216939238324	1.220479784877172	11	1		
protein-DNA complex assembly	6.485920243585092e-8	32	7.188028396086089	2.336176859269398	32	0		
protein-DNA complex organization	1.0699903099025337e-5	77	4.9706201553754585	1.8062939686522372	72	5		
purine nucleobase metabolic process	0.04174548622777199	8	1.3793904761647482	-1.2262201975686284	1	7		
purine nucleoside bisphosphate biosynthetic process	0.0346981609416085	11	1.4596935429058686	-0.9571445614951231	2	9		
purine nucleoside bisphosphate metabolic process	0.0045646883035215325	20	2.340588872605537	-1.1038710321245935	4	16		
rRNA 3'-end processing	0.039448121445908535	5	1.4039736734457198	1.3754667172505626	5	0		
rRNA metabolic process	0.0015196133018460874	39	2.818266913529353	1.185374073803132	38	1		
rRNA modification	0.08310711429401246	8	1.080361797318376	1.209435143963593	8	0		
rRNA processing	5.333133802042232e-4	38	3.2730175202436835	1.1896760470650098	37	1		
reciprocal homologous recombination	4.2902452324266415e-7	17	6.36751788262979	2.298426669558725	17	0		
reciprocal meiotic recombination	4.2902452324266415e-7	17	6.36751788262979	2.298426669558725	17	0		
recombinational repair	1.8898933449863688e-22	51	21.723562704287538	2.1334708001403477	50	1		
regulation of DNA metabolic process	0.0012594694124150078	28	2.8998123753518024	2.183178493077275	27	1		
regulation of DNA replication	3.0679525013337886e-4	11	3.5131513685067333	2.656953137911801	11	0		
regulation of G2/M transition of mitotic cell cycle	7.115839399259873e-5	15	4.147773862274778	2.5518911898251346	15	0		
regulation of cell cycle	4.243040431485455e-9	107	8.372322829867283	1.9997777850714025	95	12		
regulation of cell cycle G2/M phase transition	7.115839399259873e-5	16	4.147773862274778	2.5808832334511678	16	0		
regulation of cell cycle phase transition	3.197670645346949e-14	52	13.495166269881352	2.285602291417428	50	2		
regulation of cell cycle process	1.9618792238615699e-16	76	15.707327731933113	2.3019664883517184	72	4		
regulation of chromosome organization	2.741340815517802e-7	23	6.562036967708421	2.247273791862672	23	0		
regulation of chromosome segregation	2.6478639682666644e-7	19	6.5771043301646115	2.5342492771644665	19	0		
regulation of chromosome separation	1.0449472706356037e-5	13	4.98090562405031	2.644990062610396	13	0		
regulation of circadian rhythm	0.042197121674479046	11	1.374717171870635	-1.3287066279887385	1	10		
regulation of cyclin-dependent protein kinase activity	0.0662259932155594	9	1.1789715197079345	2.3492182745507497	8	1		
regulation of cyclin-dependent protein serine/threonine kinase activity	0.0662259932155594	9	1.1789715197079345	2.3492182745507497	8	1		
regulation of double-strand break repair via homologous recombination	0.056179356867744015	6	1.2504232368394717	2.25627209787388	6	0		
regulation of metaphase/anaphase transition of cell cycle	1.2833509435381949e-6	14	5.891654565760001	2.559705747775232	14	0		
regulation of mitotic cell cycle	2.048861170836263e-4	58	3.688487468042136	2.0866621638311904	53	5		
regulation of mitotic cell cycle phase transition	1.1791202541455468e-10	37	9.928441900546478	2.3378410209783347	36	1		
regulation of mitotic metaphase/anaphase transition	5.977742179267191e-7	14	6.223462820065588	2.559705747775232	14	0		
regulation of mitotic nuclear division	1.6474479202013633e-7	19	6.783188305612051	2.476294976501085	18	1		
regulation of mitotic sister chromatid segregation	2.605822166520867e-5	11	4.584055225896636	2.9108125561820755	11	0		
regulation of mitotic sister chromatid separation	1.2833509435381949e-6	13	5.891654565760001	2.644990062610396	13	0		
regulation of nuclear division	2.022019928411749e-7	20	6.6942145684499605	2.5738233998869	19	1		
regulation of organelle organization	0.04918079063420883	70	1.30820449378937	1.551688423408366	56	14		
regulation of sister chromatid segregation	2.3706823518860848e-7	17	6.625126633311904	2.4858157198423587	17	0		
regulation of type I interferon production	0.010867861375779303	6	1.963855909830708	1.1339659999902143	4	2		
replication fork processing	2.4294596638224973e-8	15	7.614490307107142	2.1479365137644404	15	0		
reproduction	7.780238195252464e-4	65	3.10900710669923	1.7402875417872108	57	8		
reproductive process	0.001055027187887061	64	2.976736348520616	1.806795547488867	57	7		
resolution of meiotic recombination intermediates	0.0027189805188870594	7	2.5655939040602234	2.166596928766574	7	0		
response to bacterium	0.002388323324415952	45	2.621906880011434	1.2887156915835574	33	12		
response to biotic stimulus	1.2884440379503157e-4	91	3.8899344397728934	1.0895727093086633	63	28		
response to chemokine	0.06601250608492681	12	1.1803737794708788	1.244790539260027	9	3		
response to cold	0.0021660583191462556	8	2.664329854570143	-0.9393572764040609	1	7		
response to estradiol	0.01242664778032428	8	1.9056460110892623	-6.125213669905227	0	8		
response to estrogen	1.9990129228558757e-7	18	6.699184398324676	-4.159586616601126	0	18		
response to external biotic stimulus	1.554531901653143e-4	90	3.8084003610638506	1.1136995152569344	63	27		
response to fungus	0.0542818007140137	9	1.265345753731755	0.09527144853813414	4	5		
response to hormone	6.613797599485844e-4	52	3.1795490998322693	-2.398730286763326	3	49		
response to lipid	1.360116939307803e-4	43	3.8664237505174253	-1.8823215292471234	9	34		
response to other organism	1.554531901653143e-4	90	3.8084003610638506	1.1136995152569344	63	27		
response to oxidative stress	0.01972771562785676	20	1.7049232009948327	-0.07228789330521118	7	13		
response to temperature stimulus	0.041044654253931084	14	1.3867433983301627	-0.7862513819829525	3	11		
response to type II interferon	0.028039199253027548	11	1.552234393164622	0.886604774081761	7	4		
response to virus	0.07950473713614001	20	1.0996069939750526	1.7048145213279344	17	3		
response to xenobiotic stimulus	5.252868058066822e-9	34	8.279603507701205	-1.7190507200109861	2	32		
response to yeast	0.05376875591780234	8	1.269470011956655	-0.6021614155886521	3	5		
retinal metabolic process	0.006189993176954695	6	2.2083098296895036	-1.3644873165661038	0	6		
retinoid metabolic process	0.009883988316881634	12	2.0050677766164613	-0.9483785821110972	2	10		
ribonucleoprotein complex biogenesis	2.5460315796093638e-5	70	4.59413621389327	1.2085273370845153	68	2		
