Description	p.adjust	Count	log_padj	mean_log2FC	n_up	n_down	gene_list	fc_list
Galactose metabolism	0.020182576169060613	7	1.6950233998136872	-1.2208764255185816	1	6		
Glutathione metabolism	0.0880312184311577	9	1.0553632870762863	-0.12226757482822959	3	6		
Glycerolipid metabolism	0.011953909116384151	12	1.9224900503596989	-0.8218768570272504	2	10		
Glycerophospholipid metabolism	5.1870270370198004e-6	24	5.2850814882705555	-0.7477054401938357	4	20		
Glycolysis / Gluconeogenesis	0.020187504783262724	12	1.6949173574223149	-0.15355091779407795	5	7		
Glyoxylate and dicarboxylate metabolism	0.08464238095541797	6	1.07241212861163	-1.8579579379849436	0	6		
Herpes simplex virus 1 infection	0.003848739119714915	26	2.4146815258261807	0.3826202340968303	18	8		
Homologous recombination	7.108707516391987e-15	22	14.148209354196315	1.8889854895910185	22	0		
Insulin signaling pathway	0.00750285901188703	23	2.1247732144101272	-0.9499065133840869	4	19		
Linoleic acid metabolism	0.0024134797657719004	8	2.6173563378854574	-0.14213977002519346	3	5		
Metabolism of xenobiotics by cytochrome P450	0.014187687490839027	12	1.8480883862065012	-1.2971715032322468	1	11		
Mismatch repair	4.971198470809866e-15	17	14.303538897682387	1.7484830299807415	17	0		
Motor proteins	0.026584048409008357	27	1.5753788808872575	1.18814772219612	21	6		
NOD-like receptor signaling pathway	0.017488222065348124	21	1.757254340690404	1.5132256601963814	15	6		
Nucleocytoplasmic transport	0.06790221451195576	13	1.1681160617336452	1.6621190485983068	13	0		
Nucleotide excision repair	2.3728638374607167e-6	17	5.624727182278273	1.7753273074914857	17	0		
Nucleotide metabolism	0.008510223168995941	16	2.0700590509856065	1.008520037250083	11	5		
Oocyte meiosis	0.008194254130699987	20	2.0864905712775266	2.0793775147440954	18	2		
PPAR signaling pathway	3.1498562171450256e-9	26	8.50170927018681	-1.2684026775127755	3	23		
Pentose and glucuronate interconversions	0.014187687490839027	10	1.8480883862065012	-1.595026479948363	0	10		
Phagosome	0.03810873437964148	20	1.4189754742418703	0.37361174580798995	16	4		
Polycomb repressive complex	0.03893918191180098	12	1.4096131769793858	0.7855271302591633	9	3		
Porphyrin metabolism	0.017670650196885705	12	1.752747470203226	-1.0198572877228844	2	10		
Primary bile acid biosynthesis	5.5777500234162854e-5	10	4.253540953297579	-1.5858237411720906	0	10		
Progesterone-mediated oocyte maturation	3.3699151456162516e-4	20	3.472381034515779	1.9280834843829895	17	3		
Proteasome	2.3452825314354644e-5	15	4.629804831220852	1.3885306452931918	15	0		
Pyrimidine metabolism	3.05575590909703e-4	15	3.514881339744912	0.9782894915069851	10	5		
Pyruvate metabolism	0.06704651968624425	8	1.1736237609934177	-1.5469001987523265	1	7		
RNA degradation	0.026614584395494766	12	1.5748803112365783	0.4431364801432975	8	4		
Retinol metabolism	0.0021972493972370454	16	2.6581206459940603	-1.2134853477660381	1	15		
Sphingolipid metabolism	0.006239793673471292	13	2.20482977056667	-1.0016330309168375	2	11		
Starch and sucrose metabolism	0.0918214164527975	6	1.0370560120177323	-0.2580617208723923	2	4		
Steroid hormone biosynthesis	0.004719731800104305	14	2.326082679553226	-1.1383130973055415	1	13		
Toll-like receptor signaling pathway	0.07356706425819806	13	1.1333165744169806	0.3787296040413801	8	5		
Ubiquitin mediated proteolysis	0.02313311006710795	19	1.6357659757817062	1.452593651492461	17	2		
Vitamin digestion and absorption	0.04416359255756219	7	1.354935605467629	-1.522296445357352	0	7		
alpha-Linolenic acid metabolism	0.0022436939054602946	7	2.6490363917282296	0.16708159591157887	3	4		
beta-Alanine metabolism	0.07646504437104792	6	1.116537055123583	-1.5320553797222878	0	6		
p53 signaling pathway	3.960966650838445e-6	21	5.402198814101087	0.4953632772655215	11	10		
